Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 112.5 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.71588431232347 at t = 14400.0 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
-----------     --------------|--------------|--------------     --------------|--------------|--------------|--------------
          0     100           |0             |0                  100           |0             |0             |100           
      112.5     98.211123     |1.78674321    |0.00213375286      98.1949292    |1.80507078    |0             |100           
      225.0     96.4542469    |3.53727583    |0.00847728608      96.4224412    |3.57326213    |0.00429663367 |100           
      337.5     94.7287991    |5.25225573    |0.0189451924       94.6819479    |5.30524996    |0.0128021164  |100           
      450.0     93.0342174    |6.93232897    |0.0334536166       92.9728717    |7.00169798    |0.0254302725  |100           
      562.5     91.3699497    |8.57813004    |0.0519202271       91.2946456    |8.66325789    |0.042096506   |100           
      675.0     89.7354538    |10.1902821    |0.0742641894       89.6467126    |10.2905696    |0.0627177725  |100           
      787.5     88.1301969    |11.769397     |0.100406139        88.028526     |11.8842614    |0.0872125503  |100           
      900.0     86.5536561    |13.3160757    |0.130268154        86.4395488    |13.4449504    |0.115500814   |100           
     1012.5     85.0053177    |14.8309086    |0.163773731        84.8792538    |14.9732422    |0.147504005   |100           
     1125.0     83.4846771    |16.3144751    |0.200847759        83.3471232    |16.4697318    |0.18314501    |100           
     1237.5     81.991239     |17.7673445    |0.241416493        81.8426486    |17.9350033    |0.222348129   |100           
     1350.0     80.5245166    |19.1900759    |0.285407533        80.3653309    |19.3696301    |0.265039053   |100           
     1462.5     79.0840321    |20.5832181    |0.332749795        78.9146797    |20.7741754    |0.311144837   |100           
     1575.0     77.669316     |21.9473105    |0.383373492        77.4902139    |22.1491922    |0.36059388    |100           
     1687.5     76.2799075    |23.2828824    |0.437210108        76.0914607    |23.4952234    |0.413315893   |100           
     1800.0     74.9153538    |24.5904538    |0.494192376        74.717956     |24.8128021    |0.469241881   |100           
     1912.5     73.5752103    |25.8705354    |0.554254256        73.369244     |26.1024519    |0.52830412    |100           
     2025.0     72.2590403    |27.1236287    |0.617330913        72.0448772    |27.3646867    |0.590436128   |100           
     2137.5     70.966415     |28.3502263    |0.683358693        70.7444162    |28.6000112    |0.655572651   |100           
     2250.0     69.6969132    |29.5508117    |0.752275105        69.4674294    |29.808921     |0.723649633   |100           
     2362.5     68.4501211    |30.7258601    |0.8240188          68.2134931    |30.9919027    |0.794604198   |100           
     2475.0     67.2256327    |31.8758378    |0.898529549        66.9821913    |32.1494341    |0.868374631   |100           
     2587.5     66.0230488    |33.0012029    |0.975748222        65.7731153    |33.2819843    |0.944900351   |100           
     2700.0     64.8419777    |34.1024055    |1.05561677         64.585864     |34.3900141    |1.02412189    |100           
     2812.5     63.6820345    |35.1798873    |1.13807821         63.4200435    |35.4739756    |1.1059809     |100           
     2925.0     62.5428413    |36.2340821    |1.22307659         62.2752668    |36.5343131    |1.19042007    |100           
     3037.5     61.4240268    |37.2654162    |1.31055699         61.1511541    |37.5714627    |1.27738317    |100           
     3150.0     60.3252265    |38.274308     |1.4004655          60.0473325    |38.5858525    |1.36681502    |100           
     3262.5     59.2460825    |39.2611684    |1.49274919         58.9634357    |39.5779029    |1.45866143    |100           
     3375.0     58.1862429    |40.226401     |1.58735609         57.8991039    |40.5480268    |1.55286923    |100           
     3487.5     57.1453626    |41.1704022    |1.6842352          56.8539841    |41.4966297    |1.64938623    |100           
     3600.0     56.1231024    |42.0935611    |1.78333645         55.8277295    |42.4241093    |1.7481612     |100           
     3712.5     55.1191292    |42.9962602    |1.88461068         54.8199994    |43.3308567    |1.84914387    |100           
     3825.0     54.1331158    |43.8788746    |1.98800964         53.8304596    |44.2172555    |1.95228487    |100           
     3937.5     53.1647409    |44.7417731    |2.09348596         52.8587817    |45.0836825    |2.05753579    |100           
     4050.0     52.2136891    |45.5853177    |2.20099314         51.9046433    |45.9305076    |2.16484907    |100           
     4162.5     51.2796505    |46.409864     |2.31048554         50.9677278    |46.7580942    |2.27417806    |100           
     4275.0     50.3623206    |47.215761     |2.42191836         50.0477242    |47.5667988    |2.38547696    |100           
     4387.5     49.4614007    |48.0033517    |2.53524761         49.1443273    |48.3569718    |2.49870084    |100           
     4500.0     48.5765971    |48.7729728    |2.65043012         48.2572375    |49.128957     |2.61380557    |100           
     4612.5     47.7076215    |49.524955     |2.76742351         47.3861602    |49.883092     |2.73074787    |100           
     4725.0     46.8541909    |50.259623     |2.88618618         46.5308064    |50.6197083    |2.84948525    |100           
     4837.5     46.016027     |50.9772957    |3.0066773          45.6908924    |51.3391316    |2.96997601    |100           
     4950.0     45.1928569    |51.6782863    |3.1288568          44.8661395    |52.0416813    |3.09217921    |100           
     5062.5     44.3844123    |52.3629024    |3.25268532         44.0562739    |52.7276714    |3.21605471    |100           
     5175.0     43.5904298    |53.031446     |3.37812425         43.261027     |53.3974099    |3.34156308    |100           
     5287.5     42.8106506    |53.6842137    |3.50513569         42.4801348    |54.0511995    |3.46866563    |100           
     5400.0     42.0448208    |54.3214968    |3.63368244         41.7133383    |54.6893373    |3.59732441    |100           
     5512.5     41.2926906    |54.9435814    |3.76372798         40.960383     |55.3121148    |3.72750216    |100           
     5625.0     40.5540152    |55.5507483    |3.89523646         40.2210191    |55.9198186    |3.85916231    |100           
     5737.5     39.8285538    |56.1432735    |4.02817271         39.4950013    |56.5127297    |3.99226899    |100           
     5850.0     39.11607      |56.7214278    |4.1625022          38.7820885    |57.0911245    |4.12678698    |100           
     5962.5     38.4163316    |57.2854774    |4.29819104         38.0820444    |57.6552739    |4.26268174    |100           
     6075.0     37.7291107    |57.8356833    |4.43520596         37.3946365    |58.2054441    |4.39991934    |100           
     6187.5     37.0541833    |58.3723024    |4.57351433         36.7196369    |58.7418966    |4.53846652    |100           
     6300.0     36.3913296    |58.8955863    |4.7130841          36.0568214    |59.2648879    |4.67829063    |100           
     6412.5     35.7403335    |59.4057827    |4.85388382         35.4059703    |59.7746701    |4.81935962    |100           
     6525.0     35.1009829    |59.9031345    |4.99588263         34.7668675    |60.2714905    |4.96164205    |100           
     6637.5     34.4730695    |60.3878803    |5.13905025         34.1393009    |60.755592     |5.10510707    |100           
     6750.0     33.8563887    |60.8602544    |5.28335694         33.5230624    |61.2272132    |5.2497244     |100           
     6862.5     33.2507395    |61.3204869    |5.42877354         32.9179473    |61.6865883    |5.39546434    |100           
     6975.0     32.6559247    |61.7688039    |5.57527141         32.3237551    |62.1339472    |5.54229774    |100           
     7087.5     32.0717504    |62.2054271    |5.72282245         31.7402884    |62.5695156    |5.69019599    |100           
     7200.0     31.4980262    |62.6305747    |5.87139909         31.1673538    |62.9935152    |5.83913103    |100           
     7312.5     30.9345653    |63.0444604    |6.02097427         30.604761     |63.4061637    |5.98907532    |100           
     7425.0     30.381184     |63.4472946    |6.17152144         30.0523234    |63.8076748    |6.14000184    |100           
     7537.5     29.837702     |63.8392835    |6.32301452         29.5098577    |64.1982582    |6.29188409    |100           
     7650.0     29.3039422    |64.2206298    |6.47542796         28.9771838    |64.5781201    |6.44469604    |100           
     7762.5     28.7797307    |64.5915326    |6.62873665         28.4541252    |64.9474626    |6.59841219    |100           
     7875.0     28.2648968    |64.9521873    |6.78291597         27.9405081    |65.3064844    |6.75300749    |100           
     7987.5     27.7592725    |65.3027857    |6.93794176         27.4361621    |65.6553805    |6.90845737    |100           
     8100.0     27.2626933    |65.6435164    |7.0937903          26.94092      |65.9943423    |7.06473773    |100           
     8212.5     26.7749973    |65.9745644    |7.25043832         26.4546173    |66.3235578    |7.22182493    |100           
     8325.0     26.2960255    |66.2961115    |7.407863           25.9770927    |66.6432115    |7.37969577    |100           
     8437.5     25.825622     |66.6083361    |7.56604194         25.5081878    |66.9534847    |7.53832748    |100           
     8550.0     25.3636334    |66.9114135    |7.72495314         25.047747     |67.2545553    |7.69769774    |100           
     8662.5     24.9099092    |67.2055158    |7.88457505         24.5956174    |67.546598     |7.85778464    |100           
     8775.0     24.4643016    |67.490812     |8.04488649         24.1516491    |67.8297842    |8.01856669    |100           
     8887.5     24.0266653    |67.767468     |8.20586672         23.7156947    |68.1042824    |8.18002281    |100           
     9000.0     23.5968578    |68.0356468    |8.36749535         23.2876097    |68.370258     |8.34213233    |100           
     9112.5     23.1747391    |68.2955085    |8.52975241         22.8672518    |68.6278732    |8.50487495    |100           
     9225.0     22.7601715    |68.5472102    |8.69261827         22.4544817    |68.8772875    |8.66823078    |100           
     9337.5     22.35302      |68.7909063    |8.8560737          22.0491625    |69.1186572    |8.83218029    |100           
     9450.0     21.953152     |69.0267482    |9.02009983         21.6511595    |69.3521362    |8.99670434    |100           
     9562.5     21.5604371    |69.2548847    |9.18467814         21.2603407    |69.5778751    |9.16178414    |100           
     9675.0     21.1747474    |69.4754621    |9.34979046         20.8765765    |69.7960222    |9.32740127    |100           
     9787.5     20.7959573    |69.6886238    |9.51541896         20.4997395    |70.0067228    |9.49353765    |100           
     9900.0     20.4239432    |69.8945107    |9.68154617         20.1297047    |70.2101197    |9.66017558    |100           
    10012.5     20.058584     |70.0932611    |9.84815494         19.7663493    |70.406353     |9.82729764    |100           
    10125.0     19.6997606    |70.285011     |10.0152284         19.4095527    |70.5955605    |9.99488681    |100           
    10237.5     19.3473561    |70.4698938    |10.1827502         19.0591965    |70.7778771    |10.1629263    |100           
    10350.0     19.0012557    |70.6480404    |10.3507039         18.7151646    |70.9534356    |10.3313999    |100           
    10462.5     18.6613466    |70.8195796    |10.5190738         18.3773426    |71.1223662    |10.5002913    |100           
    10575.0     18.3275181    |70.9846376    |10.6878443         18.0456185    |71.2847967    |10.6695848    |100           
    10687.5     17.9996613    |71.1433386    |10.8570001         17.7198824    |71.4408527    |10.8392649    |100           
    10800.0     17.6776695    |71.2958042    |11.0265262         17.4000259    |71.5906576    |11.0093165    |100           
    10912.5     17.3614378    |71.4421543    |11.1964079         17.0859432    |71.7343322    |11.1797247    |100           
    11025.0     17.050863     |71.5825061    |11.3666309         16.7775298    |71.8719954    |11.3504748    |100           
    11137.5     16.7458441    |71.7169751    |11.5371808         16.4746835    |72.0037638    |11.5215527    |100           
    11250.0     16.4462815    |71.8456745    |11.708044          16.1773038    |72.129752     |11.6929442    |100           
