Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 112.5 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.71588431232347 at t = 14400.0 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
    11362.5     16.1520778    |71.9687155    |11.8792067         15.885292     |72.2500724    |11.8646356    |100           
    11475.0     15.863137     |72.0862073    |12.0506557         15.5985513    |72.3648354    |12.0366134    |100           
    11587.5     15.579365     |72.1982571    |12.2223779         15.3169864    |72.4741493    |12.2088644    |100           
    11700.0     15.3006693    |72.3049703    |12.3943604         15.0405039    |72.5781206    |12.3813755    |100           
    11812.5     15.0269591    |72.4064502    |12.5665907         14.7690122    |72.6768536    |12.5541342    |100           
    11925.0     14.7581453    |72.5027983    |12.7390564         14.5024211    |72.7704511    |12.7271278    |100           
    12037.5     14.4941403    |72.5941143    |12.9117454         14.2406421    |72.8590136    |12.9003443    |100           
    12150.0     14.2348579    |72.6804961    |13.0846459         13.9835884    |72.94264      |13.0737716    |100           
    12262.5     13.9802138    |72.7620399    |13.2577463         13.7311747    |73.0214274    |13.2473979    |100           
    12375.0     13.730125     |72.8388399    |13.431035          13.4833173    |73.0954709    |13.4212118    |100           
    12487.5     13.48451      |72.910989     |13.6045011         13.2399339    |73.1648642    |13.5952019    |100           
    12600.0     13.2432887    |72.9785779    |13.7781334         13.0009437    |73.2296991    |13.7693572    |100           
    12712.5     13.0063825    |73.0416962    |13.9519213         12.7662675    |73.2900657    |13.9436668    |100           
    12825.0     12.7737144    |73.1004315    |14.1258541         12.5358273    |73.3460526    |14.1181201    |100           
    12937.5     12.5452083    |73.15487      |14.2999217         12.3095468    |73.3977466    |14.2927066    |100           
    13050.0     12.32079      |73.2050962    |14.4741138         12.0873507    |73.445233     |14.4674163    |100           
    13162.5     12.1003862    |73.2511933    |14.6484205         11.8691655    |73.4885956    |14.6422389    |100           
    13275.0     11.8839252    |73.2932427    |14.8228321         11.6549187    |73.5279166    |14.8171648    |100           
    13387.5     11.6713364    |73.3313245    |14.9973391         11.4445391    |73.5632766    |14.9921842    |100           
    13500.0     11.4625505    |73.3655174    |15.1719321         11.2379571    |73.594755     |15.1672879    |100           
    13612.5     11.2574996    |73.3958985    |15.3466019         11.035104     |73.6224295    |15.3424664    |100           
    13725.0     11.0561168    |73.4225437    |15.5213395         10.8359126    |73.6463765    |15.5177109    |100           
    13837.5     10.8583365    |73.4455273    |15.6961363         10.6403167    |73.666671     |15.6930123    |100           
    13950.0     10.6640942    |73.4649224    |15.8709834         10.4482514    |73.6833865    |15.8683621    |100           
    14062.5     10.4733267    |73.4808008    |16.0458725         10.2596531    |73.6965953    |16.0437516    |100           
    14175.0     10.2859717    |73.493233     |16.2207953         10.0744591    |73.7063683    |16.2191726    |100           
    14287.5     10.1019684    |73.502288     |16.3957436         9.89260798    |73.7127752    |16.3946168    |100           
    14400.0     9.92125657    |73.5080338    |16.5707096         9.71403941    |73.7158843    |16.5700763    |100           
    14512.5     9.7437775     |73.5105372    |16.7456853         9.53869412    |73.7157627    |16.7455432    |100           
    14625.0     9.56947331    |73.5098634    |16.9206633         9.36651394    |73.7124763    |16.9210098    |100           
    14737.5     9.39828721    |73.5060769    |17.0956359         9.19744173    |73.7060897    |17.0964685    |100           
    14850.0     9.23016341    |73.4992408    |17.2705958         9.0314214     |73.6966665    |17.2719121    |100           
    14962.5     9.06504715    |73.489417     |17.4455359         8.86839785    |73.6842689    |17.4473333    |100           
    15075.0     8.90288461    |73.4766663    |17.6204491         8.70831699    |73.6689581    |17.6227249    |100           
    15187.5     8.74362295    |73.4610485    |17.7953286         8.55112571    |73.6507942    |17.7980801    |100           
    15300.0     8.5872103     |73.4426222    |17.9701675         8.39677184    |73.6298361    |17.973392     |100           
    15412.5     8.43359567    |73.4214451    |18.1449593         8.24520416    |73.6061418    |18.1486541    |100           
    15525.0     8.28272902    |73.3975736    |18.3196974         8.09637239    |73.5797679    |18.3238598    |100           
    15637.5     8.13456119    |73.3710632    |18.4943756         7.95022714    |73.5507702    |18.4990026    |100           
    15750.0     7.9890439     |73.3419685    |18.6689876         7.80671991    |73.5192036    |18.6740765    |100           
    15862.5     7.84612973    |73.310343     |18.8435273         7.66580309    |73.4851217    |18.8490752    |100           
    15975.0     7.70577212    |73.2762391    |19.0179887         7.52742992    |73.4485773    |19.0239928    |100           
    16087.5     7.56792534    |73.2397085    |19.1923661         7.39155448    |73.4096221    |19.1988234    |100           
    16200.0     7.43254447    |73.2008018    |19.3666537         7.25813169    |73.368307     |19.3735613    |100           
    16312.5     7.29958539    |73.1595687    |19.540846          7.12711727    |73.3246819    |19.5482009    |100           
    16425.0     7.16900479    |73.1160579    |19.7149373         6.99846776    |73.2787957    |19.7227366    |100           
    16537.5     7.04076012    |73.0703175    |19.8889224         6.87214047    |73.2306965    |19.8971631    |100           
    16650.0     6.91480958    |73.0223944    |20.062796          6.74809347    |73.1804315    |20.071475     |100           
    16762.5     6.79111214    |72.9723348    |20.236553          6.6262856     |73.128047     |20.2456674    |100           
    16875.0     6.6696275     |72.9201841    |20.4101884         6.50667646    |73.0735885    |20.419735     |100           
    16987.5     6.55031607    |72.8659868    |20.5836972         6.38922634    |73.0171006    |20.5936731    |100           
    17100.0     6.43313898    |72.8097865    |20.7570745         6.27389628    |72.9586271    |20.7674766    |100           
    17212.5     6.31805804    |72.7516262    |20.9303158         6.16064802    |72.898211     |20.941141     |100           
    17325.0     6.20503575    |72.6915479    |21.1034163         6.04944396    |72.8358945    |21.1146616    |100           
    17437.5     6.0940353     |72.6295931    |21.2763716         5.94024721    |72.771719     |21.2880338    |100           
    17550.0     5.9850205     |72.5658023    |21.4491772         5.83302155    |72.7057252    |21.4612533    |100           
    17662.5     5.87795585    |72.5002153    |21.6218288         5.72773138    |72.637953     |21.6343157    |100           
    17775.0     5.77280645    |72.4328713    |21.7943222         5.62434177    |72.5684415    |21.8072167    |100           
    17887.5     5.66953805    |72.3638087    |21.9666533         5.52281842    |72.4972292    |21.9799523    |100           
    18000.0     5.56811699    |72.2930651    |22.1388179         5.42312764    |72.4243539    |22.1525185    |100           
    18112.5     5.46851023    |72.2206775    |22.3108122         5.32523635    |72.3498526    |22.3249111    |100           
    18225.0     5.37068531    |72.1466824    |22.4826323         5.22911206    |72.2737615    |22.4971264    |100           
    18337.5     5.27461035    |72.0711153    |22.6542744         5.13472289    |72.1961165    |22.6691606    |100           
    18450.0     5.18025406    |71.9940112    |22.8257347         5.04203751    |72.1169525    |22.8410099    |100           
    18562.5     5.08758569    |71.9154045    |22.9970098         4.95102516    |72.036304     |23.0126709    |100           
    18675.0     4.99657504    |71.835329     |23.1680959         4.86165565    |71.9542045    |23.1841398    |100           
    18787.5     4.90719246    |71.7538178    |23.3389898         4.77389933    |71.8706873    |23.3554134    |100           
    18900.0     4.81940883    |71.6709032    |23.5096879         4.68772706    |71.7857848    |23.5264881    |100           
    19012.5     4.73319554    |71.5866174    |23.6801871         4.60311027    |71.699529     |23.6973608    |100           
    19125.0     4.64852449    |71.5009915    |23.850484          4.52002087    |71.611951     |23.8680281    |100           
    19237.5     4.56536811    |71.4140564    |24.0205755         4.4384313     |71.5230818    |24.038487     |100           
    19350.0     4.48369929    |71.3258421    |24.1904586         4.35831447    |71.4329512    |24.2087343    |100           
    19462.5     4.40349142    |71.2363784    |24.3601302         4.27964381    |71.3415891    |24.3787671    |100           
    19575.0     4.32471838    |71.1456942    |24.5295874         4.20239321    |71.2490244    |24.5485824    |100           
    19687.5     4.24735449    |71.0538182    |24.6988273         4.12653704    |71.1552856    |24.7181774    |100           
    19800.0     4.17137454    |70.9607783    |24.8678472         4.05205012    |71.0604006    |24.8875492    |100           
    19912.5     4.09675379    |70.866602     |25.0366442         3.97890775    |70.964397     |25.0566952    |100           
    20025.0     4.0234679     |70.7713164    |25.2052157         3.90708565    |70.8673016    |25.2256127    |100           
    20137.5     3.95149301    |70.6749479    |25.3735591         3.83655999    |70.7691409    |25.3942991    |100           
    20250.0     3.88080566    |70.5775225    |25.5416719         3.76730736    |70.6699408    |25.5627518    |100           
    20362.5     3.81138282    |70.4790657    |25.7095515         3.6993048     |70.5697268    |25.7309684    |100           
    20475.0     3.74320187    |70.3796026    |25.8771956         3.63252973    |70.4685238    |25.8989464    |100           
    20587.5     3.6762406     |70.2791577    |26.0446017         3.56696       |70.3663564    |26.0666836    |100           
    20700.0     3.61047718    |70.1777552    |26.2117676         3.50257384    |70.2632486    |26.2341776    |100           
    20812.5     3.54589018    |70.0754188    |26.378691          3.43934991    |70.159224     |26.4014261    |100           
    20925.0     3.48245857    |69.9721717    |26.5453698         3.37726721    |70.0543058    |26.568427     |100           
    21037.5     3.42016167    |69.8680367    |26.7118017         3.31630514    |69.9485167    |26.7351782    |100           
    21150.0     3.35897919    |69.7630361    |26.8779847         3.25644349    |69.8418789    |26.9016776    |100           
    21262.5     3.29889118    |69.6571921    |27.0439167         3.19766238    |69.7344145    |27.0679231    |100           
    21375.0     3.23987808    |69.550526     |27.2095959         3.13994231    |69.6261448    |27.2339128    |100           
    21487.5     3.18192065    |69.4430592    |27.3750202         3.08326413    |69.517091     |27.3996449    |100           
    21600.0     3.125         |69.3348123    |27.5401877         3.02760903    |69.4072737    |27.5651173    |100           
    21712.5     3.06909759    |69.2258057    |27.7050967         2.97295854    |69.2967131    |27.7303284    |100           
    21825.0     3.01419522    |69.1160595    |27.8697453         2.91929454    |69.1854292    |27.8952762    |100           
    21937.5     2.96027497    |69.0055932    |28.0341318         2.8665992     |69.0734416    |28.0599592    |100           
    22050.0     2.90731929    |68.8944261    |28.1982546         2.81485506    |68.9607693    |28.2243756    |100           
    22162.5     2.85531093    |68.7825772    |28.3621119         2.76404493    |68.8474312    |28.3885239    |100           
    22275.0     2.80423293    |68.6700649    |28.5257022         2.71415196    |68.7334457    |28.5524023    |100           
    22387.5     2.75406865    |68.5569074    |28.6890239         2.6651596     |68.618831     |28.7160094    |100           
    22500.0     2.70480175    |68.4431227    |28.8520755         2.61705158    |68.5036047    |28.8793437    |100           
    22612.5     2.65641618    |68.3287283    |29.0148556         2.56981195    |68.3877843    |29.0424038    |100           
    22725.0     2.60889616    |68.2137413    |29.1773626         2.52342502    |68.2713869    |29.2051881    |100           
    22837.5     2.56222622    |68.0981786    |29.3395952         2.47787542    |68.1544292    |29.3676954    |100           
    22950.0     2.51639114    |67.9820567    |29.5015521         2.43314801    |68.0369277    |29.5299243    |100           
    23062.5     2.471376      |67.865392     |29.663232          2.38922797    |67.9188986    |29.6918735    |100           
    23175.0     2.42716613    |67.7482004    |29.8246335         2.34610071    |67.8003576    |29.8535417    |100           
    23287.5     2.38374711    |67.6304975    |29.9857554         2.30375193    |67.6813203    |30.0149278    |100           
    23400.0     2.34110481    |67.5122986    |30.1465966         2.26216758    |67.5618019    |30.1760305    |100           
    23512.5     2.29922532    |67.3936188    |30.3071559         2.22133385    |67.4418174    |30.3368488    |100           
    23625.0     2.25809501    |67.2744729    |30.4674321         2.18123721    |67.3213814    |30.4973814    |100           
    23737.5     2.21770047    |67.1548754    |30.6274241         2.14186433    |67.2005083    |30.6576274    |100           
    23850.0     2.17802854    |67.0348405    |30.787131          2.10320216    |67.0792122    |30.8175856    |100           
    23962.5     2.13906629    |66.9143821    |30.9465516         2.06523788    |66.957507     |30.9772552    |100           
    24075.0     2.10080102    |66.793514     |31.105685          2.02795887    |66.8354061    |31.136635     |100           
    24187.5     2.06322028    |66.6722495    |31.2645302         1.99135278    |66.712923     |31.2957242    |100           
    24300.0     2.0263118     |66.5506018    |31.4230864         1.95540745    |66.5900707    |31.4545218    |100           
    24412.5     1.99006358    |66.4285839    |31.5813525         1.92011096    |66.466862     |31.613027     |100           
    24525.0     1.95446379    |66.3062085    |31.7393277         1.8854516     |66.3433094    |31.771239     |100           
    24637.5     1.91950084    |66.1834879    |31.8970113         1.85141786    |66.2194253    |31.9291568    |100           
    24750.0     1.88516333    |66.0604343    |32.0544023         1.81799846    |66.0952217    |32.0867798    |100           
    24862.5     1.85144008    |65.9370599    |32.2115001         1.7851823     |65.9707106    |32.2441071    |100           
    24975.0     1.81832009    |65.8133761    |32.3683038         1.7529585     |65.8459034    |32.4011381    |100           
    25087.5     1.78579258    |65.6893947    |32.5248127         1.72131636    |65.7208117    |32.5578719    |100           
    25200.0     1.75384695    |65.5651268    |32.6810262         1.69024538    |65.5954466    |32.7143081    |100           
    25312.5     1.72247279    |65.4405836    |32.8369436         1.65973525    |65.469819     |32.8704458    |100           
    25425.0     1.69165987    |65.315776     |32.9925642         1.62977586    |65.3439397    |33.0262844    |100           
    25537.5     1.66139815    |65.1907145    |33.1478874         1.60035725    |65.2178193    |33.1818235    |100           
    25650.0     1.63167779    |65.0654096    |33.3029126         1.57146967    |65.091468     |33.3370623    |100           
    25762.5     1.60248908    |64.9398716    |33.4576393         1.54310353    |64.9648961    |33.4920004    |100           
    25875.0     1.57382252    |64.8141106    |33.6120669         1.51524942    |64.8381134    |33.6466372    |100           
    25987.5     1.54566877    |64.6881364    |33.7661949         1.48789809    |64.7111297    |33.8009722    |100           
    26100.0     1.51801866    |64.5619586    |33.9200227         1.46104048    |64.5839546    |33.9550049    |100           
    26212.5     1.49086317    |64.4355868    |34.0735501         1.43466766    |64.4565974    |34.108735     |100           
    26325.0     1.46419346    |64.3090302    |34.2267763         1.4087709     |64.3290673    |34.2621618    |100           
    26437.5     1.43800084    |64.182298     |34.3797012         1.38334158    |64.2013732    |34.4152852    |100           
    26550.0     1.41227678    |64.0553991    |34.5323241         1.35837129    |64.0735242    |34.5681045    |100           
    26662.5     1.38701288    |63.9283422    |34.6846449         1.33385173    |63.9455287    |34.7206196    |100           
    26775.0     1.36220093    |63.8011361    |34.836663          1.30977476    |63.8173953    |34.87283      |100           
    26887.5     1.33783283    |63.6737891    |34.9883781         1.2861324     |63.6891322    |35.0247354    |100           
    27000.0     1.31390065    |63.5463094    |35.13979           1.2629168     |63.5607478    |35.1763354    |100           
    27112.5     1.29039658    |63.4187052    |35.2908982         1.24012025    |63.4322498    |35.3276299    |100           
    27225.0     1.26731298    |63.2909844    |35.4417026         1.21773521    |63.3036463    |35.4786185    |100           
    27337.5     1.24464231    |63.1631548    |35.5922029         1.19575422    |63.1749447    |35.629301     |100           
    27450.0     1.22237719    |63.0352241    |35.7423987         1.17417001    |63.0461528    |35.7796772    |100           
    27562.5     1.20051036    |62.9071997    |35.8922899         1.15297541    |62.9172778    |35.9297468    |100           
    27675.0     1.17903471    |62.779089     |36.0418763         1.13216339    |62.788327     |36.0795096    |100           
    27787.5     1.15794323    |62.6508991    |36.1911577         1.11172704    |62.6593075    |36.2289655    |100           
    27900.0     1.13722905    |62.5226372    |36.3401338         1.09165958    |62.5302262    |36.3781142    |100           
    28012.5     1.11688542    |62.3943101    |36.4888045         1.07195435    |62.4010899    |36.5269558    |100           
    28125.0     1.09690571    |62.2659246    |36.6371697         1.05260482    |62.2719053    |36.6754899    |100           
    28237.5     1.07728342    |62.1374873    |36.7852293         1.03360456    |62.1426789    |36.8237165    |100           
    28350.0     1.05801215    |62.0090048    |36.932983          1.01494726    |62.0134172    |36.9716356    |100           
    28462.5     1.03908561    |61.8804835    |37.0804309         0.996626746   |61.8841264    |37.1192469    |100           
    28575.0     1.02049765    |61.7519295    |37.2275729         0.978636927   |61.7548126    |37.2665505    |100           
    28687.5     1.0022422     |61.623349     |37.3744088         0.960971838   |61.6254819    |37.4135463    |100           
    28800.0     0.98431332    |61.4947481    |37.5209386         0.943625616   |61.4961401    |37.5602342    |100           
    28912.5     0.966705166   |61.3661326    |37.6671623         0.926592506   |61.3667932    |37.7066143    |100           
    29025.0     0.949412      |61.2375082    |37.8130798         0.909866855   |61.2374467    |37.8526865    |100           
    29137.5     0.932428187   |61.1088807    |37.9586912         0.893443115   |61.1081061    |37.9984508    |100           
    29250.0     0.915748194   |60.9802555    |38.1039963         0.877315834   |60.978777     |38.1439072    |100           
    29362.5     0.899366586   |60.851638     |38.2489954         0.861479662   |60.8494645    |38.2890558    |100           
    29475.0     0.883278024   |60.7230337    |38.3936883         0.845929345   |60.7201741    |38.4338966    |100           
    29587.5     0.867477267   |60.5944477    |38.5380751         0.830659721   |60.5909107    |38.5784296    |100           
    29700.0     0.851959166   |60.465885     |38.6821558         0.815665725   |60.4616793    |38.7226549    |100           
    29812.5     0.836718665   |60.3373508    |38.8259306         0.800942381   |60.3324849    |38.8665727    |100           
    29925.0     0.821750797   |60.2088498    |38.9693994         0.786484805   |60.2033323    |39.0101829    |100           
    30037.5     0.807050687   |60.0803869    |39.1125624         0.772288197   |60.0742261    |39.1534857    |100           
    30150.0     0.792613543   |59.9519668    |39.2554197         0.758347849   |59.945171     |39.2964811    |100           
    30262.5     0.778434662   |59.823594     |39.3979714         0.744659133   |59.8161715    |39.4391694    |100           
    30375.0     0.764509424   |59.6952731    |39.5402175         0.731217509   |59.6872319    |39.5815506    |100           
    30487.5     0.750833291   |59.5670084    |39.6821583         0.718018515   |59.5583566    |39.7236249    |100           
