Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 900.0 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 75.22826689202253 at t = 13500.0 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
    89100.0     6.18381288E-05|17.4854617    |82.5144765         1.97025418E-05|17.1704831    |82.8294972    |100           
    90000.0     5.35231613E-05|17.1556532    |82.8442933         1.68573832E-05|16.843517     |83.1564662    |100           
    90900.0     4.6326253E-05 |16.8320645    |83.1678892         1.44230816E-05|16.5227766    |83.4772089    |100           
    91800.0     4.00970657E-05|16.5145785    |83.4853814         1.2340307E-05 |16.2081437    |83.791844     |100           
    92700.0     3.47054764E-05|16.2030802    |83.7968851         1.05582968E-05|15.8995018    |84.1004877    |100           
    93600.0     3.00388586E-05|15.8974568    |84.1025131         9.03361893E-06|15.596737     |84.403254     |100           
    94500.0     2.59997304E-05|15.5975975    |84.4023765         7.7291132E-06 |15.2997373    |84.7002549    |100           
    95400.0     2.25037172E-05|15.3033938    |84.6965837         6.61298549E-06|15.0083931    |84.9916003    |100           
    96300.0     1.947779E-05  |15.0147389    |84.9852416         5.65803293E-06|14.7225967    |85.2773977    |100           
    97200.0     1.68587394E-05|14.7315284    |85.2684547         4.84098094E-06|14.4422424    |85.5577528    |100           
    98100.0     1.45918553E-05|14.4536595    |85.5463259         4.14191588E-06|14.1672266    |85.8327693    |100           
    99000.0     1.26297843E-05|14.1810316    |85.8189558         3.54379977E-06|13.8974477    |86.1025487    |100           
    99900.0     1.09315401E-05|13.9135458    |86.0864433         3.03205502E-06|13.632806     |86.367191     |100           
   100800.0     9.46164758E-06|13.6511052    |86.3488853         2.5942091E-06 |13.3732037    |86.6267937    |100           
   101700.0     8.18940191E-06|13.3936147    |86.6063772         2.21959062E-06|13.1185447    |86.881453     |100           
   102600.0     7.08822677E-06|13.1409808    |86.8590121         1.89906917E-06|12.8687351    |87.131263     |100           
   103500.0     6.13511942E-06|12.8931121    |87.1068818         1.62483282E-06|12.6236824    |87.3763159    |100           
   104400.0     5.31017016E-06|12.6499186    |87.3500761         1.39019776E-06|12.3832961    |87.6167025    |100           
   105300.0     4.59614642E-06|12.4113122    |87.5886832         1.18944533E-06|12.1474874    |87.8525115    |100           
   106200.0     3.97813277E-06|12.1772064    |87.8227896         1.01768269E-06|11.9161689    |88.08383      |100           
   107100.0     3.44321935E-06|11.9475163    |88.0524802         8.70723549E-07|11.6892554    |88.3107437    |100           
   108000.0     2.98023224E-06|11.7221586    |88.2778384         7.44986138E-07|11.4666628    |88.5333364    |100           
   108900.0     2.57949996E-06|11.5010517    |88.4989457         6.37405921E-07|11.2483089    |88.7516904    |100           
   109800.0     2.23265153E-06|11.2841153    |88.7158825         5.45360897E-07|11.034113     |88.9658864    |100           
   110700.0     1.93244152E-06|11.0712707    |88.9287274         4.66607695E-07|10.823996     |89.1760036    |100           
   111600.0     1.67259879E-06|10.8624409    |89.1375575         3.99226902E-07|10.61788      |89.3821196    |100           
   112500.0     1.44769541E-06|10.65755      |89.3424485         3.41576276E-07|10.4156891    |89.5843106    |100           
   113400.0     1.2530333E-06 |10.4565239    |89.5434749         2.92250728E-07|10.2173483    |89.7826514    |100           
   114300.0     1.08454614E-06|10.2592895    |89.7407094         2.50048068E-07|10.0227844    |89.9772153    |100           
   115200.0     9.38714333E-07|10.0657754    |89.9342236         2.13939711E-07|9.83192555    |90.1680742    |100           
   116100.0     8.12491575E-07|9.87591145    |90.1240877         1.83045605E-07|9.64470109    |90.3552987    |100           
   117000.0     7.03241164E-07|9.68962874    |90.3103706         1.56612783E-07|9.46104185    |90.538958     |100           
   117900.0     6.08680939E-07|9.50685975    |90.4931396         1.33997011E-07|9.28087994    |90.7191199    |100           
   118800.0     5.26835606E-07|9.32753819    |90.6724613         1.14647083E-07|9.10414875    |90.8958511    |100           
   119700.0     4.55995479E-07|9.15159904    |90.8484005         9.80913954E-08|8.93078297    |91.0692169    |100           
   120600.0     3.94680759E-07|8.97897851    |91.0210211         8.39264425E-08|8.76071851    |91.2392814    |100           
   121500.0     3.41610627E-07|8.80961401    |91.1903857         7.18069889E-08|8.59389249    |91.4061074    |100           
   122400.0     2.95676487E-07|8.6434441     |91.3565556         6.14376531E-08|8.43024326    |91.5697567    |100           
   123300.0     2.5591881E-07 |8.48040854    |91.5195912         5.25657081E-08|8.26971032    |91.7302896    |100           
   124200.0     2.21507086E-07|8.32044821    |91.6795516         4.49749222E-08|8.11223433    |91.8877656    |100           
   125100.0     1.91722482E-07|8.1635051     |91.8364947         3.84802888E-08|7.95775708    |92.0422429    |100           
   126000.0     1.65942818E-07|8.0095223     |91.9904775         3.29235172E-08|7.80622145    |92.1937785    |100           
   126900.0     1.43629576E-07|7.85844398    |92.1415559         2.81691748E-08|7.65757145    |92.3424285    |100           
   127800.0     1.24316649E-07|7.71021534    |92.2897845         2.41013865E-08|7.51175211    |92.4882479    |100           
   128700.0     1.07600605E-07|7.56478264    |92.4352173         2.06210098E-08|7.36870954    |92.6312904    |100           
   129600.0     9.31322575E-08|7.42209314    |92.5779068         1.76432192E-08|7.22839085    |92.7716091    |100           
   130500.0     8.06093738E-08|7.28209509    |92.7179048         1.50954385E-08|7.09074418    |92.9092558    |100           
   131400.0     6.97703602E-08|7.14473773    |92.8552622         1.29155717E-08|6.95571866    |93.0442813    |100           
   132300.0     6.03887976E-08|7.00997126    |92.9900287         1.105049E-08  |6.82326435    |93.1767356    |100           
   133200.0     5.22687122E-08|6.87774679    |93.1222532         9.45473665E-09|6.69333231    |93.3066677    |100           
   134100.0     4.52404814E-08|6.74801639    |93.2519836         8.08941914E-09|6.56587449    |93.4341255    |100           
   135000.0     3.91572907E-08|6.620733      |93.379267          6.92126121E-09|6.4408438     |93.5591562    |100           
   135900.0     3.38920667E-08|6.49585048    |93.5041495         5.9217919E-09 |6.318194      |93.681806     |100           
   136800.0     2.93348229E-08|6.37332353    |93.6266764         5.06665162E-09|6.19787976    |93.8021202    |100           
   137700.0     2.53903617E-08|6.25310773    |93.7468922         4.33499843E-09|6.0798566     |93.9201434    |100           
   138600.0     2.19762864E-08|6.13515947    |93.8648405         3.70900011E-09|5.9640809     |94.0359191    |100           
   139500.0     1.90212793E-08|6.019436      |93.980564          3.17339949E-09|5.85050987    |94.1494901    |100           
   140400.0     1.64636127E-08|5.90589534    |94.0941046         2.71514264E-09|5.7391015     |94.2608985    |100           
   141300.0     1.42498587E-08|5.79449633    |94.2055037         2.32306066E-09|5.62981463    |94.3701854    |100           
   142200.0     1.23337737E-08|5.68519856    |94.3148014         1.98759755E-09|5.52260886    |94.4773911    |100           
   143100.0     1.06753321E-08|5.5779624     |94.4220376         1.70057721E-09|5.41744456    |94.5825554    |100           
   144000.0     9.23989022E-09|5.47274897    |94.527251          1.45500423E-09|5.31428284    |94.6857172    |100           
   144900.0     7.9974628E-09 |5.36952011    |94.6304799         1.24489338E-09|5.21308558    |94.7869144    |100           
   145800.0     6.92209645E-09|5.26823839    |94.7317616         1.06512373E-09|5.11381538    |94.8861846    |100           
   146700.0     5.99132756E-09|5.16886708    |94.8311329         9.11313829E-10|5.01643552    |94.9835645    |100           
   147600.0     5.18571305E-09|5.07137014    |94.9286299         7.79714952E-10|4.92091002    |95.07909      |100           
   148500.0     4.48842424E-09|4.97571222    |95.0242878         6.67119697E-10|4.82720357    |95.1727964    |100           
   149400.0     3.88489528E-09|4.88185864    |95.1181414         5.70783836E-10|4.73528152    |95.2647185    |100           
   150300.0     3.3625189E-09 |4.78977535    |95.2102246         4.88359418E-10|4.6451099     |95.3548901    |100           
   151200.0     2.91038305E-09|4.69942897    |95.300571          4.17837552E-10|4.55665537    |95.4433446    |100           
   152100.0     2.51904293E-09|4.61078674    |95.3892133         3.57499444E-10|4.46988524    |95.5301148    |100           
   153000.0     2.18032376E-09|4.5238165     |95.4761835         3.058745E-10  |4.38476743    |95.6152326    |100           
   153900.0     1.88714993E-09|4.43848673    |95.5615133         2.6170449E-10 |4.30127047    |95.6987295    |100           
   154800.0     1.63339726E-09|4.35476647    |95.6452335         2.2391288E-10 |4.21936351    |95.7806365    |100           
   155700.0     1.41376504E-09|4.27262538    |95.7273746         1.91578592E-10|4.13901626    |95.8609837    |100           
   156600.0     1.22366534E-09|4.19203366    |95.8079663         1.63913558E-10|4.06019902    |95.939801     |100           
   157500.0     1.05912709E-09|4.11296209    |95.8870379         1.40243512E-10|3.98288266    |96.0171173    |100           
   158400.0     9.16713216E-10|4.03538199    |95.964618          1.19991555E-10|3.9070386     |96.0929614    |100           
   159300.0     7.93448804E-10|3.95926524    |96.0407348         1.02664095E-10|3.83263879    |96.1673612    |100           
   160200.0     6.86758949E-10|3.88458422    |96.1154158         8.78388183E-11|3.75965575    |96.2403442    |100           
   161100.0     5.94414979E-10|3.81131187    |96.1886881         7.51543956E-11|3.68806249    |96.3119375    |100           
   162000.0     5.14487897E-10|3.7394216     |96.2605784         6.43016753E-11|3.61783254    |96.3821675    |100           
   162900.0     4.45308085E-10|3.66888735    |96.3311126         5.50161492E-11|3.54893995    |96.4510601    |100           
   163800.0     3.85430428E-10|3.59968354    |96.4003165         4.70715058E-11|3.48135924    |96.5186408    |100           
   164700.0     3.33604128E-10|3.53178508    |96.4682149         4.02741138E-11|3.41506544    |96.5849346    |100           
   165600.0     2.88746569E-10|3.46516734    |96.5348327         3.44583037E-11|3.35003404    |96.649966     |100           
   166500.0     2.49920713E-10|3.39980617    |96.6001938         2.94823295E-11|3.286241      |96.713759     |100           
   167400.0     2.16315514E-10|3.33567787    |96.6643221         2.52249142E-11|3.22366274    |96.7763373    |100           
   168300.0     1.87228986E-10|3.27275917    |96.7272408         2.15822937E-11|3.16227612    |96.8377239    |100           
   169200.0     1.62053533E-10|3.21102727    |96.7889727         1.84656883E-11|3.10205847    |96.8979415    |100           
   170100.0     1.40263257E-10|3.15045977    |96.8495402         1.57991384E-11|3.0429875     |96.9570125    |100           
   171000.0     1.21402978E-10|3.09103473    |96.9089653         1.35176533E-11|2.9850414     |97.0149586    |100           
   171900.0     1.05078716E-10|3.03273057    |96.9672694         1.15656276E-11|2.92819873    |97.0718013    |100           
   172800.0     9.09494702E-11|2.97552617    |97.0244738         9.89548551E-12|2.87243849    |97.1275615    |100           
   173700.0     7.87200916E-11|2.91940078    |97.0805992         8.46652137E-12|2.81774007    |97.1822599    |100           
   174600.0     6.81351174E-11|2.86433404    |97.135666          7.24390774E-12|2.76408324    |97.2359168    |100           
   175500.0     5.89734352E-11|2.810306      |97.189694          6.19784644E-12|2.71144817    |97.2885518    |100           
   176400.0     5.10436643E-11|2.75729704    |97.242703          5.30284232E-12|2.65981541    |97.3401846    |100           
   177300.0     4.41801577E-11|2.70528796    |97.294712          4.53708186E-12|2.60916586    |97.3908341    |100           
   178200.0     3.82395417E-11|2.6542599     |97.3457401         3.88190155E-12|2.5594808     |97.4405192    |100           
   179100.0     3.30977214E-11|2.60419434    |97.3958057         3.32133298E-12|2.51074188    |97.4892581    |100           
   180000.0     2.8647288E-11 |2.55507314    |97.4449269         2.84171369E-12|2.46293106    |97.5370689    |100           
