Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 900.0 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 75.22826689202253 at t = 13500.0 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
-----------     --------------|--------------|--------------     --------------|--------------|--------------|--------------
          0     100           |0             |0                  100           |0             |0             |100           
      900.0     86.5536561    |13.3160757    |0.130268154        85.5594337    |14.4405663    |0             |100           
     1800.0     74.9153538    |24.5904538    |0.494192376        73.204167     |26.5208484    |0.274984555   |100           
     2700.0     64.8419777    |34.1024055    |1.05561677         62.6330708    |36.5869213    |0.780007942   |100           
     3600.0     56.1231024    |42.0935611    |1.78333645         53.5885007    |44.9347847    |1.47671457    |100           
     4500.0     48.5765971    |48.7729728    |2.65043012         45.8500177    |51.8175968    |2.33238543    |100           
     5400.0     42.0448208    |54.3214968    |3.63368244         39.2290155    |57.4518622    |3.31912228    |100           
     6300.0     36.3913296    |58.8955863    |4.7130841          33.5641236    |62.0227268    |4.41314965    |100           
     7200.0     31.4980262    |62.6305747    |5.87139909         28.7172741    |65.6885082    |5.59421773    |100           
     8100.0     27.2626933    |65.6435164    |7.0937903          24.5703371    |68.5845715    |6.84509148    |100           
     9000.0     23.5968578    |68.0356468    |8.36749535         21.0222413    |70.8266452    |8.15111352    |100           
     9900.0     20.4239432    |69.8945107    |9.68154617         17.9865106    |72.5136592    |9.49983026    |100           
    10800.0     17.6776695    |71.2958042    |11.0265262         15.3891566    |73.7301714    |10.880672     |100           
    11700.0     15.3006693    |72.3049703    |12.3943604         13.1668752    |74.5484456    |12.2846791    |100           
    12600.0     13.2432887    |72.9785779    |13.7781334         11.2655039    |75.0302278    |13.7042683    |100           
    13500.0     11.4625505    |73.3655174    |15.1719321         9.63870135    |75.2282669    |15.1330318    |100           
    14400.0     9.92125657    |73.5080338    |16.5707096         8.24681829    |75.1876153    |16.5655664    |100           
    15300.0     8.5872103     |73.4426222    |17.9701675         7.05593103    |74.946742     |17.9973269    |100           
    16200.0     7.43254447    |73.2008018    |19.3666537         6.03701464    |74.5384847    |19.4245006    |100           
    17100.0     6.43313898    |72.8097865    |20.7570745         5.16523554    |73.9908643    |20.8439001    |100           
    18000.0     5.56811699    |72.2930651    |22.1388179         4.41934628    |73.3277822    |22.2528715    |100           
    18900.0     4.81940883    |71.6709032    |23.5096879         3.78116765    |72.5696162    |23.6492162    |100           
    19800.0     4.17137454    |70.9607783    |24.8678472         3.23514563    |71.7337309    |25.0311234    |100           
    20700.0     3.61047718    |70.1777552    |26.2117676         2.76797228    |70.8349143    |26.3971134    |100           
    21600.0     3.125         |69.3348123    |27.5401877         2.36826141    |69.885751     |27.7459876    |100           
    22500.0     2.70480175    |68.4431227    |28.8520755         2.02627105    |68.8969416    |29.0767873    |100           
    23400.0     2.34110481    |67.5122986    |30.1465966         1.73366604    |67.8775763    |30.3887577    |100           
    24300.0     2.0263118     |66.5506018    |31.4230864         1.48331485    |66.8353684    |31.6813168    |100           
    25200.0     1.75384695    |65.5651268    |32.6810262         1.26911578    |65.7768546    |32.9540296    |100           
    26100.0     1.51801866    |64.5619586    |33.9200227         1.08584828    |64.707566     |34.2065857    |100           
    27000.0     1.31390065    |63.5463094    |35.13979           0.929045637   |63.6321745    |35.4387798    |100           
    27900.0     1.13722905    |62.5226372    |36.3401338         0.794886186   |62.554618     |36.6504958    |100           
    28800.0     0.98431332    |61.4947481    |37.5209386         0.68010012    |61.4782074    |37.8416925    |100           
    29700.0     0.851959166   |60.465885     |38.6821558         0.581889811   |60.4057187    |39.0123915    |100           
    30600.0     0.737401807   |59.4388044    |39.8237938         0.497861627   |59.3394706    |40.1626677    |100           
    31500.0     0.638248224   |58.4158423    |40.9459095         0.425967589   |58.2813925    |41.2926399    |100           
    32400.0     0.552427173   |57.3989723    |42.0486005         0.364455457   |57.2330809    |42.4024636    |100           
    33300.0     0.478145915   |56.3898549    |43.1319992         0.311826025   |56.1958491    |43.4923248    |100           
    34200.0     0.413852771   |55.3898805    |44.1962668         0.266796582   |55.1707689    |44.5624346    |100           
    35100.0     0.358204704   |54.4002066    |45.2415887         0.228269644   |54.1587062    |45.6130242    |100           
    36000.0     0.310039268   |53.4217901    |46.2681707         0.195306215   |53.1603522    |46.6443416    |100           
    36900.0     0.268350322   |52.4554151    |47.2762346         0.167102892   |52.1762492    |47.6566479    |100           
    37800.0     0.232267015   |51.5017168    |48.2660162         0.142972288   |51.2068133    |48.6502144    |100           
    38700.0     0.201035593   |50.5612027    |49.2377617         0.12232628    |50.2523533    |49.6253204    |100           
    39600.0     0.174003656   |49.6342701    |50.1917263         0.104661672   |49.3130873    |50.5822511    |100           
    40500.0     0.150606526   |48.7212219    |51.1281715         0.0895479343  |48.3891563    |51.5212958    |100           
    41400.0     0.130355455   |47.8222805    |52.0473641         0.0766167055  |47.4806368    |52.4427465    |100           
    42300.0     0.112827412   |46.9375985    |52.9495741         0.0655528194  |46.5875504    |53.3468968    |100           
    43200.0     0.09765625    |46.0672697    |53.8350741         0.0560866211  |45.7098729    |54.2340404    |100           
    44100.0     0.0845250548  |45.2113371    |54.7041379         0.0479873954  |44.8475417    |55.1044709    |100           
    45000.0     0.0731595252  |44.3698008    |55.5570397         0.0410577438  |44.0004618    |55.9584805    |100           
    45900.0     0.0633222439  |43.5426244    |56.3940534         0.0351287731  |43.1685117    |56.7963595    |100           
    46800.0     0.0548077172  |42.7297406    |57.2154517         0.0300559793  |42.3515479    |57.6183961    |100           
    47700.0     0.0474380831  |41.9310558    |58.0215061         0.0257157257  |41.5494086    |58.4248756    |100           
    48600.0     0.0410593953  |41.1464548    |58.8124858         0.0220022293  |40.7619173    |59.2160805    |100           
    49500.0     0.0355384078  |40.3758038    |59.5886578         0.0188249828  |39.9888855    |59.9922895    |100           
    50400.0     0.0307597913  |39.6189539    |60.3502863         0.0161065487  |39.2301154    |60.753778     |100           
    51300.0     0.0266237239  |38.8757437    |61.0976326         0.0137806718  |38.4854016    |61.5008177    |100           
    52200.0     0.0230438065  |38.1460013    |61.8309549         0.0117906648  |37.7545332    |62.2336761    |100           
    53100.0     0.019945257   |37.429547     |62.5505078         0.010088026   |37.0372949    |62.952617     |100           
    54000.0     0.0172633492  |36.726194     |63.2565427         0.00863125795 |36.3334688    |63.6578999    |100           
    54900.0     0.0149420599  |36.0357507    |63.9493072         0.00738485543 |35.642835     |64.3497802    |100           
    55800.0     0.0129328991  |35.3580218    |64.6290453         0.00631844049 |34.9651725    |65.028509     |100           
    56700.0     0.011193897   |34.6928089    |65.2959973         0.0054060219  |34.3002605    |65.6943335    |100           
    57600.0     0.00968872712 |34.0399118    |65.9503995         0.00462536173 |33.6478783    |66.3474964    |100           
    58500.0     0.00838594756 |33.3991295    |66.5924845         0.0039574333  |33.0078063    |66.9882363    |100           
    59400.0     0.00725834421 |32.7702604    |67.2224813         0.00338595752 |32.3798265    |67.6167876    |100           
    60300.0     0.00628236228 |32.1531031    |67.8406146         0.00289700608 |31.7637224    |68.2333806    |100           
    61200.0     0.00543761425 |31.5474568    |68.4471056         0.002478662   |31.1592799    |68.8382414    |100           
    62100.0     0.00470645393 |30.953122     |69.0421716         0.00212072917 |30.5662871    |69.4315922    |100           
    63000.0     0.00407360795 |30.3699003    |69.6260261         0.00181448387 |29.9845347    |70.0136508    |100           
    63900.0     0.00352585662 |29.7975953    |70.1988788         0.00155246212 |29.413816     |70.5846315    |100           
    64800.0     0.00305175781 |29.2360124    |70.7609358         0.0013282778  |28.8539275    |71.1447442    |100           
    65700.0     0.00264140796 |28.6849591    |71.3123995         0.00113646697 |28.3046682    |71.6941953    |100           
    66600.0     0.00228623516 |28.1442453    |71.8534684         0.000972354701|27.7658406    |72.2331871    |100           
    67500.0     0.00197882012 |27.6136834    |72.3843378         0.000831941176|27.2372498    |72.7619182    |100           
    68400.0     0.00171274116 |27.0930882    |72.9051991         0.00071180416 |26.7187045    |73.2805837    |100           
    69300.0     0.0014824401  |26.5822771    |73.4162404         0.000609015608|26.2100162    |73.7893748    |100           
    70200.0     0.0012831061  |26.0810706    |73.9176463         0.000521070306|25.7109998    |74.2884791    |100           
    71100.0     0.00111057524 |25.5892913    |74.4095981         0.000445824803|25.2214732    |74.778081     |100           
    72000.0     0.000961243477|25.1067653    |74.8922735         0.000381445177|24.7412576    |75.258361     |100           
    72900.0     0.000831991373|24.6333209    |75.3658471         0.000326362333|24.2701771    |75.7294965    |100           
    73800.0     0.000720118952|24.1687895    |75.8304903         0.000279233764|23.8080593    |76.1916615    |100           
    74700.0     0.000623289281|23.7130055    |76.2863712         0.000238910828|23.3547345    |76.6450266    |100           
    75600.0     0.000539479661|23.2658056    |76.7336549         0.000204410751|22.9100364    |77.0897592    |100           
    76500.0     0.00046693937 |22.8270299    |77.1725032         0.000174892681|22.4738014    |77.5260237    |100           
    77400.0     0.000404153097|22.3965208    |77.603075          0.000149637188|22.0458692    |77.9539812    |100           
    78300.0     0.000349809282|21.9741238    |78.0255264         0.00012802873 |21.6260822    |78.3737897    |100           
    79200.0     0.000302772723|21.559687     |78.4400103         0.000109540657|21.2142859    |78.7856045    |100           
    80100.0     0.000262060861|21.1530611    |78.8466768         9.37223657E-05|20.8103286    |79.1895777    |100           
    81000.0     0.000226823256|20.7540997    |79.2456734         8.01883254E-05|20.4140614    |79.5858585    |100           
    81900.0     0.000196323821|20.362659     |79.6371447         6.86086771E-05|20.0253381    |79.9745933    |100           
    82800.0     0.000169925445|19.9785977    |80.0212324         5.87011956E-05|19.6440154    |80.3559259    |100           
    83700.0     0.000147076685|19.6017772    |80.3980757         5.02244106E-05|19.2699526    |80.7299972    |100           
    84600.0     0.000127300249|19.2320614    |80.7678113         4.29717213E-05|18.9030117    |81.0969453    |100           
    85500.0     0.000110183019|18.8693166    |81.1305732         3.67663614E-05|18.5430572    |81.456906     |100           
    86400.0     9.53674316E-05|18.5134118    |81.4864929         3.14570906E-05|18.1899562    |81.8100123    |100           
    87300.0     8.25439988E-05|18.1642182    |81.8356993         2.69145086E-05|17.8435785    |82.1563946    |100           
    88200.0     7.14448489E-05|17.8216095    |82.1783191         2.30279012E-05|17.5037959    |82.4961811    |100           
