Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 14.0625 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.5362038412914 at t = 14526.5625 s

    Time                           Analytical                                             Numerical                         
     (s)              N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
   20489.0625     3.73476547    |70.3671002    |25.8981344         3.72091868    |70.3782338    |25.9008476    |100           
    20503.125     3.72634807    |70.3545824    |25.9190695         3.71252303    |70.3656891    |25.9217878    |100           
   20517.1875     3.71794965    |70.3420495    |25.9400009         3.70414632    |70.3531293    |25.9427244    |100           
     20531.25     3.70957015    |70.3295013    |25.9609285         3.69578851    |70.3405543    |25.9636572    |100           
   20545.3125     3.70120954    |70.316938     |25.9818524         3.68744956    |70.3279642    |25.9845863    |100           
    20559.375     3.69286777    |70.3043596    |26.0027726         3.67912943    |70.315359     |26.0055116    |100           
   20573.4375     3.68454481    |70.2917662    |26.023689          3.67082807    |70.3027388    |26.0264332    |100           
      20587.5     3.6762406     |70.2791577    |26.0446017         3.66254544    |70.2901036    |26.047351     |100           
   20601.5625     3.66795511    |70.2665343    |26.0655106         3.65428149    |70.2774535    |26.068265     |100           
    20615.625     3.65968829    |70.2538959    |26.0864158         3.6460362     |70.2647885    |26.0891753    |100           
   20629.6875     3.6514401     |70.2412427    |26.1073172         3.63780951    |70.2521086    |26.1100819    |100           
     20643.75     3.6432105     |70.2285747    |26.1282148         3.62960138    |70.239414     |26.1309846    |100           
   20657.8125     3.63499946    |70.2158919    |26.1491087         3.62141177    |70.2267046    |26.1518836    |100           
    20671.875     3.62680691    |70.2031943    |26.1699988         3.61324064    |70.2139806    |26.1727788    |100           
   20685.9375     3.61863283    |70.1904821    |26.1908851         3.60508794    |70.2012419    |26.1936702    |100           
      20700.0     3.61047718    |70.1777552    |26.2117676         3.59695364    |70.1884886    |26.2145578    |100           
   20714.0625     3.6023399     |70.1650138    |26.2326463         3.5888377     |70.1757207    |26.2354416    |100           
    20728.125     3.59422097    |70.1522578    |26.2535213         3.58074007    |70.1629383    |26.2563216    |100           
   20742.1875     3.58612033    |70.1394873    |26.2743924         3.57266071    |70.1501414    |26.2771979    |100           
     20756.25     3.57803795    |70.1267023    |26.2952598         3.56459957    |70.1373301    |26.2980703    |100           
   20770.3125     3.56997379    |70.1139029    |26.3161233         3.55655663    |70.1245045    |26.3189389    |100           
    20784.375     3.5619278     |70.1010892    |26.336983          3.54853183    |70.1116645    |26.3398037    |100           
   20798.4375     3.55389994    |70.0882611    |26.3578389         3.54052515    |70.0988102    |26.3606646    |100           
      20812.5     3.54589018    |70.0754188    |26.378691          3.53253652    |70.0859417    |26.3815218    |100           
   20826.5625     3.53789847    |70.0625622    |26.3995393         3.52456592    |70.073059     |26.4023751    |100           
    20840.625     3.52992478    |70.0496915    |26.4203837         3.51661331    |70.0601621    |26.4232246    |100           
   20854.6875     3.52196905    |70.0368066    |26.4412243         3.50867864    |70.0472512    |26.4440702    |100           
     20868.75     3.51403125    |70.0239076    |26.4620611         3.50076187    |70.0343261    |26.464912     |100           
   20882.8125     3.50611135    |70.0109946    |26.482894          3.49286297    |70.0213871    |26.48575      |100           
    20896.875     3.49820929    |69.9980676    |26.5037231         3.48498189    |70.0084341    |26.5065841    |100           
   20910.9375     3.49032505    |69.9851266    |26.5245484         3.47711859    |69.9954671    |26.5274143    |100           
      20925.0     3.48245857    |69.9721717    |26.5453698         3.46927303    |69.9824863    |26.5482407    |100           
   20939.0625     3.47460982    |69.9592029    |26.5661873         3.46144518    |69.9694916    |26.5690632    |100           
    20953.125     3.46677877    |69.9462203    |26.587001          3.45363499    |69.9564831    |26.5898819    |100           
   20967.1875     3.45896536    |69.9332239    |26.6078108         3.44584242    |69.9434609    |26.6106967    |100           
     20981.25     3.45116956    |69.9202137    |26.6286167         3.43806743    |69.930425     |26.6315076    |100           
   20995.3125     3.44339133    |69.9071899    |26.6494188         3.43030999    |69.9173754    |26.6523146    |100           
    21009.375     3.43563063    |69.8941524    |26.6702169         3.42257005    |69.9043122    |26.6731178    |100           
   21023.4375     3.42788743    |69.8811013    |26.6910112         3.41484757    |69.8912354    |26.6939171    |100           
      21037.5     3.42016167    |69.8680367    |26.7118017         3.40714252    |69.878145     |26.7147124    |100           
   21051.5625     3.41245333    |69.8549585    |26.7325882         3.39945485    |69.8650412    |26.7355039    |100           
    21065.625     3.40476236    |69.8418668    |26.7533708         3.39178453    |69.851924     |26.7562915    |100           
   21079.6875     3.39708872    |69.8287617    |26.7741496         3.38413152    |69.8387933    |26.7770752    |100           
     21093.75     3.38943238    |69.8156432    |26.7949244         3.37649577    |69.8256493    |26.797855     |100           
   21107.8125     3.3817933     |69.8025114    |26.8156953         3.36887725    |69.8124919    |26.8186308    |100           
    21121.875     3.37417143    |69.7893662    |26.8364624         3.36127593    |69.7993213    |26.8394028    |100           
   21135.9375     3.36656674    |69.7762078    |26.8572255         3.35369175    |69.7861374    |26.8601708    |100           
      21150.0     3.35897919    |69.7630361    |26.8779847         3.34612469    |69.7729404    |26.8809349    |100           
   21164.0625     3.35140874    |69.7498513    |26.8987399         3.3385747     |69.7597302    |26.9016951    |100           
    21178.125     3.34385535    |69.7366534    |26.9194913         3.33104174    |69.7465069    |26.9224513    |100           
   21192.1875     3.33631899    |69.7234423    |26.9402387         3.32352578    |69.7332706    |26.9432037    |100           
     21206.25     3.32879961    |69.7102182    |26.9609822         3.31602679    |69.7200212    |26.963952     |100           
   21220.3125     3.32129718    |69.6969811    |26.9817217         3.30854471    |69.7067588    |26.9846965    |100           
    21234.375     3.31381165    |69.683731     |27.0024574         3.30107951    |69.6934835    |27.005437     |100           
   21248.4375     3.306343      |69.670468     |27.023189          3.29363116    |69.6801953    |27.0261735    |100           
      21262.5     3.29889118    |69.6571921    |27.0439167         3.28619961    |69.6668943    |27.0469061    |100           
   21276.5625     3.29145616    |69.6439033    |27.0646405         3.27878483    |69.6535805    |27.0676347    |100           
    21290.625     3.28403789    |69.6306018    |27.0853603         3.27138678    |69.6402538    |27.0883594    |100           
   21304.6875     3.27663634    |69.6172875    |27.1060762         3.26400543    |69.6269145    |27.1090801    |100           
     21318.75     3.26925148    |69.6039605    |27.126788          3.25664073    |69.6135625    |27.1297968    |100           
   21332.8125     3.26188326    |69.5906208    |27.147496          3.24929264    |69.6001978    |27.1505096    |100           
    21346.875     3.25453164    |69.5772684    |27.1681999         3.24196114    |69.5868205    |27.1712184    |100           
   21360.9375     3.24719659    |69.5639035    |27.1888999         3.23464618    |69.5734307    |27.1919232    |100           
      21375.0     3.23987808    |69.550526     |27.2095959         3.22734772    |69.5600283    |27.212624     |100           
   21389.0625     3.23257606    |69.5371361    |27.2302879         3.22006573    |69.5466135    |27.2333208    |100           
    21403.125     3.22529049    |69.5237336    |27.2509759         3.21280017    |69.5331862    |27.2540136    |100           
   21417.1875     3.21802135    |69.5103187    |27.27166           3.20555101    |69.5197465    |27.2747025    |100           
     21431.25     3.21076859    |69.4968914    |27.29234           3.1983182     |69.5062945    |27.2953873    |100           
   21445.3125     3.20353218    |69.4834518    |27.313016          3.19110171    |69.4928301    |27.3160682    |100           
    21459.375     3.19631207    |69.4699998    |27.3336881         3.18390151    |69.4793535    |27.336745     |100           
   21473.4375     3.18910824    |69.4565356    |27.3543561         3.17671755    |69.4658646    |27.3574178    |100           
      21487.5     3.18192065    |69.4430592    |27.3750202         3.1695498     |69.4523635    |27.3780867    |100           
   21501.5625     3.17474925    |69.4295706    |27.3956802         3.16239822    |69.4388503    |27.3987515    |100           
    21515.625     3.16759402    |69.4160698    |27.4163362         3.15526278    |69.425325     |27.4194122    |100           
   21529.6875     3.16045491    |69.4025569    |27.4369882         3.14814344    |69.4117876    |27.440069     |100           
     21543.75     3.15333189    |69.389032     |27.4576361         3.14104016    |69.3982381    |27.4607217    |100           
   21557.8125     3.14622493    |69.375495     |27.4782801         3.13395291    |69.3846767    |27.4813704    |100           
    21571.875     3.13913398    |69.361946     |27.49892           3.12688165    |69.3711033    |27.5020151    |100           
   21585.9375     3.13205902    |69.3483851    |27.5195559         3.11982635    |69.357518     |27.5226557    |100           
      21600.0     3.125         |69.3348123    |27.5401877         3.11278697    |69.3439208    |27.5432922    |100           
   21614.0625     3.11795689    |69.3212276    |27.5608155         3.10576346    |69.3303118    |27.5639248    |100           
    21628.125     3.11092966    |69.3076311    |27.5814393         3.09875581    |69.3166909    |27.5845533    |100           
   21642.1875     3.10391826    |69.2940228    |27.602059          3.09176397    |69.3030583    |27.6051777    |100           
     21656.25     3.09692266    |69.2804027    |27.6226746         3.0847879     |69.289414     |27.6257981    |100           
   21670.3125     3.08994284    |69.2667709    |27.6432862         3.07782758    |69.2757581    |27.6464144    |100           
    21684.375     3.08297874    |69.2531275    |27.6638938         3.07088296    |69.2620904    |27.6670266    |100           
   21698.4375     3.07603034    |69.2394724    |27.6844973         3.063954      |69.2484112    |27.6876348    |100           
      21712.5     3.06909759    |69.2258057    |27.7050967         3.05704069    |69.2347204    |27.7082389    |100           
   21726.5625     3.06218048    |69.2121275    |27.725692          3.05014297    |69.2210181    |27.728839     |100           
    21740.625     3.05527895    |69.1984377    |27.7462833         3.04326081    |69.2073043    |27.7494349    |100           
   21754.6875     3.04839298    |69.1847365    |27.7668705         3.03639419    |69.193579     |27.7700268    |100           
     21768.75     3.04152253    |69.1710238    |27.7874537         3.02954305    |69.1798423    |27.7906146    |100           
   21782.8125     3.03466756    |69.1572997    |27.8080327         3.02270738    |69.1660943    |27.8111983    |100           
    21796.875     3.02782804    |69.1435643    |27.8286077         3.01588713    |69.1523349    |27.8317779    |100           
   21810.9375     3.02100394    |69.1298175    |27.8491785         3.00908227    |69.1385643    |27.8523535    |100           
      21825.0     3.01419522    |69.1160595    |27.8697453         3.00229276    |69.1247824    |27.8729249    |100           
   21839.0625     3.00740184    |69.1022902    |27.890308          2.99551857    |69.1109892    |27.8934922    |100           
    21853.125     3.00062377    |69.0885096    |27.9108666         2.98875967    |69.0971849    |27.9140554    |100           
   21867.1875     2.99386098    |69.074718     |27.9314211         2.98201601    |69.0833694    |27.9346146    |100           
     21881.25     2.98711343    |69.0609151    |27.9519714         2.97528758    |69.0695429    |27.9551696    |100           
   21895.3125     2.98038109    |69.0471012    |27.9725177         2.96857432    |69.0557052    |27.9757205    |100           
    21909.375     2.97366392    |69.0332762    |27.9930599         2.96187621    |69.0418566    |27.9962672    |100           
   21923.4375     2.96696189    |69.0194402    |28.0135979         2.95519322    |69.0279969    |28.0168099    |100           
      21937.5     2.96027497    |69.0055932    |28.0341318         2.9485253     |69.0141263    |28.0373484    |100           
   21951.5625     2.95360312    |68.9917352    |28.0546616         2.94187243    |69.0002448    |28.0578828    |100           
    21965.625     2.9469463     |68.9778664    |28.0751873         2.93523457    |68.9863523    |28.0784131    |100           
   21979.6875     2.94030449    |68.9639866    |28.0957089         2.92861169    |68.9724491    |28.0989392    |100           
     21993.75     2.93367765    |68.9500961    |28.1162263         2.92200375    |68.958535     |28.1194612    |100           
   22007.8125     2.92706574    |68.9361947    |28.1367396         2.91541072    |68.9446102    |28.1399791    |100           
    22021.875     2.92046873    |68.9222825    |28.1572487         2.90883256    |68.9306746    |28.1604928    |100           
   22035.9375     2.9138866     |68.9083597    |28.1777537         2.90226925    |68.9167284    |28.1810024    |100           
      22050.0     2.90731929    |68.8944261    |28.1982546         2.89572075    |68.9027714    |28.2015078    |100           
   22064.0625     2.90076679    |68.8804819    |28.2187513         2.88918702    |68.8888039    |28.2220091    |100           
    22078.125     2.89422906    |68.8665271    |28.2392439         2.88266804    |68.8748258    |28.2425062    |100           
   22092.1875     2.88770606    |68.8525617    |28.2597323         2.87616377    |68.8608371    |28.2629992    |100           
     22106.25     2.88119776    |68.8385857    |28.2802165         2.86967417    |68.8468379    |28.283488     |100           
   22120.3125     2.87470414    |68.8245992    |28.3006966         2.86319921    |68.8328282    |28.3039726    |100           
    22134.375     2.86822514    |68.8106023    |28.3211726         2.85673886    |68.8188081    |28.324453     |100           
   22148.4375     2.86176075    |68.7965949    |28.3416443         2.85029309    |68.8047776    |28.3449293    |100           
      22162.5     2.85531093    |68.7825772    |28.3621119         2.84386187    |68.7907367    |28.3654014    |100           
   22176.5625     2.84887564    |68.768549     |28.3825753         2.83744515    |68.7766855    |28.3858694    |100           
    22190.625     2.84245486    |68.7545106    |28.4030346         2.83104292    |68.7626239    |28.4063331    |100           
   22204.6875     2.83604855    |68.7404618    |28.4234897         2.82465513    |68.7485522    |28.4267927    |100           
     22218.75     2.82965668    |68.7264028    |28.4439405         2.81828175    |68.7344702    |28.4472481    |100           
   22232.8125     2.82327922    |68.7123335    |28.4643872         2.81192275    |68.720378     |28.4676993    |100           
    22246.875     2.81691612    |68.6982541    |28.4848298         2.8055781     |68.7062756    |28.4881463    |100           
   22260.9375     2.81056737    |68.6841646    |28.5052681         2.79924777    |68.6921631    |28.5085891    |100           
      22275.0     2.80423293    |68.6700649    |28.5257022         2.79293172    |68.6780406    |28.5290277    |100           
   22289.0625     2.79791276    |68.6559551    |28.5461321         2.78662992    |68.663908     |28.5494621    |100           
    22303.125     2.79160684    |68.6418353    |28.5665579         2.78034234    |68.6497654    |28.5698923    |100           
   22317.1875     2.78531513    |68.6277055    |28.5869794         2.77406894    |68.6356128    |28.5903183    |100           
     22331.25     2.7790376     |68.6135657    |28.6073967         2.7678097     |68.6214502    |28.6107401    |100           
   22345.3125     2.77277422    |68.5994159    |28.6278098         2.76156459    |68.6072778    |28.6311577    |100           
    22359.375     2.76652496    |68.5852563    |28.6482188         2.75533356    |68.5930954    |28.651571     |100           
   22373.4375     2.76028978    |68.5710868    |28.6686234         2.7491166     |68.5789033    |28.6719801    |100           
      22387.5     2.75406865    |68.5569074    |28.6890239         2.74291366    |68.5647013    |28.692385     |100           
   22401.5625     2.74786155    |68.5427183    |28.7094202         2.73672472    |68.5504896    |28.7127857    |100           
    22415.625     2.74166843    |68.5285194    |28.7298122         2.73054974    |68.5362681    |28.7331822    |100           
   22429.6875     2.73548927    |68.5143107    |28.7502            2.7243887     |68.5220369    |28.7535744    |100           
     22443.75     2.72932404    |68.5000924    |28.7705836         2.71824156    |68.5077961    |28.7739624    |100           
   22457.8125     2.7231727     |68.4858644    |28.7909629         2.71210828    |68.4935456    |28.7943461    |100           
    22471.875     2.71703523    |68.4716267    |28.811338          2.70598885    |68.4792855    |28.8147256    |100           
   22485.9375     2.71091159    |68.4573795    |28.8317089         2.69988322    |68.4650159    |28.8351009    |100           
      22500.0     2.70480175    |68.4431227    |28.8520755         2.69379137    |68.4507367    |28.8554719    |100           
   22514.0625     2.69870568    |68.4288564    |28.8724379         2.68771327    |68.436448     |28.8758387    |100           
    22528.125     2.69262336    |68.4145806    |28.892796          2.68164888    |68.4221499    |28.8962012    |100           
   22542.1875     2.68655474    |68.4002953    |28.9131499         2.67559817    |68.4078423    |28.9165595    |100           
     22556.25     2.68049979    |68.3860006    |28.9334996         2.66956111    |68.3935254    |28.9369135    |100           
   22570.3125     2.6744585     |68.3716965    |28.953845          2.66353768    |68.3791991    |28.9572633    |100           
    22584.375     2.66843081    |68.3573831    |28.9741861         2.65752784    |68.3648634    |28.9776087    |100           
   22598.4375     2.66241672    |68.3430603    |28.994523          2.65153155    |68.3505185    |28.99795      |100           
      22612.5     2.65641618    |68.3287283    |29.0148556         2.6455488     |68.3361643    |29.0182869    |100           
   22626.5625     2.65042916    |68.3143869    |29.0351839         2.63957955    |68.3218008    |29.0386196    |100           
    22640.625     2.64445564    |68.3000364    |29.055508          2.63362376    |68.3074282    |29.058948     |100           
   22654.6875     2.63849558    |68.2856767    |29.0758278         2.62768142    |68.2930464    |29.0792722    |100           
     22668.75     2.63254895    |68.2713078    |29.0961433         2.62175248    |68.2786555    |29.099592     |100           
   22682.8125     2.62661572    |68.2569297    |29.1164545         2.61583692    |68.2642555    |29.1199076    |100           
    22696.875     2.62069587    |68.2425426    |29.1367615         2.6099347     |68.2498464    |29.1402189    |100           
   22710.9375     2.61478936    |68.2281465    |29.1570642         2.60404581    |68.2354283    |29.1605259    |100           
      22725.0     2.60889616    |68.2137413    |29.1773626         2.5981702     |68.2210012    |29.1808286    |100           
   22739.0625     2.60301624    |68.1993271    |29.1976567         2.59230785    |68.2065652    |29.201127     |100           
    22753.125     2.59714958    |68.1849039    |29.2179465         2.58645872    |68.1921202    |29.2214211    |100           
   22767.1875     2.59129614    |68.1704718    |29.2382321         2.5806228     |68.1776663    |29.2417109    |100           
     22781.25     2.58545589    |68.1560308    |29.2585133         2.57480004    |68.1632035    |29.2619965    |100           
   22795.3125     2.5796288     |68.141581     |29.2787902         2.56899042    |68.1487319    |29.2822777    |100           
    22809.375     2.57381485    |68.1271223    |29.2990629         2.56319391    |68.1342515    |29.3025546    |100           
   22823.4375     2.56801399    |68.1126548    |29.3193312         2.55741047    |68.1197623    |29.3228272    |100           
      22837.5     2.56222622    |68.0981786    |29.3395952         2.55164009    |68.1052644    |29.3430955    |100           
   22851.5625     2.55645149    |68.0836936    |29.3598549         2.54588273    |68.0907578    |29.3633595    |100           
    22865.625     2.55068977    |68.0691999    |29.3801104         2.54013835    |68.0762425    |29.3836192    |100           
   22879.6875     2.54494104    |68.0546975    |29.4003614         2.53440694    |68.0617186    |29.4038745    |100           
     22893.75     2.53920526    |68.0401865    |29.4206082         2.52868846    |68.047186     |29.4241255    |100           
   22907.8125     2.53348241    |68.0256669    |29.4408507         2.52298288    |68.0326449    |29.4443722    |100           
    22921.875     2.52777246    |68.0111387    |29.4610888         2.51729018    |68.0180952    |29.4646146    |100           
   22935.9375     2.52207538    |67.996602     |29.4813226         2.51161032    |68.003537     |29.4848526    |100           
      22950.0     2.51639114    |67.9820567    |29.5015521         2.50594328    |67.9889704    |29.5050864    |100           
   22964.0625     2.51071971    |67.967503     |29.5217773         2.50028902    |67.9743952    |29.5253157    |100           
    22978.125     2.50506107    |67.9529408    |29.5419981         2.49464752    |67.9598117    |29.5455408    |100           
   22992.1875     2.49941517    |67.9383702    |29.5622146         2.48901875    |67.9452198    |29.5657615    |100           
     23006.25     2.493782      |67.9237912    |29.5824268         2.48340269    |67.9306195    |29.5859779    |100           
   23020.3125     2.48816153    |67.9092039    |29.6026346         2.47779929    |67.9160108    |29.6061899    |100           
    23034.375     2.48255373    |67.8946082    |29.622838          2.47220854    |67.9013939    |29.6263975    |100           
   23048.4375     2.47695856    |67.8800043    |29.6430372         2.4666304     |67.8867687    |29.6466009    |100           
      23062.5     2.471376      |67.865392     |29.663232          2.46106484    |67.8721353    |29.6667998    |100           
   23076.5625     2.46580603    |67.8507716    |29.6834224         2.45551185    |67.8574937    |29.6869945    |100           
    23090.625     2.46024861    |67.8361429    |29.7036085         2.44997138    |67.8428439    |29.7071847    |100           
   23104.6875     2.45470371    |67.8215061    |29.7237902         2.44444342    |67.828186     |29.7273706    |100           
     23118.75     2.44917131    |67.8068611    |29.7439676         2.43892793    |67.8135199    |29.7475522    |100           
   23132.8125     2.44365138    |67.792208     |29.7641406         2.43342488    |67.7988458    |29.7677293    |100           
    23146.875     2.43814389    |67.7775469    |29.7843093         2.42793425    |67.7841636    |29.7879021    |100           
   23160.9375     2.43264882    |67.7628776    |29.8044735         2.42245601    |67.7694734    |29.8080706    |100           
      23175.0     2.42716613    |67.7482004    |29.8246335         2.41699013    |67.7547752    |29.8282347    |100           
   23189.0625     2.42169579    |67.7335152    |29.844789          2.41153658    |67.7400691    |29.8483943    |100           
    23203.125     2.41623779    |67.718822     |29.8649402         2.40609534    |67.725355     |29.8685497    |100           
   23217.1875     2.41079208    |67.7041209    |29.885087          2.40066637    |67.710633     |29.8887006    |100           
     23231.25     2.40535865    |67.6894119    |29.9052295         2.39524965    |67.6959032    |29.9088472    |100           
   23245.3125     2.39993747    |67.674695     |29.9253675         2.38984516    |67.6811655    |29.9289894    |100           
    23259.375     2.3945285     |67.6599703    |29.9455012         2.38445286    |67.66642      |29.9491272    |100           
   23273.4375     2.38913172    |67.6452378    |29.9656305         2.37907273    |67.6516667    |29.9692606    |100           
      23287.5     2.38374711    |67.6304975    |29.9857554         2.37370473    |67.6369057    |29.9893896    |100           
   23301.5625     2.37837463    |67.6157494    |30.0058759         2.36834885    |67.6221369    |30.0095142    |100           
    23315.625     2.37301427    |67.6009937    |30.0259921         2.36300506    |67.6073605    |30.0296344    |100           
   23329.6875     2.36766598    |67.5862302    |30.0461038         2.35767332    |67.5925764    |30.0497503    |100           
     23343.75     2.36232974    |67.5714591    |30.0662112         2.35235361    |67.5777847    |30.0698617    |100           
   23357.8125     2.35700554    |67.5566803    |30.0863141         2.3470459     |67.5629853    |30.0899688    |100           
    23371.875     2.35169333    |67.541894     |30.1064127         2.34175017    |67.5481784    |30.1100714    |100           
   23385.9375     2.3463931     |67.5271001    |30.1265068         2.33646639    |67.533364     |30.1301696    |100           
      23400.0     2.34110481    |67.5122986    |30.1465966         2.33119453    |67.518542     |30.1502634    |100           
   23414.0625     2.33582844    |67.4974896    |30.1666819         2.32593457    |67.5037126    |30.1703528    |100           
    23428.125     2.33056396    |67.4826732    |30.1867629         2.32068647    |67.4888757    |30.1904378    |100           
   23442.1875     2.32531135    |67.4678492    |30.2068394         2.31545022    |67.4740314    |30.2105184    |100           
     23456.25     2.32007057    |67.4530179    |30.2269115         2.31022578    |67.4591796    |30.2305946    |100           
   23470.3125     2.31484161    |67.4381791    |30.2469792         2.30501313    |67.4443205    |30.2506663    |100           
    23484.375     2.30962443    |67.423333     |30.2670425         2.29981224    |67.4294541    |30.2707337    |100           
   23498.4375     2.30441901    |67.4084796    |30.2871014         2.29462308    |67.4145804    |30.2907966    |100           
      23512.5     2.29922532    |67.3936188    |30.3071559         2.28944564    |67.3996993    |30.310855     |100           
   23526.5625     2.29404334    |67.3787508    |30.3272059         2.28427987    |67.384811     |30.3309091    |100           
    23540.625     2.28887304    |67.3638755    |30.3472515         2.27912576    |67.3699155    |30.3509587    |100           
   23554.6875     2.28371439    |67.348993     |30.3672927         2.27398328    |67.3550128    |30.3710039    |100           
     23568.75     2.27856736    |67.3341032    |30.3873294         2.26885241    |67.340103     |30.3910446    |100           
   23582.8125     2.27343194    |67.3192063    |30.4073617         2.26373311    |67.3251859    |30.411081     |100           
    23596.875     2.26830809    |67.3043023    |30.4273896         2.25862536    |67.3102618    |30.4311128    |100           
   23610.9375     2.26319579    |67.2893912    |30.447413          2.25352914    |67.2953306    |30.4511403    |100           
      23625.0     2.25809501    |67.2744729    |30.4674321         2.24844441    |67.2803923    |30.4711633    |100           
   23639.0625     2.25300573    |67.2595476    |30.4874466         2.24337116    |67.265447     |30.4911818    |100           
    23653.125     2.24792792    |67.2446153    |30.5074568         2.23830936    |67.2504947    |30.5111959    |100           
   23667.1875     2.24286155    |67.229676     |30.5274624         2.23325897    |67.2355355    |30.5312056    |100           
     23681.25     2.2378066     |67.2147297    |30.5474637         2.22821999    |67.2205692    |30.5512108    |100           
   23695.3125     2.23276304    |67.1997765    |30.5674605         2.22319237    |67.2055961    |30.5712115    |100           
    23709.375     2.22773085    |67.1848164    |30.5874528         2.21817609    |67.1906161    |30.5912078    |100           
   23723.4375     2.22271       |67.1698493    |30.6074407         2.21317114    |67.1756292    |30.6111997    |100           
      23737.5     2.21770047    |67.1548754    |30.6274241         2.20817747    |67.1606355    |30.631187     |100           
   23751.5625     2.21270223    |67.1398947    |30.6474031         2.20319508    |67.145635     |30.65117      |100           
    23765.625     2.20771525    |67.1249071    |30.6673776         2.19822392    |67.1306277    |30.6711484    |100           
   23779.6875     2.20273951    |67.1099128    |30.6873477         2.19326399    |67.1156136    |30.6911224    |100           
     23793.75     2.19777499    |67.0949118    |30.7073133         2.18831524    |67.1005928    |30.7110919    |100           
   23807.8125     2.19282166    |67.079904     |30.7272744         2.18337766    |67.0855654    |30.731057     |100           
    23821.875     2.18787949    |67.0648895    |30.7472311         2.17845122    |67.0705312    |30.7510176    |100           
   23835.9375     2.18294845    |67.0498683    |30.7671832         2.1735359     |67.0554904    |30.7709737    |100           
      23850.0     2.17802854    |67.0348405    |30.787131          2.16863167    |67.040443     |30.7909253    |100           
   23864.0625     2.17311971    |67.0198061    |30.8070742         2.1637385     |67.025389     |30.8108725    |100           
    23878.125     2.16822194    |67.0047651    |30.827013          2.15885637    |67.0103285    |30.8308151    |100           
   23892.1875     2.16333521    |66.9897175    |30.8469473         2.15398526    |66.9952614    |30.8507533    |100           
     23906.25     2.1584595     |66.9746634    |30.8668771         2.14912514    |66.9801878    |30.870687     |100           
   23920.3125     2.15359477    |66.9596028    |30.8868025         2.14427599    |66.9651077    |30.8906163    |100           
    23934.375     2.14874101    |66.9445357    |30.9067233         2.13943778    |66.9500212    |30.910541     |100           
   23948.4375     2.14389819    |66.9294621    |30.9266397         2.13461048    |66.9349283    |30.9304613    |100           
      23962.5     2.13906629    |66.9143821    |30.9465516         2.12979408    |66.9198289    |30.950377     |100           
   23976.5625     2.13424527    |66.8992957    |30.966459          2.12498854    |66.9047232    |30.9702883    |100           
    23990.625     2.12943512    |66.884203     |30.9863619         2.12019385    |66.8896111    |30.9901951    |100           
   24004.6875     2.12463581    |66.8691039    |31.0062603         2.11540997    |66.8744927    |31.0100973    |100           
     24018.75     2.11984732    |66.8539984    |31.0261543         2.11063689    |66.859368     |31.0299951    |100           
   24032.8125     2.11506961    |66.8388867    |31.0460437         2.10587458    |66.844237     |31.0498884    |100           
    24046.875     2.11030268    |66.8237687    |31.0659286         2.10112301    |66.8290998    |31.0697772    |100           
   24060.9375     2.10554649    |66.8086444    |31.0858091         2.09638217    |66.8139564    |31.0896614    |100           
      24075.0     2.10080102    |66.793514     |31.105685          2.09165202    |66.7988068    |31.1095412    |100           
   24089.0625     2.09606625    |66.7783773    |31.1255564         2.08693255    |66.783651     |31.1294165    |100           
    24103.125     2.09134214    |66.7632345    |31.1454234         2.08222372    |66.7684891    |31.1492872    |100           
   24117.1875     2.08662869    |66.7480855    |31.1652858         2.07752552    |66.753321     |31.1691535    |100           
     24131.25     2.08192585    |66.7329304    |31.1851437         2.07283792    |66.7381469    |31.1890152    |100           
   24145.3125     2.07723362    |66.7177693    |31.2049971         2.06816089    |66.7229667    |31.2088724    |100           
    24159.375     2.07255196    |66.702602     |31.224846          2.06349442    |66.7077805    |31.2287251    |100           
   24173.4375     2.06788086    |66.6874288    |31.2446904         2.05883848    |66.6925883    |31.2485733    |100           
      24187.5     2.06322028    |66.6722495    |31.2645302         2.05419304    |66.67739      |31.2684169    |100           
   24201.5625     2.0585702     |66.6570642    |31.2843656         2.04955809    |66.6621859    |31.2882561    |100           
    24215.625     2.05393061    |66.641873     |31.3041964         2.04493359    |66.6469757    |31.3080907    |100           
   24229.6875     2.04930147    |66.6266758    |31.3240227         2.04031953    |66.6317597    |31.3279207    |100           
     24243.75     2.04468276    |66.6114727    |31.3438445         2.03571588    |66.6165378    |31.3477463    |100           
   24257.8125     2.04007447    |66.5962638    |31.3636618         2.03112261    |66.6013101    |31.3675673    |100           
    24271.875     2.03547656    |66.581049     |31.3834745         2.02653971    |66.5860765    |31.3873838    |100           
   24285.9375     2.03088901    |66.5658283    |31.4032827         2.02196715    |66.5708371    |31.4071958    |100           
      24300.0     2.0263118     |66.5506018    |31.4230864         2.01740491    |66.5555919    |31.4270032    |100           
   24314.0625     2.02174491    |66.5353696    |31.4428855         2.01285296    |66.5403409    |31.4468061    |100           
    24328.125     2.01718831    |66.5201316    |31.4626801         2.00831129    |66.5250842    |31.4666045    |100           
