Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 14.0625 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.5362038412914 at t = 14526.5625 s

    Time                           Analytical                                             Numerical                         
     (s)              N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
     801.5625     87.9315695    |11.9644935    |0.103937032        87.9187928    |11.9789252    |0.102282063   |100           
      815.625     87.7333898    |12.1590843    |0.107525899        87.7204182    |12.1737355    |0.105846262   |100           
     829.6875     87.5356567    |12.3531707    |0.111172589        87.5224912    |12.3680403    |0.109468425   |100           
       843.75     87.3383693    |12.5467537    |0.114876952        87.3250109    |12.5618407    |0.113148401   |100           
     857.8125     87.1415265    |12.7398346    |0.11863884         87.1279761    |12.7551379    |0.11688604    |100           
      871.875     86.9451274    |12.9324145    |0.122458102        86.9313859    |12.9479329    |0.120681193   |100           
     885.9375     86.7491709    |13.1244945    |0.126334589        86.7352393    |13.140227     |0.124533709   |100           
        900.0     86.5536561    |13.3160757    |0.130268154        86.5395352    |13.3320214    |0.128443441   |100           
     914.0625     86.3585819    |13.5071594    |0.134258647        86.3442727    |13.523317     |0.13241024    |100           
      928.125     86.1639474    |13.6977467    |0.138305922        86.1494508    |13.7141152    |0.136433956   |100           
     942.1875     85.9697515    |13.8878386    |0.14240983         85.9550685    |13.9044171    |0.140514442   |100           
       956.25     85.7759933    |14.0774364    |0.146570224        85.7611248    |14.0942237    |0.14465155    |100           
     970.3125     85.5826718    |14.2665412    |0.150786957        85.5676186    |14.2835362    |0.148845133   |100           
      984.375     85.3897861    |14.4551541    |0.155059884        85.3745491    |14.4723558    |0.153095044   |100           
     998.4375     85.197335     |14.6432761    |0.159388857        85.1819152    |14.6606836    |0.157401137   |100           
       1012.5     85.0053177    |14.8309086    |0.163773731        84.989716     |14.8485207    |0.161763264   |100           
    1026.5625     84.8137331    |15.0180525    |0.16821436         84.7979504    |15.0358683    |0.16618128    |100           
     1040.625     84.6225804    |15.204709     |0.172710599        84.6066176    |15.2227274    |0.170655039   |100           
    1054.6875     84.4318584    |15.3908793    |0.177262304        84.4157164    |15.4090992    |0.175184396   |100           
      1068.75     84.2415664    |15.5765643    |0.181869329        84.225246     |15.5949848    |0.179769207   |100           
    1082.8125     84.0517031    |15.7617653    |0.186531531        84.0352053    |15.7803854    |0.184409325   |100           
     1096.875     83.8622679    |15.9464834    |0.191248765        83.8455934    |15.9653019    |0.189104607   |100           
    1110.9375     83.6732595    |16.1307196    |0.196020889        83.6564094    |16.1497357    |0.193854909   |100           
       1125.0     83.4846771    |16.3144751    |0.200847759        83.4676522    |16.3336877    |0.198660088   |100           
    1139.0625     83.2965198    |16.497751     |0.205729231        83.279321     |16.517159     |0.203519999   |100           
     1153.125     83.1087865    |16.6805483    |0.210665164        83.0914146    |16.7001509    |0.208434501   |100           
    1167.1875     82.9214764    |16.8628682    |0.215655416        82.9039323    |16.8826643    |0.213403449   |100           
      1181.25     82.7345884    |17.0447118    |0.220699844        82.7168729    |17.0647004    |0.218426702   |100           
    1195.3125     82.5481216    |17.2260801    |0.225798307        82.5302357    |17.2462602    |0.223504119   |100           
     1209.375     82.3620751    |17.4069743    |0.230950663        82.3440195    |17.4273449    |0.228635556   |100           
    1223.4375     82.1764478    |17.5873954    |0.236156772        82.1582235    |17.6079556    |0.233820873   |100           
       1237.5     81.991239     |17.7673445    |0.241416493        81.9728468    |17.7880933    |0.239059929   |100           
    1251.5625     81.8064476    |17.9468228    |0.246729686        81.7878883    |17.9677591    |0.244352583   |100           
     1265.625     81.6220726    |18.1258312    |0.252096211        81.6033471    |18.1469542    |0.249698695   |100           
    1279.6875     81.4381132    |18.3043709    |0.257515928        81.4192224    |18.3256795    |0.255098124   |100           
      1293.75     81.2545684    |18.4824429    |0.262988698        81.235513     |18.5039362    |0.260550731   |100           
    1307.8125     81.0714373    |18.6600484    |0.268514382        81.0522182    |18.6817254    |0.266056376   |100           
     1321.875     80.8887189    |18.8371883    |0.274092841        80.869337     |18.8590481    |0.271614921   |100           
    1335.9375     80.7064123    |19.0138638    |0.279723938        80.6868684    |19.0359054    |0.277226226   |100           
       1350.0     80.5245166    |19.1900759    |0.285407533        80.5048115    |19.2122983    |0.282890153   |100           
    1364.0625     80.3430309    |19.3658257    |0.291143489        80.3231654    |19.388228     |0.288606563   |100           
     1378.125     80.1619541    |19.5411142    |0.296931669        80.1419291    |19.5636955    |0.29437532    |100           
    1392.1875     79.9812855    |19.7159425    |0.302771936        79.9611018    |19.7387019    |0.300196285   |100           
      1406.25     79.8010241    |19.8903117    |0.308664153        79.7806825    |19.9132482    |0.306069322   |100           
    1420.3125     79.621169     |20.0642228    |0.314608183        79.6006703    |20.0873354    |0.311994292   |100           
     1434.375     79.4417192    |20.2376769    |0.320603891        79.4210642    |20.2609647    |0.317971061   |100           
    1448.4375     79.2626739    |20.410675     |0.32665114         79.2418634    |20.4341371    |0.323999491   |100           
       1462.5     79.0840321    |20.5832181    |0.332749795        79.063067     |20.6068536    |0.330079446   |100           
    1476.5625     78.9057929    |20.7553074    |0.338899721        78.8846739    |20.7791153    |0.336210792   |100           
     1490.625     78.7279554    |20.9269438    |0.345100783        78.7066834    |20.9509232    |0.342393392   |100           
    1504.6875     78.5505188    |21.0981284    |0.351352846        78.5290945    |21.1222784    |0.348627112   |100           
      1518.75     78.373482     |21.2688622    |0.357655776        78.3519063    |21.2931819    |0.354911816   |100           
    1532.8125     78.1968442    |21.4391463    |0.364009439        78.1751178    |21.4636348    |0.361247371   |100           
     1546.875     78.0206046    |21.6089817    |0.370413702        77.9987283    |21.633638     |0.367633643   |100           
    1560.9375     77.8447622    |21.7783694    |0.37686843         77.8227368    |21.8031927    |0.374070497   |100           
       1575.0     77.669316     |21.9473105    |0.383373492        77.6471424    |21.9722998    |0.3805578     |100           
    1589.0625     77.4942653    |22.1158059    |0.389928754        77.4719441    |22.1409605    |0.387095419   |100           
     1603.125     77.3196092    |22.2838568    |0.396534084        77.2971412    |22.3091756    |0.393683222   |100           
    1617.1875     77.1453466    |22.451464     |0.403189349        77.1227327    |22.4769463    |0.400321074   |100           
      1631.25     76.9714768    |22.6186287    |0.409894418        76.9487177    |22.6442735    |0.407008846   |100           
    1645.3125     76.7979989    |22.7853519    |0.41664916         76.7750953    |22.8111583    |0.413746403   |100           
     1659.375     76.624912     |22.9516346    |0.423453443        76.6018647    |22.9776017    |0.420533616   |100           
    1673.4375     76.4522151    |23.1174777    |0.430307136        76.429025     |23.1436047    |0.427370352   |100           
       1687.5     76.2799075    |23.2828824    |0.437210108        76.2565752    |23.3091683    |0.43425648    |100           
    1701.5625     76.1079883    |23.4478495    |0.44416223         76.0845146    |23.4742935    |0.44119187    |100           
     1715.625     75.9364565    |23.6123801    |0.451163371        75.9128422    |23.6389814    |0.448176391   |100           
    1729.6875     75.7653113    |23.7764753    |0.458213401        75.7415571    |23.803233     |0.455209913   |100           
      1743.75     75.5945518    |23.940136     |0.465312192        75.5706585    |23.9670492    |0.462292306   |100           
    1757.8125     75.4241772    |24.1033632    |0.472459613        75.4001455    |24.130431     |0.469423442   |100           
     1771.875     75.2541866    |24.2661579    |0.479655537        75.2300173    |24.2933795    |0.476603189   |100           
    1785.9375     75.0845791    |24.4285211    |0.486899834        75.0602729    |24.4558957    |0.483831421   |100           
       1800.0     74.9153538    |24.5904538    |0.494192376        74.8909115    |24.6179805    |0.491108007   |100           
    1814.0625     74.74651      |24.751957     |0.501533036        74.7219323    |24.7796349    |0.49843282    |100           
     1828.125     74.5780467    |24.9130316    |0.508921686        74.5533343    |24.94086      |0.505805731   |100           
    1842.1875     74.4099631    |25.0736787    |0.516358198        74.3851168    |25.1016566    |0.513226613   |100           
      1856.25     74.2422583    |25.2338993    |0.523842445        74.2172788    |25.2620259    |0.520695338   |100           
    1870.3125     74.0749315    |25.3936942    |0.531374301        74.0498195    |25.4219688    |0.52821178    |100           
     1884.375     73.9079818    |25.5530646    |0.538953639        73.882738     |25.5814862    |0.53577581    |100           
    1898.4375     73.7414083    |25.7120113    |0.546580333        73.7160335    |25.7405792    |0.543387304   |100           
       1912.5     73.5752103    |25.8705354    |0.554254256        73.5497052    |25.8992487    |0.551046134   |100           
    1926.5625     73.4093869    |26.0286378    |0.561975285        73.3837522    |26.0574956    |0.558752174   |100           
     1940.625     73.2439372    |26.1863195    |0.569743292        73.2181736    |26.2153211    |0.566505299   |100           
    1954.6875     73.0788604    |26.3435814    |0.577558153        73.0529686    |26.372726     |0.574305383   |100           
      1968.75     72.9141556    |26.5004246    |0.585419743        72.8881364    |26.5297113    |0.582152301   |100           
    1982.8125     72.7498221    |26.65685      |0.593327939        72.7236761    |26.686278     |0.590045928   |100           
     1996.875     72.5858589    |26.8128585    |0.601282614        72.5595869    |26.842427     |0.597986141   |100           
    2010.9375     72.4222653    |26.9684511    |0.609283647        72.3958679    |26.9981593    |0.605972813   |100           
       2025.0     72.2590403    |27.1236287    |0.617330913        72.2325183    |27.1534759    |0.614005822   |100           
    2039.0625     72.0961833    |27.2783924    |0.625424288        72.0695373    |27.3083777    |0.622085044   |100           
     2053.125     71.9336933    |27.4327431    |0.633563651        71.906924     |27.4628656    |0.630210355   |100           
    2067.1875     71.7715695    |27.5866816    |0.641748877        71.7446776    |27.6169407    |0.638381633   |100           
      2081.25     71.6098111    |27.740209     |0.649979845        71.5827974    |27.7706039    |0.646598754   |100           
    2095.3125     71.4484173    |27.8933263    |0.658256432        71.4212823    |27.9238561    |0.654861595   |100           
     2109.375     71.2873872    |28.0460343    |0.666578517        71.2601318    |28.0766982    |0.663170035   |100           
    2123.4375     71.1267201    |28.198334     |0.674945978        71.0993448    |28.2291313    |0.671523952   |100           
       2137.5     70.966415     |28.3502263    |0.683358693        70.9389206    |28.3811562    |0.679923223   |100           
    2151.5625     70.8064713    |28.5017122    |0.691816541        70.7788584    |28.5327739    |0.688367728   |100           
     2165.625     70.646888     |28.6527926    |0.700319402        70.6191573    |28.6839853    |0.696857345   |100           
    2179.6875     70.4876644    |28.8034684    |0.708867156        70.4598166    |28.8347915    |0.705391954   |100           
      2193.75     70.3287997    |28.9537406    |0.717459681        70.3008354    |28.9851932    |0.713971433   |100           
    2207.8125     70.170293     |29.1036101    |0.726096858        70.1422129    |29.1351914    |0.722595662   |100           
     2221.875     70.0121436    |29.2530779    |0.734778567        69.9839483    |29.2847871    |0.731264522   |100           
    2235.9375     69.8543505    |29.4021448    |0.743504689        69.8260409    |29.4339812    |0.739977892   |100           
       2250.0     69.6969132    |29.5508117    |0.752275105        69.6684897    |29.5827747    |0.748735654   |100           
    2264.0625     69.5398306    |29.6990797    |0.761089696        69.511294     |29.7311683    |0.757537687   |100           
     2278.125     69.3831021    |29.8469495    |0.769948343        69.354453     |29.8791631    |0.766383873   |100           
    2292.1875     69.2267268    |29.9944222    |0.778850928        69.1979659    |30.02676      |0.775274094   |100           
      2306.25     69.070704     |30.1414987    |0.787797333        69.0418318    |30.1739599    |0.78420823    |100           
    2320.3125     68.9150328    |30.2881798    |0.79678744         68.8860501    |30.3207637    |0.793186164   |100           
     2334.375     68.7597125    |30.4344664    |0.805821132        68.7306198    |30.4671724    |0.802207778   |100           
    2348.4375     68.6047422    |30.5803595    |0.814898291        68.5755403    |30.6131867    |0.811272954   |100           
       2362.5     68.4501211    |30.7258601    |0.8240188          68.4208107    |30.7588078    |0.820381576   |100           
    2376.5625     68.2958486    |30.8709688    |0.833182544        68.2664302    |30.9040363    |0.829533525   |100           
     2390.625     68.1419238    |31.0156868    |0.842389405        68.112398     |31.0488733    |0.838728685   |100           
    2404.6875     67.9883459    |31.1600149    |0.851639267        67.9587134    |31.1933197    |0.84796694    |100           
      2418.75     67.8351141    |31.3039539    |0.860932014        67.8053755    |31.3373763    |0.857248174   |100           
    2432.8125     67.6822277    |31.4475048    |0.870267531        67.6523836    |31.4810441    |0.86657227    |100           
     2446.875     67.5296858    |31.5906685    |0.879645703        67.499737     |31.6243239    |0.875939113   |100           
    2460.9375     67.3774877    |31.7334459    |0.889066414        67.3474347    |31.7672167    |0.885348587   |100           
       2475.0     67.2256327    |31.8758378    |0.898529549        67.1954761    |31.9097233    |0.894800577   |100           
    2489.0625     67.0741199    |32.0178451    |0.908034994        67.0438604    |32.0518447    |0.904294969   |100           
     2503.125     66.9229486    |32.1594688    |0.917582635        66.8925867    |32.1935816    |0.913831647   |100           
    2517.1875     66.772118     |32.3007096    |0.927172358        66.7416544    |32.3349351    |0.923410498   |100           
      2531.25     66.6216274    |32.4415686    |0.936804048        66.5910626    |32.475906     |0.933031406   |100           
