Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 225.0 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.92439055124521 at t = 14400.0 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
    22725.0     2.60889616    |68.2137413    |29.1773626         2.43874047    |68.3280199    |29.2332396    |100           
    22950.0     2.51639114    |67.9820567    |29.5015521         2.35069849    |68.0907777    |29.5585238    |100           
    23175.0     2.42716613    |67.7482004    |29.8246335         2.26583495    |67.8514865    |29.8826785    |100           
    23400.0     2.34110481    |67.5122986    |30.1465966         2.1840351     |67.6102708    |30.2056941    |100           
    23625.0     2.25809501    |67.2744729    |30.4674321         2.10518834    |67.3672503    |30.5275613    |100           
    23850.0     2.17802854    |67.0348405    |30.787131          2.02918806    |67.1225403    |30.8482716    |100           
    24075.0     2.10080102    |66.793514     |31.105685          1.9559315     |66.8762516    |31.1678169    |100           
    24300.0     2.0263118     |66.5506018    |31.4230864         1.8853196     |66.6284906    |31.4861898    |100           
    24525.0     1.95446379    |66.3062085    |31.7393277         1.81725689    |66.37936      |31.8033831    |100           
    24750.0     1.88516333    |66.0604343    |32.0544023         1.75165135    |66.1289582    |32.1193904    |100           
    24975.0     1.81832009    |65.8133761    |32.3683038         1.68841426    |65.87738      |32.4342057    |100           
    25200.0     1.75384695    |65.5651268    |32.6810262         1.62746011    |65.6247166    |32.7478233    |100           
    25425.0     1.69165987    |65.315776     |32.9925642         1.5687065     |65.3710555    |33.060238     |100           
    25650.0     1.63167779    |65.0654096    |33.3029126         1.51207397    |65.1164808    |33.3714452    |100           
    25875.0     1.57382252    |64.8141106    |33.6120669         1.45748596    |64.8610736    |33.6814404    |100           
    26100.0     1.51801866    |64.5619586    |33.9200227         1.40486865    |64.6049116    |33.9902198    |100           
    26325.0     1.46419346    |64.3090302    |34.2267763         1.35415091    |64.3480695    |34.2977796    |100           
    26550.0     1.41227678    |64.0553991    |34.5323241         1.30526414    |64.0906192    |34.6041167    |100           
    26775.0     1.36220093    |63.8011361    |34.836663          1.25814226    |63.8326296    |34.9092282    |100           
    27000.0     1.31390065    |63.5463094    |35.13979           1.21272154    |63.574167     |35.2131115    |100           
    27225.0     1.26731298    |63.2909844    |35.4417026         1.16894058    |63.3152951    |35.5157643    |100           
    27450.0     1.22237719    |63.0352241    |35.7423987         1.12674017    |63.0560751    |35.8171848    |100           
    27675.0     1.17903471    |62.779089     |36.0418763         1.08606325    |62.7965656    |36.1173712    |100           
    27900.0     1.13722905    |62.5226372    |36.3401338         1.04685483    |62.536823     |36.4163222    |100           
    28125.0     1.09690571    |62.2659246    |36.6371697         1.00906189    |62.2769015    |36.7140366    |100           
    28350.0     1.05801215    |62.0090048    |36.932983          0.972633328   |62.016853     |37.0105137    |100           
    28575.0     1.02049765    |61.7519295    |37.2275729         0.937519887   |61.7567274    |37.3057527    |100           
    28800.0     0.98431332    |61.4947481    |37.5209386         0.903674092   |61.4965725    |37.5997534    |100           
    29025.0     0.949412      |61.2375082    |37.8130798         0.871050178   |61.2364342    |37.8925156    |100           
    29250.0     0.915748194   |60.9802555    |38.1039963         0.839604034   |60.9763566    |38.1840394    |100           
    29475.0     0.883278024   |60.7230337    |38.3936883         0.80929314    |60.7163818    |38.474325     |100           
    29700.0     0.851959166   |60.465885     |38.6821558         0.780076512   |60.4565505    |38.763373     |100           
    29925.0     0.821750797   |60.2088498    |38.9693994         0.751914645   |60.1969013    |39.0511841    |100           
    30150.0     0.792613543   |59.9519668    |39.2554197         0.724769462   |59.9374715    |39.337759     |100           
    30375.0     0.764509424   |59.6952731    |39.5402175         0.698604258   |59.6782968    |39.6230989    |100           
    30600.0     0.737401807   |59.4388044    |39.8237938         0.673383656   |59.4194114    |39.907205     |100           
    30825.0     0.711255359   |59.1825949    |40.1061498         0.649073552   |59.1608479    |40.1900786    |100           
    31050.0     0.686036      |58.9266773    |40.3872867         0.625641078   |58.9026377    |40.4717213    |100           
    31275.0     0.661710857   |58.6710831    |40.6672061         0.60305455    |58.6448107    |40.7521347    |100           
    31500.0     0.638248224   |58.4158423    |40.9459095         0.581283427   |58.3873958    |41.0313207    |100           
    31725.0     0.615617518   |58.1609838    |41.2233987         0.560298272   |58.1304204    |41.3092813    |100           
    31950.0     0.59378924    |57.9065352    |41.4996755         0.540070711   |57.8739108    |41.5860185    |100           
    32175.0     0.57273494    |57.652523     |41.7747421         0.520573394   |57.617892     |41.8615346    |100           
    32400.0     0.552427173   |57.3989723    |42.0486005         0.501779958   |57.3623882    |42.1358318    |100           
    32625.0     0.532839469   |57.1459076    |42.321253          0.483664991   |57.1074223    |42.4089127    |100           
    32850.0     0.513946297   |56.8933518    |42.5927019         0.466204      |56.8530162    |42.6807798    |100           
    33075.0     0.49572303    |56.6413272    |42.8629498         0.449373376   |56.5991909    |42.9514358    |100           
    33300.0     0.478145915   |56.3898549    |43.1319992         0.433150361   |56.3459663    |43.2208834    |100           
    33525.0     0.461192042   |56.1389552    |43.3998527         0.417513019   |56.0933615    |43.4891254    |100           
    33750.0     0.44483931    |55.8886474    |43.6665133         0.402440208   |55.8413948    |43.756165     |100           
    33975.0     0.429066407   |55.63895      |43.9319836         0.387911547   |55.5900835    |44.022005     |100           
    34200.0     0.413852771   |55.3898805    |44.1962668         0.373907391   |55.339444     |44.2866486    |100           
    34425.0     0.399178574   |55.1414557    |44.4593657         0.360408805   |55.0894922    |44.550099     |100           
    34650.0     0.385024687   |54.8936918    |44.7212835         0.347397537   |54.840243     |44.8123595    |100           
    34875.0     0.371372662   |54.6466039    |44.9820235         0.334855994   |54.5917106    |45.0734334    |100           
    35100.0     0.358204704   |54.4002066    |45.2415887         0.322767219   |54.3439087    |45.3333241    |100           
    35325.0     0.34550365    |54.1545137    |45.4999827         0.311114865   |54.09685      |45.5920351    |100           
    35550.0     0.333252943   |53.9095384    |45.7572087         0.299883178   |53.8505468    |45.84957      |100           
    35775.0     0.321436617   |53.6652932    |46.0132702         0.289056971   |53.6050107    |46.1059324    |100           
    36000.0     0.310039268   |53.4217901    |46.2681707         0.278621605   |53.3602526    |46.3611258    |100           
    36225.0     0.299046041   |53.1790402    |46.5219137         0.268562971   |53.116283     |46.615154     |100           
    36450.0     0.288442607   |52.9370545    |46.7745029         0.258867467   |52.8731118    |46.8680208    |100           
    36675.0     0.278215144   |52.6958429    |47.025942          0.249521985   |52.6307481    |47.1197299    |100           
    36900.0     0.268350322   |52.4554151    |47.2762346         0.240513888   |52.3892009    |47.3702852    |100           
    37125.0     0.258835282   |52.2157802    |47.5253845         0.231830996   |52.1484784    |47.6196906    |100           
    37350.0     0.249657622   |51.9769469    |47.7733955         0.223461569   |51.9085884    |47.86795      |100           
    37575.0     0.240805379   |51.7389232    |48.0202714         0.21539429    |51.6695383    |48.1150674    |100           
    37800.0     0.232267015   |51.5017168    |48.2660162         0.207618251   |51.431335     |48.3610468    |100           
    38025.0     0.2240314     |51.265335     |48.5106336         0.200122939   |51.1939849    |48.6058921    |100           
    38250.0     0.216087799   |51.0297845    |48.7541277         0.192898217   |50.9574942    |48.8496076    |100           
    38475.0     0.20842586    |50.7950718    |48.9965024         0.185934318   |50.7218685    |49.0921972    |100           
    38700.0     0.201035593   |50.5612027    |49.2377617         0.179221826   |50.4871132    |49.333665     |100           
    38925.0     0.193907367   |50.3281829    |49.4779097         0.172751665   |50.253233     |49.5740153    |100           
    39150.0     0.187031891   |50.0960177    |49.7169504         0.166515085   |50.0202328    |49.8132521    |100           
    39375.0     0.180400202   |49.8647119    |49.9548879         0.160503655   |49.7881166    |50.0513798    |100           
    39600.0     0.174003656   |49.6342701    |50.1917263         0.154709246   |49.5568884    |50.2884024    |100           
    39825.0     0.167833916   |49.4046964    |50.4274697         0.149124023   |49.3265518    |50.5243242    |100           
    40050.0     0.16188294    |49.1759948    |50.6621223         0.143740434   |49.0971101    |50.7591495    |100           
    40275.0     0.15614297    |48.9481689    |50.8956881         0.138551201   |48.8685663    |50.9928825    |100           
    40500.0     0.150606526   |48.7212219    |51.1281715         0.133549307   |48.6409232    |51.2255275    |100           
    40725.0     0.14526639    |48.495157     |51.3595766         0.128727988   |48.4141833    |51.4570887    |100           
    40950.0     0.140115603   |48.2699768    |51.5899076         0.124080725   |48.1883487    |51.6875706    |100           
    41175.0     0.135147449   |48.0456839    |51.8191686         0.119601235   |47.9634215    |51.9169773    |100           
    41400.0     0.130355455   |47.8222805    |52.0473641         0.115283461   |47.7394033    |52.1453132    |100           
    41625.0     0.125733372   |47.5997686    |52.2744981         0.111121565   |47.5162958    |52.3725826    |100           
    41850.0     0.121275177   |47.3781499    |52.5005749         0.107109919   |47.2941001    |52.59879      |100           
    42075.0     0.116975059   |47.1574261    |52.7255988         0.1032431     |47.0728174    |52.8239395    |100           
    42300.0     0.112827412   |46.9375985    |52.9495741         0.0995158777  |46.8524485    |53.0480356    |100           
    42525.0     0.10882683    |46.7186682    |53.172505          0.0959232136  |46.6329942    |53.2710826    |100           
    42750.0     0.1049681     |46.5006362    |53.3943957         0.0924602498  |46.4144549    |53.4930848    |100           
    42975.0     0.10124619    |46.2835031    |53.6152507         0.0891223039  |46.196831     |53.7140467    |100           
    43200.0     0.09765625    |46.0672697    |53.8350741         0.0859048626  |45.9801226    |53.9339726    |100           
    43425.0     0.0941936005  |45.8519362    |54.0538702         0.0828035754  |45.7643297    |54.1528667    |100           
    43650.0     0.0908537279  |45.6375029    |54.2716434         0.0798142491  |45.5494521    |54.3707336    |100           
    43875.0     0.0876322791  |45.4239699    |54.4883978         0.0769328417  |45.3354896    |54.5875775    |100           
    44100.0     0.0845250548  |45.2113371    |54.7041379         0.0741554572  |45.1224417    |54.8034028    |100           
    44325.0     0.081528005   |44.9996042    |54.9188678         0.0714783403  |44.9103077    |55.0182139    |100           
    44550.0     0.0786372232  |44.7887709    |55.1325919         0.068897871   |44.699087     |55.2320151    |100           
    44775.0     0.0758489414  |44.5788366    |55.3453144         0.0664105603  |44.4887787    |55.4448108    |100           
    45000.0     0.0731595252  |44.3698008    |55.5570397         0.0640130451  |44.2793817    |55.6566052    |100           
    45225.0     0.0705654691  |44.1616626    |55.7677719         0.0617020835  |44.0708951    |55.8674028    |100           
    45450.0     0.0680633918  |43.9544211    |55.9775155         0.0594745509  |43.8633176    |56.0772079    |100           
    45675.0     0.0656500319  |43.7480755    |56.1862745         0.0573274355  |43.6566478    |56.2860247    |100           
    45900.0     0.0633222439  |43.5426244    |56.3940534         0.0552578339  |43.4508845    |56.4938577    |100           
    46125.0     0.0610769934  |43.3380668    |56.6008562         0.0532629479  |43.2460259    |56.7007111    |100           
    46350.0     0.058911354   |43.1344012    |56.8066874         0.05134008    |43.0420706    |56.9065893    |100           
    46575.0     0.0568225029  |42.9316263    |57.0115512         0.0494866305  |42.8390169    |57.1114965    |100           
    46800.0     0.0548077172  |42.7297406    |57.2154517         0.0477000931  |42.6368629    |57.315437     |100           
    47025.0     0.0528643709  |42.5287424    |57.4183932         0.0459780522  |42.4356067    |57.5184152    |100           
    47250.0     0.0509899308  |42.3286301    |57.62038           0.0443181794  |42.2352465    |57.7204353    |100           
    47475.0     0.0491819537  |42.1294018    |57.8214162         0.0427182304  |42.0357803    |57.9215015    |100           
    47700.0     0.0474380831  |41.9310558    |58.0215061         0.0411760418  |41.8372058    |58.1216181    |100           
    47925.0     0.0457560458  |41.7335902    |58.2206538         0.0396895284  |41.639521     |58.3207894    |100           
    48150.0     0.0441336493  |41.5370028    |58.4188635         0.0382566802  |41.4427237    |58.5190196    |100           
    48375.0     0.0425687791  |41.3412918    |58.6161395         0.0368755599  |41.2468115    |58.716313     |100           
    48600.0     0.0410593953  |41.1464548    |58.8124858         0.0355443     |41.0517821    |58.9126736    |100           
    48825.0     0.0396035305  |40.9524898    |59.0079066         0.0342611004  |40.8576331    |59.1081058    |100           
    49050.0     0.0381992871  |40.7593946    |59.2024062         0.0330242262  |40.6643621    |59.3026137    |100           
    49275.0     0.0368448347  |40.5671667    |59.3959885         0.0318320049  |40.4719664    |59.4962015    |100           
    49500.0     0.0355384078  |40.3758038    |59.5886578         0.0306828245  |40.2804437    |59.6888735    |100           
    49725.0     0.0342783036  |40.1853036    |59.7804181         0.0295751311  |40.0897913    |59.8806336    |100           
    49950.0     0.0330628796  |39.9956636    |59.9712736         0.028507427   |39.9000065    |60.0714861    |100           
    50175.0     0.0318905515  |39.8068812    |60.1612283         0.0274782685  |39.7110866    |60.2614351    |100           
    50400.0     0.0307597913  |39.6189539    |60.3502863         0.0264862641  |39.523029     |60.4504848    |100           
    50625.0     0.029669125   |39.4318792    |60.5384517         0.0255300725  |39.3358308    |60.6386391    |100           
    50850.0     0.0286171311  |39.2456544    |60.7257285         0.0246084007  |39.1494893    |60.8259023    |100           
    51075.0     0.0276024383  |39.0602768    |60.9121208         0.0237200026  |38.9640016    |61.0122784    |100           
    51300.0     0.0266237239  |38.8757437    |61.0976326         0.0228636769  |38.7793649    |61.1977715    |100           
    51525.0     0.0256797124  |38.6920524    |61.2822679         0.0220382658  |38.5955762    |61.3823855    |100           
    51750.0     0.0247691732  |38.5092001    |61.4660307         0.0212426532  |38.4126327    |61.5661246    |100           
    51975.0     0.0238909195  |38.327184     |61.6489251         0.0204757634  |38.2305314    |61.7489928    |100           
    52200.0     0.0230438065  |38.1460013    |61.8309549         0.0197365593  |38.0492694    |61.9309941    |100           
    52425.0     0.02222673    |37.9656492    |62.0121241         0.0190240416  |37.8688435    |62.1121324    |100           
    52650.0     0.021438625   |37.7861247    |62.1924367         0.0183372468  |37.6892509    |62.2924118    |100           
    52875.0     0.0206784643  |37.6074249    |62.3718966         0.0176752462  |37.5104885    |62.4718363    |100           
    53100.0     0.019945257   |37.429547     |62.5505078         0.0170371448  |37.3325532    |62.6504097    |100           
    53325.0     0.0192380474  |37.2524879    |62.7282741         0.0164220798  |37.1554419    |62.828136     |100           
    53550.0     0.0185559138  |37.0762447    |62.9051994         0.0158292194  |36.9791516    |63.0050192    |100           
    53775.0     0.0178979669  |36.9008144    |63.0812877         0.0152577622  |36.8036791    |63.1810631    |100           
    54000.0     0.0172633492  |36.726194     |63.2565427         0.0147069354  |36.6290214    |63.3562717    |100           
    54225.0     0.0166512334  |36.5523805    |63.4309683         0.0141759942  |36.4551752    |63.5306488    |100           
    54450.0     0.0160608218  |36.3793708    |63.6045684         0.0136642207  |36.2821376    |63.7041982    |100           
    54675.0     0.0154913447  |36.2071619    |63.7773468         0.013170923   |36.1099052    |63.8769239    |100           
    54900.0     0.0149420599  |36.0357507    |63.9493072         0.0126954341  |35.9384749    |64.0488297    |100           
    55125.0     0.0144122513  |35.8651342    |64.1204535         0.0122371109  |35.7678436    |64.2199193    |100           
    55350.0     0.0139012285  |35.6953093    |64.2907895         0.0117953339  |35.598008     |64.3901967    |100           
    55575.0     0.0134083252  |35.5262729    |64.4603188         0.0113695056  |35.428965     |64.5596655    |100           
    55800.0     0.0129328991  |35.3580218    |64.6290453         0.0109590504  |35.2607114    |64.7283295    |100           
    56025.0     0.0124743304  |35.190553     |64.7969727         0.0105634132  |35.093244     |64.8961926    |100           
    56250.0     0.0120320215  |35.0238633    |64.9641047         0.010182059   |34.9265595    |65.0632584    |100           
    56475.0     0.0116053957  |34.8579496    |65.130445          0.00981447224 |34.7606548    |65.2295307    |100           
    56700.0     0.011193897   |34.6928089    |65.2959973         0.0094601559  |34.5955266    |65.3950132    |100           
    56925.0     0.0107969891  |34.5284378    |65.4607652         0.00911863088 |34.4311718    |65.5597096    |100           
    57150.0     0.0104141545  |34.3648334    |65.6247524         0.00878943539 |34.267587     |65.7236235    |100           
    57375.0     0.0100448943  |34.2019924    |65.7879627         0.00847212433 |34.1047692    |65.8867587    |100           
    57600.0     0.00968872712 |34.0399118    |65.9503995         0.00816626865 |33.942715     |66.0491188    |100           
    57825.0     0.00934518878 |33.8785884    |66.1120665         0.00787145479 |33.7814212    |66.2107073    |100           
    58050.0     0.00901383146 |33.7180189    |66.2729672         0.00758728413 |33.6208847    |66.3715281    |100           
    58275.0     0.00869422325 |33.5582004    |66.4331054         0.00731337243 |33.4611021    |66.5315845    |100           
    58500.0     0.00838594756 |33.3991295    |66.5924845         0.00704934934 |33.3020703    |66.6908803    |100           
    58725.0     0.00808860256 |33.2408033    |66.7511081         0.00679485784 |33.1437861    |66.849419     |100           
    58950.0     0.00780180068 |33.0832184    |66.9089798         0.00654955386 |32.9862462    |67.0072042    |100           
    59175.0     0.00752516809 |32.9263718    |67.066103          0.00631310569 |32.8294475    |67.1642394    |100           
    59400.0     0.00725834421 |32.7702604    |67.2224813         0.00608519364 |32.6733867    |67.3205281    |100           
    59625.0     0.00700098124 |32.6148809    |67.3781181         0.00586550953 |32.5180606    |67.4760739    |100           
    59850.0     0.00675274373 |32.4602303    |67.5330169         0.00565375634 |32.363466     |67.6308802    |100           
    60075.0     0.00651330811 |32.3063054    |67.6871813         0.00544964773 |32.2095997    |67.7849506    |100           
    60300.0     0.00628236228 |32.1531031    |67.8406146         0.00525290773 |32.0564586    |67.9382885    |100           
