Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 225.0 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.92439055124521 at t = 14400.0 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
-----------     --------------|--------------|--------------     --------------|--------------|--------------|--------------
          0     100           |0             |0                  100           |0             |0             |100           
      225.0     96.4542469    |3.53727583    |0.00847728608      96.3898584    |3.61014157    |0             |100           
      450.0     93.0342174    |6.93232897    |0.0334536166       92.9100481    |7.07276537    |0.0171865347  |100           
      675.0     89.7354538    |10.1902821    |0.0742641894       89.5558638    |10.3932788    |0.0508573271  |100           
      900.0     86.5536561    |13.3160757    |0.130268154        86.3227704    |13.5768938    |0.100335843   |100           
     1125.0     83.4846771    |16.3144751    |0.200847759        83.2063961    |16.6286335    |0.16497036    |100           
     1350.0     80.5245166    |19.1900759    |0.285407533        80.2025275    |19.5533395    |0.244133069   |100           
     1575.0     77.669316     |21.9473105    |0.383373492        77.3071027    |22.3556781    |0.33721921    |100           
     1800.0     74.9153538    |24.5904538    |0.494192376        74.5162068    |25.0401469    |0.443646238   |100           
     2025.0     72.2590403    |27.1236287    |0.617330913        71.8260663    |27.6110807    |0.562853018   |100           
     2250.0     69.6969132    |29.5508117    |0.752275105        69.2330436    |30.0726573    |0.694299054   |100           
     2475.0     67.2256327    |31.8758378    |0.898529549        66.7336327    |32.4289035    |0.837463735   |100           
     2700.0     64.8419777    |34.1024055    |1.05561677         64.3244541    |34.6837003    |0.991845624   |100           
     2925.0     62.5428413    |36.2340821    |1.22307659         62.0022502    |36.840788     |1.15696176    |100           
     3150.0     60.3252265    |38.274308     |1.4004655          59.7638812    |38.9037718    |1.33234698    |100           
     3375.0     58.1862429    |40.226401     |1.58735609         57.6063205    |40.8761262    |1.5175533     |100           
     3600.0     56.1231024    |42.0935611    |1.78333645         55.5266508    |42.7611999    |1.71214926    |100           
     3825.0     54.1331158    |43.8788746    |1.98800964         53.5220601    |44.5622206    |1.91571935    |100           
     4050.0     52.2136891    |45.5853177    |2.20099314         51.589838     |46.2822986    |2.12786342    |100           
     4275.0     50.3623206    |47.215761     |2.42191836         49.7273718    |47.9244321    |2.34819615    |100           
     4500.0     48.5765971    |48.7729728    |2.65043012         47.9321433    |49.4915103    |2.57634646    |100           
     4725.0     46.8541909    |50.259623     |2.88618618         46.201725     |50.9863179    |2.81195704    |100           
     4950.0     45.1928569    |51.6782863    |3.1288568          44.5337774    |52.4115388    |3.05468384    |100           
     5175.0     43.5904298    |53.031446     |3.37812425         42.9260449    |53.7697595    |3.30419559    |100           
     5400.0     42.0448208    |54.3214968    |3.63368244         41.376354     |55.0634727    |3.56017332    |100           
     5625.0     40.5540152    |55.5507483    |3.89523646         39.882609     |56.2950811    |3.82230993    |100           
     5850.0     39.11607      |56.7214278    |4.1625022          38.4427904    |57.4668999    |4.09030977    |100           
     6075.0     37.7291107    |57.8356833    |4.43520596         37.0549512    |58.5811606    |4.3638882     |100           
     6300.0     36.3913296    |58.8955863    |4.7130841          35.717215     |59.6400138    |4.64277121    |100           
     6525.0     35.1009829    |59.9031345    |4.99588263         34.427773     |60.645532     |4.92669503    |100           
     6750.0     33.8563887    |60.8602544    |5.28335694         33.1848816    |61.5997126    |5.21540574    |100           
     6975.0     32.6559247    |61.7688039    |5.57527141         31.9868604    |62.5044806    |5.50865895    |100           
     7200.0     31.4980262    |62.6305747    |5.87139909         30.8320895    |63.3616911    |5.80621942    |100           
     7425.0     30.381184     |63.4472946    |6.17152144         29.7190074    |64.1731318    |6.10786075    |100           
     7650.0     29.3039422    |64.2206298    |6.47542796         28.6461092    |64.9405258    |6.41336504    |100           
     7875.0     28.2648968    |64.9521873    |6.78291597         27.6119441    |65.6655333    |6.72252261    |100           
     8100.0     27.2626933    |65.6435164    |7.0937903          26.6151138    |66.3497545    |7.03513167    |100           
     8325.0     26.2960255    |66.2961115    |7.407863           25.6542705    |66.9947314    |7.35099806    |100           
     8550.0     25.3636334    |66.9114135    |7.72495314         24.728115     |67.60195      |7.66993493    |100           
     8775.0     24.4643016    |67.490812     |8.04488649         23.8353951    |68.1728424    |7.99176255    |100           
     9000.0     23.5968578    |68.0356468    |8.36749535         22.9749036    |68.7087885    |8.31630797    |100           
     9225.0     22.7601715    |68.5472102    |8.69261827         22.145477     |69.2111181    |8.64340483    |100           
     9450.0     21.953152     |69.0267482    |9.02009983         21.345994     |69.6811129    |8.9728931     |100           
     9675.0     21.1747474    |69.4754621    |9.34979046         20.5753734    |70.1200078    |9.30461883    |100           
     9900.0     20.4239432    |69.8945107    |9.68154617         19.8325733    |70.5289928    |9.63843398    |100           
    10125.0     19.6997606    |70.285011     |10.0152284         19.1165893    |70.9092146    |9.97419615    |100           
    10350.0     19.0012557    |70.6480404    |10.3507039         18.4264533    |71.2617782    |10.3117684    |100           
    10575.0     18.3275181    |70.9846376    |10.6878443         17.7612323    |71.5877486    |10.6510191    |100           
    10800.0     17.6776695    |71.2958042    |11.0265262         17.1200267    |71.8881517    |10.9918216    |100           
    11025.0     17.050863     |71.5825061    |11.3666309         16.5019695    |72.1639763    |11.3340542    |100           
    11250.0     16.4462815    |71.8456745    |11.708044          15.906225     |72.416175     |11.6776       |100           
    11475.0     15.863137     |72.0862073    |12.0506557         15.3319878    |72.6456659    |12.0223463    |100           
    11700.0     15.3006693    |72.3049703    |12.3943604         14.7784813    |72.8533335    |12.3681852    |100           
    11925.0     14.7581453    |72.5027983    |12.7390564         14.2449572    |73.0400301    |12.7150127    |100           
    12150.0     14.2348579    |72.6804961    |13.0846459         13.7306941    |73.206577     |13.062729     |100           
    12375.0     13.730125     |72.8388399    |13.431035          13.2349966    |73.3537653    |13.4112381    |100           
    12600.0     13.2432887    |72.9785779    |13.7781334         12.7571945    |73.4823576    |13.760448     |100           
    12825.0     12.7737144    |73.1004315    |14.1258541         12.2966417    |73.5930883    |14.11027      |100           
    13050.0     12.32079      |73.2050962    |14.4741138         11.8527155    |73.6866653    |14.4606192    |100           
    13275.0     11.8839252    |73.2932427    |14.8228321         11.4248157    |73.7637704    |14.8114139    |100           
    13500.0     11.4625505    |73.3655174    |15.1719321         11.0123637    |73.8250607    |15.1625756    |100           
    13725.0     11.0561168    |73.4225437    |15.5213395         10.6148018    |73.8711691    |15.5140291    |100           
    13950.0     10.6640942    |73.4649224    |15.8709834         10.2315924    |73.9027054    |15.8657021    |100           
    14175.0     10.2859717    |73.493233     |16.2207953         9.86221744    |73.9202573    |16.2175253    |100           
    14400.0     9.92125657    |73.5080338    |16.5707096         9.50617742    |73.9243906    |16.569432     |100           
    14625.0     9.56947331    |73.5098634    |16.9206633         9.16299096    |73.9156506    |16.9213584    |100           
    14850.0     9.23016341    |73.4992408    |17.2705958         8.83219402    |73.8945628    |17.2732432    |100           
    15075.0     8.90288461    |73.4766663    |17.6204491         8.51333931    |73.8616331    |17.6250276    |100           
    15300.0     8.5872103     |73.4426222    |17.9701675         8.20599571    |73.8173491    |17.9766552    |100           
    15525.0     8.28272902    |73.3975736    |18.3196974         7.90974765    |73.7621803    |18.328072     |100           
    15750.0     7.9890439     |73.3419685    |18.6689876         7.62419456    |73.6965792    |18.6792262    |100           
    15975.0     7.70577212    |73.2762391    |19.0179887         7.34895034    |73.6209816    |19.0300681    |100           
    16200.0     7.43254447    |73.2008018    |19.3666537         7.08364283    |73.5358071    |19.3805501    |100           
    16425.0     7.16900479    |73.1160579    |19.7149373         6.8279133     |73.4414602    |19.7306265    |100           
    16650.0     6.91480958    |73.0223944    |20.062796          6.58141596    |73.3383302    |20.0802539    |100           
    16875.0     6.6696275     |72.9201841    |20.4101884         6.34381753    |73.2267922    |20.4293903    |100           
    17100.0     6.43313898    |72.8097865    |20.7570745         6.11479673    |73.1072076    |20.7779957    |100           
    17325.0     6.20503575    |72.6915479    |21.1034163         5.89404392    |72.9799243    |21.1260317    |100           
    17550.0     5.9850205     |72.5658023    |21.4491772         5.68126059    |72.8452775    |21.4734619    |100           
    17775.0     5.77280645    |72.4328713    |21.7943222         5.47615904    |72.7035899    |21.820251     |100           
    18000.0     5.56811699    |72.2930651    |22.1388179         5.27846194    |72.5551724    |22.1663656    |100           
    18225.0     5.37068531    |72.1466824    |22.4826323         5.08790199    |72.4003243    |22.5117737    |100           
    18450.0     5.18025406    |71.9940112    |22.8257347         4.90422153    |72.2393339    |22.8564446    |100           
    18675.0     4.99657504    |71.835329     |23.1680959         4.72717219    |72.0724788    |23.2003491    |100           
    18900.0     4.81940883    |71.6709032    |23.5096879         4.55651458    |71.9000262    |23.5434592    |100           
    19125.0     4.64852449    |71.5009915    |23.850484          4.39201796    |71.7222337    |23.8857483    |100           
    19350.0     4.48369929    |71.3258421    |24.1904586         4.23345989    |71.539349     |24.2271911    |100           
    19575.0     4.32471838    |71.1456942    |24.5295874         4.08062599    |71.3516108    |24.5677632    |100           
    19800.0     4.17137454    |70.9607783    |24.8678472         3.93330962    |71.1592488    |24.9074415    |100           
    20025.0     4.0234679     |70.7713164    |25.2052157         3.79131157    |70.9624843    |25.2462041    |100           
    20250.0     3.88080566    |70.5775225    |25.5416719         3.65443986    |70.7615301    |25.58403      |100           
    20475.0     3.74320187    |70.3796026    |25.8771956         3.52250941    |70.5565914    |25.9208992    |100           
    20700.0     3.61047718    |70.1777552    |26.2117676         3.39534183    |70.3478654    |26.2567928    |100           
    20925.0     3.48245857    |69.9721717    |26.5453698         3.27276518    |70.1355422    |26.5916926    |100           
    21150.0     3.35897919    |69.7630361    |26.8779847         3.15461373    |69.9198045    |26.9255817    |100           
    21375.0     3.23987808    |69.550526     |27.2095959         3.04072771    |69.7008285    |27.2584438    |100           
    21600.0     3.125         |69.3348123    |27.5401877         2.93095313    |69.4787835    |27.5902634    |100           
    21825.0     3.01419522    |69.1160595    |27.8697453         2.82514157    |69.2538325    |27.9210259    |100           
    22050.0     2.90731929    |68.8944261    |28.1982546         2.72314996    |69.0261325    |28.2507175    |100           
    22275.0     2.80423293    |68.6700649    |28.5257022         2.62484039    |68.7958345    |28.5793251    |100           
    22500.0     2.70480175    |68.4431227    |28.8520755         2.53007994    |68.5630837    |28.9068364    |100           
