Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 56.25 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.61307233309724 at t = 14512.5 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
    38700.0     0.201035593   |50.5612027    |49.2377617         0.195447345   |50.5428766    |49.2616761    |100           
   38756.25     0.199229339   |50.5028679    |49.2979027         0.193683364   |50.4844866    |49.32183      |100           
    38812.5     0.197439314   |50.4445863    |49.3579744         0.191935303   |50.4261502    |49.3819145    |100           
   38868.75     0.195665371   |50.386358     |49.4179767         0.190203019   |50.3678675    |49.4419295    |100           
    38925.0     0.193907367   |50.3281829    |49.4779097         0.188486369   |50.3096385    |49.5018751    |100           
   38981.25     0.192165159   |50.2700613    |49.5377735         0.186785213   |50.2514633    |49.5617515    |100           
    39037.5     0.190438603   |50.2119932    |49.5975682         0.18509941    |50.193342     |49.6215586    |100           
   39093.75     0.18872756    |50.1539786    |49.6572938         0.183428823   |50.1352746    |49.6812965    |100           
    39150.0     0.187031891   |50.0960177    |49.7169504         0.181773313   |50.0772613    |49.7409654    |100           
   39206.25     0.185351456   |50.0381105    |49.776538          0.180132744   |50.0193021    |49.8005651    |100           
    39262.5     0.18368612    |49.9802571    |49.8360568         0.178506982   |49.9613971    |49.8600959    |100           
   39318.75     0.182035747   |49.9224575    |49.8955067         0.176895894   |49.9035463    |49.9195578    |100           
    39375.0     0.180400202   |49.8647119    |49.9548879         0.175299346   |49.8457498    |49.9789509    |100           
   39431.25     0.178779351   |49.8070203    |50.0142004         0.173717207   |49.7880077    |50.0382751    |100           
    39487.5     0.177173064   |49.7493827    |50.0734442         0.172149348   |49.73032      |50.0975306    |100           
   39543.75     0.175581209   |49.6917993    |50.1326195         0.170595639   |49.6726869    |50.1567175    |100           
    39600.0     0.174003656   |49.6342701    |50.1917263         0.169055953   |49.6151083    |50.2158358    |100           
   39656.25     0.172440277   |49.5767951    |50.2507646         0.167530163   |49.5575843    |50.2748855    |100           
    39712.5     0.170890945   |49.5193744    |50.3097346         0.166018144   |49.5001151    |50.3338668    |100           
   39768.75     0.169355533   |49.4620082    |50.3686363         0.164519772   |49.4427005    |50.3927797    |100           
    39825.0     0.167833916   |49.4046964    |50.4274697         0.163034923   |49.3853408    |50.4516242    |100           
   39881.25     0.16632597    |49.3474391    |50.4862349         0.161563475   |49.328036     |50.5104005    |100           
    39937.5     0.164831574   |49.2902364    |50.5449321         0.160105307   |49.2707861    |50.5691086    |100           
   39993.75     0.163350603   |49.2330882    |50.6035612         0.1586603     |49.2135911    |50.6277486    |100           
    40050.0     0.16188294    |49.1759948    |50.6621223         0.157228335   |49.1564512    |50.6863204    |100           
   40106.25     0.160428462   |49.1189561    |50.7206154         0.155809293   |49.0993664    |50.7448243    |100           
    40162.5     0.158987053   |49.0619722    |50.7790408         0.154403059   |49.0423367    |50.8032602    |100           
   40218.75     0.157558594   |49.0050431    |50.8373983         0.153009517   |48.9853622    |50.8616283    |100           
    40275.0     0.15614297    |48.9481689    |50.8956881         0.151628552   |48.9284429    |50.9199286    |100           
   40331.25     0.154740065   |48.8913496    |50.9539103         0.150260051   |48.8715789    |50.9781611    |100           
    40387.5     0.153349765   |48.8345853    |51.0120649         0.148903901   |48.8147702    |51.0363259    |100           
   40443.75     0.151971956   |48.7778761    |51.0701519         0.14755999    |48.7580169    |51.0944231    |100           
    40500.0     0.150606526   |48.7212219    |51.1281715         0.146228209   |48.701319     |51.1524528    |100           
   40556.25     0.149253364   |48.6646229    |51.1861237         0.144908448   |48.6446766    |51.210415     |100           
    40612.5     0.14791236    |48.608079     |51.2440086         0.143600598   |48.5880896    |51.2683098    |100           
   40668.75     0.146583405   |48.5515904    |51.3018262         0.142304551   |48.5315583    |51.3261372    |100           
    40725.0     0.14526639    |48.495157     |51.3595766         0.141020202   |48.4750824    |51.3838973    |100           
   40781.25     0.143961208   |48.4387789    |51.4172599         0.139747445   |48.4186623    |51.4415903    |100           
    40837.5     0.142667753   |48.3824562    |51.4748761         0.138486175   |48.3622978    |51.4992161    |100           
   40893.75     0.14138592    |48.3261888    |51.5324253         0.137236288   |48.3059889    |51.5567748    |100           
    40950.0     0.140115603   |48.2699768    |51.5899076         0.135997682   |48.2497358    |51.6142665    |100           
   41006.25     0.138856699   |48.2138203    |51.647323          0.134770255   |48.1935385    |51.6716912    |100           
    41062.5     0.137609107   |48.1577193    |51.7046716         0.133553906   |48.137397     |51.7290491    |100           
   41118.75     0.136372724   |48.1016738    |51.7619534         0.132348535   |48.0813114    |51.7863401    |100           
    41175.0     0.135147449   |48.0456839    |51.8191686         0.131154042   |48.0252816    |51.8435644    |100           
   41231.25     0.133933184   |47.9897496    |51.8763172         0.129970331   |47.9693077    |51.900722     |100           
    41287.5     0.132729828   |47.9338709    |51.9333993         0.128797302   |47.9133897    |51.957813     |100           
   41343.75     0.131537284   |47.8780478    |51.9904149         0.127634861   |47.8575277    |52.0148374    |100           
    41400.0     0.130355455   |47.8222805    |52.0473641         0.126482911   |47.8017217    |52.0717954    |100           
   41456.25     0.129184244   |47.7665688    |52.1042469         0.125341358   |47.7459717    |52.1286869    |100           
    41512.5     0.128023556   |47.710913     |52.1610635         0.124210108   |47.6902778    |52.1855121    |100           
   41568.75     0.126873296   |47.6553129    |52.2178138         0.123089068   |47.63464      |52.242271     |100           
    41625.0     0.125733372   |47.5997686    |52.2744981         0.121978146   |47.5790582    |52.2989637    |100           
   41681.25     0.124603689   |47.5442801    |52.3311162         0.12087725    |47.5235326    |52.3555902    |100           
    41737.5     0.123484157   |47.4888475    |52.3876684         0.11978629    |47.4680631    |52.4121506    |100           
   41793.75     0.122374683   |47.4334707    |52.4441546         0.118705176   |47.4126498    |52.4686451    |100           
    41850.0     0.121275177   |47.3781499    |52.5005749         0.11763382    |47.3572926    |52.5250735    |100           
   41906.25     0.12018555    |47.322885     |52.5569294         0.116572133   |47.3019917    |52.5814361    |100           
    41962.5     0.119105713   |47.2676761    |52.6132182         0.115520028   |47.2467471    |52.6377329    |100           
   42018.75     0.118035578   |47.2125231    |52.6694413         0.114477419   |47.1915587    |52.6939639    |100           
    42075.0     0.116975059   |47.1574261    |52.7255988         0.11344422    |47.1364265    |52.7501293    |100           
   42131.25     0.115924067   |47.1023852    |52.7816908         0.112420346   |47.0813507    |52.806229     |100           
    42187.5     0.114882519   |47.0474002    |52.8377173         0.111405712   |47.0263311    |52.8622632    |100           
   42243.75     0.113850328   |46.9924713    |52.8936783         0.110400236   |46.9713679    |52.9182319    |100           
    42300.0     0.112827412   |46.9375985    |52.9495741         0.109403835   |46.916461     |52.9741352    |100           
   42356.25     0.111813686   |46.8827818    |53.0054045         0.108416427   |46.8616105    |53.0299731    |100           
    42412.5     0.110809068   |46.8280211    |53.0611698         0.10743793    |46.8068163    |53.0857457    |100           
   42468.75     0.109813477   |46.7733166    |53.1168699         0.106468265   |46.7520786    |53.1414532    |100           
    42525.0     0.10882683    |46.7186682    |53.172505          0.105507351   |46.6973972    |53.1970955    |100           
   42581.25     0.107849049   |46.6640759    |53.228075          0.10455511    |46.6427722    |53.2526727    |100           
    42637.5     0.106880052   |46.6095398    |53.2835801         0.103611463   |46.5882036    |53.3081849    |100           
   42693.75     0.105919762   |46.5550599    |53.3390203         0.102676333   |46.5336915    |53.3636321    |100           
    42750.0     0.1049681     |46.5006362    |53.3943957         0.101749642   |46.4792358    |53.4190145    |100           
   42806.25     0.104024988   |46.4462686    |53.4497064         0.100831316   |46.4248366    |53.4743321    |100           
    42862.5     0.103090349   |46.3919572    |53.5049524         0.0999212776  |46.3704938    |53.5295849    |100           
   42918.75     0.102164109   |46.3377021    |53.5601338         0.0990194527  |46.3162075    |53.5847731    |100           
    42975.0     0.10124619    |46.2835031    |53.6152507         0.0981257671  |46.2619776    |53.6398966    |100           
   43031.25     0.100336518   |46.2293604    |53.6703031         0.0972401474  |46.2078043    |53.6949556    |100           
    43087.5     0.0994350202  |46.1752739    |53.7252911         0.0963625206  |46.1536874    |53.7499501    |100           
   43143.75     0.0985416216  |46.1212437    |53.7802147         0.0954928148  |46.099627     |53.8048802    |100           
    43200.0     0.09765625    |46.0672697    |53.8350741         0.0946309583  |46.045623     |53.859746     |100           
   43256.25     0.0967788332  |46.0133519    |53.8898693         0.0937768804  |45.9916756    |53.9145475    |100           
    43312.5     0.0959092998  |45.9594904    |53.9446003         0.0929305109  |45.9377847    |53.9692848    |100           
   43368.75     0.095047579   |45.9056852    |53.9992673         0.0920917801  |45.8839503    |54.023958     |100           
    43425.0     0.0941936005  |45.8519362    |54.0538702         0.0912606192  |45.8301723    |54.078567     |100           
   43481.25     0.0933472947  |45.7982435    |54.1084092         0.0904369598  |45.7764509    |54.1331121    |100           
    43537.5     0.0925085929  |45.744607     |54.1628844         0.0896207343  |45.722786     |54.1875933    |100           
   43593.75     0.0916774265  |45.6910268    |54.2172958         0.0888118754  |45.6691776    |54.2420105    |100           
    43650.0     0.0908537279  |45.6375029    |54.2716434         0.0880103168  |45.6156257    |54.296364     |100           
   43706.25     0.0900374301  |45.5840352    |54.3259273         0.0872159926  |45.5621303    |54.3506537    |100           
    43762.5     0.0892284665  |45.5306239    |54.3801477         0.0864288374  |45.5086913    |54.4048798    |100           
   43818.75     0.0884267713  |45.4772687    |54.4343045         0.0856487865  |45.4553089    |54.4590423    |100           
    43875.0     0.0876322791  |45.4239699    |54.4883978         0.0848757759  |45.401983     |54.5131412    |100           
   43931.25     0.0868449251  |45.3707273    |54.5424278         0.084109742   |45.3487136    |54.5671767    |100           
    43987.5     0.0860646454  |45.317541     |54.5963944         0.0833506218  |45.2955006    |54.6211488    |100           
   44043.75     0.0852913763  |45.2644109    |54.6502977         0.0825983529  |45.2423442    |54.6750575    |100           
    44100.0     0.0845250548  |45.2113371    |54.7041379         0.0818528736  |45.1892442    |54.728903     |100           
   44156.25     0.0837656185  |45.1583195    |54.7579149         0.0811141224  |45.1362006    |54.7826852    |100           
    44212.5     0.0830130056  |45.1053581    |54.8116289         0.0803820388  |45.0832136    |54.8364044    |100           
   44268.75     0.0822671546  |45.052453     |54.8652798         0.0796565624  |45.030283     |54.8900605    |100           
    44325.0     0.081528005   |44.9996042    |54.9188678         0.0789376337  |44.9774088    |54.9436536    |100           
   44381.25     0.0807954965  |44.9468115    |54.972393          0.0782251937  |44.9245911    |54.9971837    |100           
    44437.5     0.0800695693  |44.8940751    |55.0258553         0.0775191836  |44.8718298    |55.050651     |100           
   44493.75     0.0793501644  |44.8413949    |55.079255          0.0768195455  |44.8191249    |55.1040555    |100           
    44550.0     0.0786372232  |44.7887709    |55.1325919         0.0761262219  |44.7664765    |55.1573973    |100           
   44606.25     0.0779306876  |44.736203     |55.1858663         0.0754391559  |44.7138844    |55.2106764    |100           
    44662.5     0.0772305001  |44.6836914    |55.2390781         0.0747582908  |44.6613488    |55.2638929    |100           
   44718.75     0.0765366035  |44.6312359    |55.2922275         0.0740835707  |44.6088695    |55.3170469    |100           
    44775.0     0.0758489414  |44.5788366    |55.3453144         0.0734149403  |44.5564466    |55.3701385    |100           
   44831.25     0.0751674578  |44.5264935    |55.3983391         0.0727523445  |44.50408      |55.4231676    |100           
    44887.5     0.0744920972  |44.4742064    |55.4513015         0.0720957288  |44.4517698    |55.4761344    |100           
   44943.75     0.0738228045  |44.4219756    |55.5042016         0.0714450394  |44.399516     |55.529039     |100           
    45000.0     0.0731595252  |44.3698008    |55.5570397         0.0708002226  |44.3473184    |55.5818814    |100           
   45056.25     0.0725022054  |44.3176821    |55.6098157         0.0701612255  |44.2951772    |55.6346616    |100           
    45112.5     0.0718507913  |44.2656195    |55.6625297         0.0695279956  |44.2430922    |55.6873798    |100           
   45168.75     0.0712052301  |44.213613     |55.7151817         0.0689004809  |44.1910635    |55.740036     |100           
    45225.0     0.0705654691  |44.1616626    |55.7677719         0.0682786296  |44.1390911    |55.7926303    |100           
   45281.25     0.0699314562  |44.1097682    |55.8203004         0.0676623908  |44.0871749    |55.8451627    |100           
    45337.5     0.0693031397  |44.0579298    |55.872767          0.0670517138  |44.0353149    |55.8976334    |100           
   45393.75     0.0686804684  |44.0061475    |55.925172          0.0664465484  |43.9835112    |55.9500423    |100           
    45450.0     0.0680633918  |43.9544211    |55.9775155         0.0658468448  |43.9317636    |56.0023896    |100           
   45506.25     0.0674518594  |43.9027508    |56.0297973         0.0652525537  |43.8800722    |56.0546752    |100           
    45562.5     0.0668458214  |43.8511364    |56.0820178         0.0646636263  |43.828437     |56.1068994    |100           
   45618.75     0.0662452286  |43.799578     |56.1341768         0.0640800142  |43.7768579    |56.1590621    |100           
    45675.0     0.0656500319  |43.7480755    |56.1862745         0.0635016694  |43.7253349    |56.2111634    |100           
   45731.25     0.065060183   |43.6966289    |56.2383109         0.0629285443  |43.6738681    |56.2632034    |100           
    45787.5     0.0644756336  |43.6452382    |56.2902862         0.0623605919  |43.6224573    |56.3151821    |100           
   45843.75     0.0638963363  |43.5939034    |56.3422003         0.0617977655  |43.5711025    |56.3670997    |100           
    45900.0     0.0633222439  |43.5426244    |56.3940534         0.0612400188  |43.5198039    |56.4189561    |100           
   45956.25     0.0627533095  |43.4914013    |56.4458454         0.060687306   |43.4685612    |56.4707515    |100           
    46012.5     0.0621894868  |43.440234     |56.4975765         0.0601395816  |43.4173745    |56.5224859    |100           
   46068.75     0.06163073    |43.3891225    |56.5492468         0.0595968006  |43.3662438    |56.5741594    |100           
    46125.0     0.0610769934  |43.3380668    |56.6008562         0.0590589183  |43.3151691    |56.625772     |100           
   46181.25     0.0605282321  |43.2870668    |56.652405          0.0585258907  |43.2641503    |56.6773238    |100           
    46237.5     0.0599844012  |43.2361226    |56.703893          0.0579976738  |43.2131874    |56.7288149    |100           
   46293.75     0.0594454565  |43.185234     |56.7553205         0.0574742243  |43.1622804    |56.7802454    |100           
    46350.0     0.058911354   |43.1344012    |56.8066874         0.0569554991  |43.1114292    |56.8316153    |100           
   46406.25     0.0583820504  |43.083624     |56.8579939         0.0564414555  |43.0606339    |56.8829246    |100           
    46462.5     0.0578575024  |43.0329025    |56.90924           0.0559320514  |43.0098944    |56.9341735    |100           
   46518.75     0.0573376673  |42.9822366    |56.9604257         0.0554272449  |42.9592107    |56.985362     |100           
    46575.0     0.0568225029  |42.9316263    |57.0115512         0.0549269944  |42.9085828    |57.0364902    |100           
   46631.25     0.056311967   |42.8810716    |57.0626165         0.0544312588  |42.8580106    |57.0875581    |100           
    46687.5     0.0558060182  |42.8305724    |57.1136216         0.0539399974  |42.8074941    |57.1385659    |100           
   46743.75     0.0553046152  |42.7801287    |57.1645666         0.0534531699  |42.7570333    |57.1895135    |100           
    46800.0     0.0548077172  |42.7297406    |57.2154517         0.0529707361  |42.7066282    |57.2404011    |100           
   46856.25     0.0543152837  |42.6794079    |57.2662768         0.0524926564  |42.6562787    |57.2912286    |100           
    46912.5     0.0538272746  |42.6291306    |57.3170421         0.0520188916  |42.6059848    |57.3419963    |100           
   46968.75     0.0533436501  |42.5789088    |57.3677475         0.0515494027  |42.5557465    |57.3927041    |100           
    47025.0     0.0528643709  |42.5287424    |57.4183932         0.0510841511  |42.5055638    |57.4433521    |100           
   47081.25     0.0523893978  |42.4786313    |57.4689793         0.0506230986  |42.4554365    |57.4939404    |100           
    47137.5     0.0519186923  |42.4285756    |57.5195057         0.0501662072  |42.4053648    |57.544469     |100           
   47193.75     0.051452216   |42.3785752    |57.5699726         0.0497134394  |42.3553486    |57.594938     |100           
    47250.0     0.0509899308  |42.3286301    |57.62038           0.049264758   |42.3053877    |57.6453475    |100           
   47306.25     0.0505317991  |42.2787402    |57.670728          0.0488201262  |42.2554823    |57.6956975    |100           
    47362.5     0.0500777837  |42.2289055    |57.7210167         0.0483795073  |42.2056323    |57.7459882    |100           
   47418.75     0.0496278474  |42.1791261    |57.771246          0.0479428651  |42.1558377    |57.7962195    |100           
    47475.0     0.0491819537  |42.1294018    |57.8214162         0.0475101638  |42.1060983    |57.8463915    |100           
   47531.25     0.0487400663  |42.0797327    |57.8715272         0.0470813677  |42.0564143    |57.8965044    |100           
    47587.5     0.0483021491  |42.0301187    |57.9215792         0.0466564417  |42.0067855    |57.9465581    |100           
   47643.75     0.0478681665  |41.9805597    |57.9715721         0.0462353508  |41.9572119    |57.9965527    |100           
    47700.0     0.0474380831  |41.9310558    |58.0215061         0.0458180604  |41.9076935    |58.0464884    |100           
   47756.25     0.0470118639  |41.881607     |58.0713812         0.0454045362  |41.8582304    |58.0963651    |100           
    47812.5     0.0465894741  |41.8322131    |58.1211974         0.0449947442  |41.8088223    |58.146183     |100           
   47868.75     0.0461708795  |41.7828742    |58.170955          0.0445886507  |41.7594693    |58.195942     |100           
    47925.0     0.0457560458  |41.7335902    |58.2206538         0.0441862223  |41.7101715    |58.2456423    |100           
   47981.25     0.0453449392  |41.6843611    |58.270294          0.043787426   |41.6609286    |58.2952839    |100           
    48037.5     0.0449375264  |41.6351868    |58.3198756         0.043392229   |41.6117408    |58.344867     |100           
   48093.75     0.0445337741  |41.5860674    |58.3693988         0.0430005988  |41.5626079    |58.3943915    |100           
    48150.0     0.0441336493  |41.5370028    |58.4188635         0.0426125032  |41.51353      |58.4438575    |100           
   48206.25     0.0437371196  |41.487993     |58.4682699         0.0422279103  |41.464507     |58.4932651    |100           
    48262.5     0.0433441526  |41.4390379    |58.517618          0.0418467884  |41.4155389    |58.5426143    |100           
   48318.75     0.0429547164  |41.3901375    |58.5669078         0.0414691063  |41.3666256    |58.5919053    |100           
    48375.0     0.0425687791  |41.3412918    |58.6161395         0.041094833   |41.3177671    |58.6411381    |100           
   48431.25     0.0421863093  |41.2925007    |58.665313          0.0407239376  |41.2689634    |58.6903127    |100           
    48487.5     0.041807276   |41.2437642    |58.7144286         0.0403563896  |41.2202144    |58.7394292    |100           
   48543.75     0.0414316482  |41.1950822    |58.7634861         0.0399921589  |41.1715201    |58.7884877    |100           
    48600.0     0.0410593953  |41.1464548    |58.8124858         0.0396312155  |41.1228805    |58.8374883    |100           
   48656.25     0.040690487   |41.0978819    |58.8614276         0.0392735298  |41.0742955    |58.8864309    |100           
    48712.5     0.0403248932  |41.0493635    |58.9103116         0.0389190723  |41.0257652    |58.9353158    |100           
   48768.75     0.0399625842  |41.0008995    |58.959138          0.0385678139  |40.9772893    |58.9841429    |100           
    48825.0     0.0396035305  |40.9524898    |59.0079066         0.0382197257  |40.928868     |59.0329122    |100           
   48881.25     0.0392477028  |40.9041346    |59.0566177         0.0378747792  |40.8805012    |59.081624     |100           
    48937.5     0.0388950721  |40.8558336    |59.1052713         0.0375329459  |40.8321889    |59.1302782    |100           
   48993.75     0.0385456096  |40.807587     |59.1538674         0.0371941978  |40.7839309    |59.1788749    |100           
    49050.0     0.0381992871  |40.7593946    |59.2024062         0.036858507   |40.7357273    |59.2274142    |100           
   49106.25     0.0378560761  |40.7112564    |59.2508876         0.0365258459  |40.6875781    |59.2758961    |100           
    49162.5     0.0375159488  |40.6631723    |59.2993117         0.0361961872  |40.6394832    |59.3243206    |100           
   49218.75     0.0371788775  |40.6151424    |59.3476787         0.0358695038  |40.5914425    |59.372688     |100           
    49275.0     0.0368448347  |40.5671667    |59.3959885         0.0355457688  |40.5434561    |59.4209982    |100           
   49331.25     0.0365137931  |40.519245     |59.4442413         0.0352249557  |40.4955238    |59.4692512    |100           
    49387.5     0.0361857259  |40.4713773    |59.492437          0.034907038   |40.4476457    |59.5174472    |100           
   49443.75     0.0358606063  |40.4235636    |59.5405758         0.0345919896  |40.3998217    |59.5655863    |100           
    49500.0     0.0355384078  |40.3758038    |59.5886578         0.0342797847  |40.3520518    |59.6136684    |100           
   49556.25     0.0352191042  |40.328098     |59.6366829         0.0339703975  |40.304336     |59.6616936    |100           
    49612.5     0.0349026694  |40.280446     |59.6846513         0.0336638026  |40.2566741    |59.7096621    |100           
   49668.75     0.0345890777  |40.2328479    |59.732563          0.0333599749  |40.2090662    |59.7575739    |100           
    49725.0     0.0342783036  |40.1853036    |59.7804181         0.0330588893  |40.1615122    |59.8054289    |100           
   49781.25     0.0339703217  |40.1378131    |59.8282166         0.0327605211  |40.1140121    |59.8532274    |100           
    49837.5     0.0336651069  |40.0903762    |59.8759587         0.0324648458  |40.0665658    |59.9009694    |100           
   49893.75     0.0333626344  |40.0429931    |59.9236443         0.0321718391  |40.0191733    |59.9486549    |100           
    49950.0     0.0330628796  |39.9956636    |59.9712736         0.0318814769  |39.9718346    |59.9962839    |100           
   50006.25     0.0327658179  |39.9483877    |60.0188465         0.0315937353  |39.9245496    |60.0438567    |100           
    50062.5     0.0324714253  |39.9011653    |60.0663632         0.0313085906  |39.8773183    |60.0913732    |100           
   50118.75     0.0321796778  |39.8539965    |60.1138238         0.0310260195  |39.8301406    |60.1388334    |100           
    50175.0     0.0318905515  |39.8068812    |60.1612283         0.0307459987  |39.7830165    |60.1862375    |100           
   50231.25     0.0316040229  |39.7598193    |60.2085767         0.0304685052  |39.735946     |60.2335855    |100           
    50287.5     0.0313200688  |39.7128108    |60.2558691         0.0301935162  |39.688929     |60.2808775    |100           
   50343.75     0.0310386658  |39.6658557    |60.3031056         0.029921009   |39.6419654    |60.3281136    |100           
    50400.0     0.0307597913  |39.6189539    |60.3502863         0.0296509613  |39.5950553    |60.3752937    |100           
   50456.25     0.0304834223  |39.5721054    |60.3974112         0.0293833509  |39.5481986    |60.422418     |100           
    50512.5     0.0302095364  |39.5253102    |60.4444803         0.0291181557  |39.5013953    |60.4694866    |100           
   50568.75     0.0299381114  |39.4785681    |60.4914938         0.0288553541  |39.4546452    |60.5164994    |100           
    50625.0     0.029669125   |39.4318792    |60.5384517         0.0285949243  |39.4079485    |60.5634566    |100           
   50681.25     0.0294025554  |39.3852434    |60.585354          0.028336845   |39.3613049    |60.6103582    |100           
    50737.5     0.0291383809  |39.3386607    |60.6322009         0.0280810949  |39.3147145    |60.6572044    |100           
   50793.75     0.0288765799  |39.292131     |60.6789924         0.0278276531  |39.2681773    |60.703995     |100           
    50850.0     0.0286171311  |39.2456544    |60.7257285         0.0275764987  |39.2216932    |60.7507303    |100           
   50906.25     0.0283600134  |39.1992306    |60.7724093         0.027327611   |39.1752621    |60.7974103    |100           
    50962.5     0.0281052058  |39.1528598    |60.819035          0.0270809697  |39.1288841    |60.844035     |100           
   51018.75     0.0278526876  |39.1065419    |60.8656054         0.0268365543  |39.082559     |60.8906045    |100           
    51075.0     0.0276024383  |39.0602768    |60.9121208         0.0265943449  |39.0362868    |60.9371188    |100           
   51131.25     0.0273544373  |39.0140644    |60.9585811         0.0263543215  |38.9900676    |60.9835781    |100           
    51187.5     0.0271086646  |38.9679048    |61.0049865         0.0261164645  |38.9439011    |61.0299824    |100           
   51243.75     0.0268651001  |38.9217979    |61.051337          0.0258807541  |38.8977875    |61.0763317    |100           
    51300.0     0.0266237239  |38.8757437    |61.0976326         0.0256471712  |38.8517266    |61.1226262    |100           
   51356.25     0.0263845165  |38.829742     |61.1438734         0.0254156964  |38.8057185    |61.1688658    |100           
    51412.5     0.0261474583  |38.783793     |61.1900596         0.0251863107  |38.759763     |61.2150507    |100           
   51468.75     0.02591253    |38.7378964    |61.236191          0.0249589953  |38.7138601    |61.2611809    |100           
    51525.0     0.0256797124  |38.6920524    |61.2822679         0.0247337316  |38.6680098    |61.3072565    |100           
   51581.25     0.0254489867  |38.6462608    |61.3282903         0.0245105009  |38.6222121    |61.3532774    |100           
    51637.5     0.025220334   |38.6005215    |61.3742581         0.024289285   |38.5764668    |61.3992439    |100           
   51693.75     0.0249937356  |38.5548347    |61.4201716         0.0240700656  |38.530774     |61.445156     |100           
    51750.0     0.0247691732  |38.5092001    |61.4660307         0.0238528247  |38.4851336    |61.4910136    |100           
   51806.25     0.0245466284  |38.4636178    |61.5118356         0.0236375445  |38.4395455    |61.5368169    |100           
    51862.5     0.0243260832  |38.4180877    |61.5575862         0.0234242073  |38.3940098    |61.582566     |100           
   51918.75     0.0241075195  |38.3726098    |61.6032827         0.0232127956  |38.3485263    |61.6282609    |100           
    51975.0     0.0238909195  |38.327184     |61.6489251         0.0230032919  |38.3030951    |61.6739017    |100           
   52031.25     0.0236762656  |38.2818103    |61.6945134         0.022795679   |38.257716     |61.7194883    |100           
    52087.5     0.0234635403  |38.2364887    |61.7400478         0.0225899399  |38.2123891    |61.765021     |100           
   52143.75     0.0232527263  |38.191219     |61.7855282         0.0223860577  |38.1671142    |61.8104997    |100           
    52200.0     0.0230438065  |38.1460013    |61.8309549         0.0221840156  |38.1218914    |61.8559246    |100           
   52256.25     0.0228367637  |38.1008356    |61.8763277         0.021983797   |38.0767206    |61.9012956    |100           
    52312.5     0.0226315811  |38.0557216    |61.9216468         0.0217853855  |38.0316018    |61.9466128    |100           
   52368.75     0.0224282421  |38.0106595    |61.9669122         0.0215887647  |37.9865348    |61.9918764    |100           
    52425.0     0.02222673    |37.9656492    |62.0121241         0.0213939184  |37.9415198    |62.0370863    |100           
   52481.25     0.0220270284  |37.9206906    |62.0572824         0.0212008308  |37.8965565    |62.0822427    |100           
    52537.5     0.0218291211  |37.8757837    |62.1023872         0.0210094858  |37.851645     |62.1273455    |100           
   52593.75     0.021632992   |37.8309284    |62.1474386         0.0208198677  |37.8067852    |62.1723949    |100           
    52650.0     0.021438625   |37.7861247    |62.1924367         0.020631961   |37.7619771    |62.2173909    |100           
   52706.25     0.0212460044  |37.7413725    |62.2373815         0.0204457503  |37.7172207    |62.2623336    |100           
    52762.5     0.0210551144  |37.6966719    |62.282273          0.0202612202  |37.6725158    |62.307223     |100           
   52818.75     0.0208659395  |37.6520227    |62.3271114         0.0200783555  |37.6278625    |62.3520591    |100           
    52875.0     0.0206784643  |37.6074249    |62.3718966         0.0198971412  |37.5832607    |62.3968422    |100           
   52931.25     0.0204926735  |37.5628785    |62.4166288         0.0197175625  |37.5387103    |62.4415722    |100           
    52987.5     0.020308552   |37.5183834    |62.4613081         0.0195396045  |37.4942113    |62.4862491    |100           
   53043.75     0.0201260848  |37.4739396    |62.5059344         0.0193632526  |37.4497637    |62.5308731    |100           
    53100.0     0.019945257   |37.429547     |62.5505078         0.0191884924  |37.4053673    |62.5754442    |100           
   53156.25     0.0197660539  |37.3852055    |62.5950284         0.0190153095  |37.3610223    |62.6199624    |100           
    53212.5     0.0195884609  |37.3409152    |62.6394963         0.0188436896  |37.3167284    |62.6644279    |100           
   53268.75     0.0194124635  |37.296676     |62.6839115         0.0186736186  |37.2724858    |62.7088406    |100           
    53325.0     0.0192380474  |37.2524879    |62.7282741         0.0185050826  |37.2282942    |62.7532007    |100           
   53381.25     0.0190651984  |37.2083507    |62.7725841         0.0183380677  |37.1841537    |62.7975082    |100           
    53437.5     0.0188939024  |37.1642645    |62.8168416         0.0181725601  |37.1400643    |62.8417632    |100           
   53493.75     0.0187241455  |37.1202291    |62.8610467         0.0180085464  |37.0960258    |62.8859657    |100           
    53550.0     0.0185559138  |37.0762447    |62.9051994         0.0178460129  |37.0520382    |62.9301157    |100           
   53606.25     0.0183891936  |37.032311     |62.9492998         0.0176849463  |37.0081016    |62.9742135    |100           
    53662.5     0.0182239713  |36.9884281    |62.9933479         0.0175253334  |36.9642158    |63.0182589    |100           
   53718.75     0.0180602335  |36.9445959    |63.0373439         0.017367161   |36.9203807    |63.0622521    |100           
    53775.0     0.0178979669  |36.9008144    |63.0812877         0.0172104163  |36.8765964    |63.1061931    |100           
