Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 450.0 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 74.34382069592868 at t = 13950.0 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
-----------     --------------|--------------|--------------     --------------|--------------|--------------|--------------
          0     100           |0             |0                  100           |0             |0             |100           
      450.0     93.0342174    |6.93232897    |0.0334536166       92.7797169    |7.22028313    |0             |100           
      900.0     86.5536561    |13.3160757    |0.130268154        86.0807586    |13.8504952    |0.0687461387  |100           
     1350.0     80.5245166    |19.1900759    |0.285407533        79.8654841    |19.9338957    |0.200620201   |100           
     1800.0     74.9153538    |24.5904538    |0.494192376        74.0989701    |25.5106141    |0.390415854   |100           
     2250.0     69.6969132    |29.5508117    |0.752275105        68.7488146    |30.6178765    |0.633308852   |100           
     2700.0     64.8419777    |34.1024055    |1.05561677         63.7849556    |35.2902151    |0.924829385   |100           
     3150.0     60.3252265    |38.274308     |1.4004655          59.1795012    |39.5596624    |1.26083643    |100           
     3600.0     56.1231024    |42.0935611    |1.78333645         54.9065736    |43.4559324    |1.63749397    |100           
     4050.0     52.2136891    |45.5853177    |2.20099314         50.9421636    |47.0065876    |2.05124887    |100           
     4500.0     48.5765971    |48.7729728    |2.65043012         47.2639951    |50.2371944    |2.49881046    |100           
     4950.0     45.1928569    |51.6782863    |3.1288568          43.8514008    |53.1714677    |2.97713147    |100           
     5400.0     42.0448208    |54.3214968    |3.63368244         40.6852055    |55.831404     |3.48339044    |100           
     5850.0     39.11607      |56.7214278    |4.1625022          37.7476185    |58.2374062    |4.01497533    |100           
     6300.0     36.3913296    |58.8955863    |4.7130841          35.0221336    |60.408398     |4.56946838    |100           
     6750.0     33.8563887    |60.8602544    |5.28335694         32.4934364    |62.3619316    |5.14463199    |100           
     7200.0     31.4980262    |62.6305747    |5.87139909         30.1473183    |64.114286     |5.73839569    |100           
     7650.0     29.3039422    |64.2206298    |6.47542796         27.9705965    |65.6805595    |6.34884399    |100           
     8100.0     27.2626933    |65.6435164    |7.0937903          25.9510403    |67.0747545    |6.97420518    |100           
     8550.0     25.3636334    |66.9114135    |7.72495314         24.0773017    |68.3098575    |7.61284086    |100           
     9000.0     23.5968578    |68.0356468    |8.36749535         22.3388523    |69.3979114    |8.26323625    |100           
     9450.0     21.953152     |69.0267482    |9.02009983         20.725924     |70.3500848    |8.92399129    |100           
     9900.0     20.4239432    |69.8945107    |9.68154617         19.2294536    |71.1767342    |9.59381221    |100           
    10350.0     19.0012557    |70.6480404    |10.3507039         17.8410326    |71.8874636    |10.2715039    |100           
    10800.0     17.6776695    |71.2958042    |11.0265262         16.5528595    |72.4911779    |10.9559626    |100           
    11250.0     16.4462815    |71.8456745    |11.708044          15.3576962    |72.9961345    |11.6461694    |100           
    11700.0     15.3006693    |72.3049703    |12.3943604         14.248827     |73.409989     |12.341184     |100           
    12150.0     14.2348579    |72.6804961    |13.0846459         13.2200214    |73.7398396    |13.040139     |100           
    12600.0     13.2432887    |72.9785779    |13.7781334         12.2654984    |73.9922669    |13.7422347    |100           
    13050.0     12.32079      |73.2050962    |14.4741138         11.3798947    |74.1733716    |14.4467337    |100           
    13500.0     11.4625505    |73.3655174    |15.1719321         10.5582341    |74.2888088    |15.1529571    |100           
    13950.0     10.6640942    |73.4649224    |15.8709834         9.79589968    |74.3438207    |15.8602796    |100           
    14400.0     9.92125657    |73.5080338    |16.5707096         9.08860799    |74.3432661    |16.5681259    |100           
    14850.0     9.23016341    |73.4992408    |17.2705958         8.43238476    |74.2916483    |17.2759669    |100           
    15300.0     8.5872103     |73.4426222    |17.9701675         7.82354271    |74.1931408    |17.9833165    |100           
    15750.0     7.9890439     |73.3419685    |18.6689876         7.25866077    |74.0516111    |18.6897281    |100           
    16200.0     7.43254447    |73.2008018    |19.3666537         6.73456491    |73.8706429    |19.3947922    |100           
    16650.0     6.91480958    |73.0223944    |20.062796          6.24831026    |73.6535565    |20.0981332    |100           
    17100.0     6.43313898    |72.8097865    |20.7570745         5.79716457    |73.4034281    |20.7994073    |100           
    17550.0     5.9850205     |72.5658023    |21.4491772         5.37859287    |73.1231072    |21.4982999    |100           
    18000.0     5.56811699    |72.2930651    |22.1388179         4.99024324    |72.8152333    |22.1945235    |100           
    18450.0     5.18025406    |71.9940112    |22.8257347         4.62993355    |72.4822508    |22.8878157    |100           
    18900.0     4.81940883    |71.6709032    |23.5096879         4.29563924    |72.1264233    |23.5779375    |100           
    19350.0     4.48369929    |71.3258421    |24.1904586         3.98548192    |71.7498467    |24.2646714    |100           
    19800.0     4.17137454    |70.9607783    |24.8678472         3.69771884    |71.3544614    |24.9478198    |100           
    20250.0     3.88080566    |70.5775225    |25.5416719         3.43073307    |70.9420633    |25.6272036    |100           
    20700.0     3.61047718    |70.1777552    |26.2117676         3.18302443    |70.5143147    |26.3026609    |100           
    21150.0     3.35897919    |69.7630361    |26.8779847         2.95320106    |70.0727534    |26.9740455    |100           
    21600.0     3.125         |69.3348123    |27.5401877         2.73997158    |69.6188025    |27.6412259    |100           
    22050.0     2.90731929    |68.8944261    |28.1982546         2.54213787    |69.153778     |28.3040841    |100           
    22500.0     2.70480175    |68.4431227    |28.8520755         2.35858832    |68.678897     |28.9625147    |100           
    22950.0     2.51639114    |67.9820567    |29.5015521         2.18829157    |68.1952847    |29.6164238    |100           
    23400.0     2.34110481    |67.5122986    |30.1465966         2.03029072    |67.703981     |30.2657283    |100           
    23850.0     2.17802854    |67.0348405    |30.787131          1.88369798    |67.205947     |30.910355     |100           
    24300.0     2.0263118     |66.5506018    |31.4230864         1.74768965    |66.7020706    |31.5502398    |100           
    24750.0     1.88516333    |66.0604343    |32.0544023         1.62150151    |66.1931714    |32.185327     |100           
    25200.0     1.75384695    |65.5651268    |32.6810262         1.50442451    |65.6800065    |32.8155689    |100           
    25650.0     1.63167779    |65.0654096    |33.3029126         1.3958008     |65.1632743    |33.4409249    |100           
    26100.0     1.51801866    |64.5619586    |33.9200227         1.29502003    |64.6436191    |34.0613609    |100           
    26550.0     1.41227678    |64.0553991    |34.5323241         1.20151592    |64.121635     |34.6768491    |100           
    27000.0     1.31390065    |63.5463094    |35.13979           1.11476307    |63.5978696    |35.2873674    |100           
    27450.0     1.22237719    |63.0352241    |35.7423987         1.03427402    |63.0728273    |35.8928987    |100           
    27900.0     1.13722905    |62.5226372    |36.3401338         0.959596506   |62.5469725    |36.493431     |100           
    28350.0     1.05801215    |62.0090048    |36.932983          0.890310921   |62.0207325    |37.0889566    |100           
    28800.0     0.98431332    |61.4947481    |37.5209386         0.826027952   |61.4945004    |37.6794716    |100           
    29250.0     0.915748194   |60.9802555    |38.1039963         0.766386395   |60.9686373    |38.2649763    |100           
    29700.0     0.851959166   |60.465885     |38.6821558         0.711051128   |60.4434748    |38.8454741    |100           
    30150.0     0.792613543   |59.9519668    |39.2554197         0.659711223   |59.9193171    |39.4209716    |100           
    30600.0     0.737401807   |59.4388044    |39.8237938         0.612078205   |59.3964432    |39.9914786    |100           
    31050.0     0.686036      |58.9266773    |40.3872867         0.567884426   |58.8751084    |40.5570071    |100           
    31500.0     0.638248224   |58.4158423    |40.9459095         0.526881562   |58.3555465    |41.1175719    |100           
    31950.0     0.59378924    |57.9065352    |41.4996755         0.488839222   |57.837971     |41.6731898    |100           
    32400.0     0.552427173   |57.3989723    |42.0486005         0.453543646   |57.3225766    |42.2238797    |100           
    32850.0     0.513946297   |56.8933518    |42.5927019         0.42079651    |56.809541     |42.7696624    |100           
    33300.0     0.478145915   |56.3898549    |43.1319992         0.390413811   |56.2990258    |43.3105604    |100           
    33750.0     0.44483931    |55.8886474    |43.6665133         0.362224828   |55.7911775    |43.8465977    |100           
    34200.0     0.413852771   |55.3898805    |44.1962668         0.33607117    |55.2861293    |44.3777996    |100           
    34650.0     0.385024687   |54.8936918    |44.7212835         0.31180588    |54.7840014    |44.9041927    |100           
    35100.0     0.358204704   |54.4002066    |45.2415887         0.289292613   |54.2849023    |45.4258051    |100           
    35550.0     0.333252943   |53.9095384    |45.7572087         0.268404867   |53.7889298    |45.9426653    |100           
    36000.0     0.310039268   |53.4217901    |46.2681707         0.249025276   |53.2961714    |46.4548033    |100           
    36450.0     0.288442607   |52.9370545    |46.7745029         0.231044946   |52.8067055    |46.9622496    |100           
    36900.0     0.268350322   |52.4554151    |47.2762346         0.214362847   |52.3206016    |47.4650356    |100           
    37350.0     0.249657622   |51.9769469    |47.7733955         0.198885242   |51.8379215    |47.9631932    |100           
    37800.0     0.232267015   |51.5017168    |48.2660162         0.184525165   |51.3587197    |48.4567552    |100           
    38250.0     0.216087799   |51.0297845    |48.7541277         0.171201925   |50.8830436    |48.9457545    |100           
    38700.0     0.201035593   |50.5612027    |49.2377617         0.158840661   |50.4109345    |49.4302248    |100           
    39150.0     0.187031891   |50.0960177    |49.7169504         0.147371916   |49.942428     |49.9102001    |100           
    39600.0     0.174003656   |49.6342701    |50.1917263         0.136731246   |49.4775542    |50.3857145    |100           
    40050.0     0.16188294    |49.1759948    |50.6621223         0.126858863   |49.0163383    |50.8568028    |100           
    40500.0     0.150606526   |48.7212219    |51.1281715         0.117699294   |48.558801     |51.3234997    |100           
    40950.0     0.140115603   |48.2699768    |51.5899076         0.109201072   |48.1049586    |51.7858403    |100           
    41400.0     0.130355455   |47.8222805    |52.0473641         0.101316445   |47.6548238    |52.2438598    |100           
    41850.0     0.121275177   |47.3781499    |52.5005749         0.0940011111  |47.2084055    |52.6975934    |100           
    42300.0     0.112827412   |46.9375985    |52.9495741         0.0872139647  |46.7657095    |53.1470766    |100           
    42750.0     0.1049681     |46.5006362    |53.3943957         0.0809168696  |46.3267384    |53.5923447    |100           
    43200.0     0.09765625    |46.0672697    |53.8350741         0.0750744425  |45.8914923    |54.0334333    |100           
    43650.0     0.0908537279  |45.6375029    |54.2716434         0.0696538552  |45.4599684    |54.4703777    |100           
    44100.0     0.0845250548  |45.2113371    |54.7041379         0.0646246496  |45.0321618    |54.9032136    |100           
    44550.0     0.0786372232  |44.7887709    |55.1325919         0.0599585669  |44.6080653    |55.3319762    |100           
    45000.0     0.0731595252  |44.3698008    |55.5570397         0.0556293886  |44.1876698    |55.7567008    |100           
