Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 450.0 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 74.34382069592868 at t = 13950.0 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
    45450.0     0.0680633918  |43.9544211    |55.9775155         0.0516127893  |43.7709644    |56.1774228    |100           
    45900.0     0.0633222439  |43.5426244    |56.3940534         0.0478861998  |43.3579366    |56.5941772    |100           
    46350.0     0.058911354   |43.1344012    |56.8066874         0.0444286806  |42.9485723    |57.006999     |100           
    46800.0     0.0548077172  |42.7297406    |57.2154517         0.041220804   |42.542856     |57.4159232    |100           
    47250.0     0.0509899308  |42.3286301    |57.62038           0.0382445453  |42.1407709    |57.8209845    |100           
    47700.0     0.0474380831  |41.9310558    |58.0215061         0.0354831808  |41.7422994    |58.2222174    |100           
    48150.0     0.0441336493  |41.5370028    |58.4188635         0.0329211947  |41.3474224    |58.6196564    |100           
    48600.0     0.0410593953  |41.1464548    |58.8124858         0.0305441912  |40.9561202    |59.0133356    |100           
    49050.0     0.0381992871  |40.7593946    |59.2024062         0.0283388141  |40.568372     |59.4032892    |100           
    49500.0     0.0355384078  |40.3758038    |59.5886578         0.0262926715  |40.1841564    |59.7895509    |100           
    49950.0     0.0330628796  |39.9956636    |59.9712736         0.0243942662  |39.8034513    |60.1721544    |100           
    50400.0     0.0307597913  |39.6189539    |60.3502863         0.0226329311  |39.4262339    |60.5511331    |100           
    50850.0     0.0286171311  |39.2456544    |60.7257285         0.0209987694  |39.052481     |60.9265203    |100           
    51300.0     0.0266237239  |38.8757437    |61.0976326         0.0194825988  |38.6821686    |61.2983488    |100           
    51750.0     0.0247691732  |38.5092001    |61.4660307         0.0180759     |38.3152726    |61.6666515    |100           
    52200.0     0.0230438065  |38.1460013    |61.8309549         0.0167707688  |37.9517684    |62.0314609    |100           
    52650.0     0.021438625   |37.7861247    |62.1924367         0.0155598719  |37.5916309    |62.3928092    |100           
    53100.0     0.019945257   |37.429547     |62.5505078         0.0144364051  |37.2348349    |62.7507286    |100           
    53550.0     0.0185559138  |37.0762447    |62.9051994         0.0133940557  |36.881355     |63.1052509    |100           
    54000.0     0.0172633492  |36.726194     |63.2565427         0.012426967   |36.5311654    |63.4564076    |100           
    54450.0     0.0160608218  |36.3793708    |63.6045684         0.0115297048  |36.1842402    |63.8042301    |100           
    54900.0     0.0149420599  |36.0357507    |63.9493072         0.0106972275  |35.8405534    |64.1487493    |100           
    55350.0     0.0139012285  |35.6953093    |64.2907895         0.00992485735 |35.5000788    |64.4899963    |100           
    55800.0     0.0129328991  |35.3580218    |64.6290453         0.00920825455 |35.1627902    |64.8280015    |100           
    56250.0     0.0120320215  |35.0238633    |64.9641047         0.0085433925  |34.8286613    |65.1627953    |100           
    56700.0     0.011193897   |34.6928089    |65.2959973         0.00792653537 |34.4976657    |65.4944078    |100           
    57150.0     0.0104141545  |34.3648334    |65.6247524         0.00735421707 |34.169777     |65.8228688    |100           
    57600.0     0.00968872712 |34.0399118    |65.9503995         0.00682322178 |33.8449689    |66.1482079    |100           
    58050.0     0.00901383146 |33.7180189    |66.2729672         0.00633056585 |33.5232151    |66.4704543    |100           
    58500.0     0.00838594756 |33.3991295    |66.5924845         0.00587348107 |33.2044892    |66.7896373    |100           
    58950.0     0.00780180068 |33.0832184    |66.9089798         0.00544939911 |32.8887649    |67.1057857    |100           
    59400.0     0.00725834421 |32.7702604    |67.2224813         0.00505593706 |32.5760162    |67.4189279    |100           
    59850.0     0.00675274373 |32.4602303    |67.5330169         0.00469088409 |32.2662167    |67.7290924    |100           
    60300.0     0.00628236228 |32.1531031    |67.8406146         0.00435218898 |31.9593406    |68.0363072    |100           
    60750.0     0.00584474659 |31.8488536    |68.1453017         0.00403794861 |31.6553619    |68.3406001    |100           
    61200.0     0.00543761425 |31.5474568    |68.4471056         0.00374639729 |31.3542548    |68.6419988    |100           
    61650.0     0.00505884186 |31.2488879    |68.7460533         0.0034758968  |31.0559935    |68.9405306    |100           
    62100.0     0.00470645393 |30.953122     |69.0421716         0.00322492721 |30.7605525    |69.2362225    |100           
    62550.0     0.00437861259 |30.6601343    |69.3354871         0.00299207833 |30.4679064    |69.5291015    |100           
    63000.0     0.00407360795 |30.3699003    |69.6260261         0.00277604181 |30.1780298    |69.8191942    |100           
    63450.0     0.00378984928 |30.0823955    |69.9138147         0.00257560373 |29.8908976    |70.1065268    |100           
    63900.0     0.00352585662 |29.7975953    |70.1988788         0.00238963785 |29.6064848    |70.3911256    |100           
    64350.0     0.00328025311 |29.5154757    |70.4812441         0.00221709923 |29.3247665    |70.6730164    |100           
    64800.0     0.00305175781 |29.2360124    |70.7609358         0.00205701839 |29.0457181    |70.9522249    |100           
    65250.0     0.002839179   |28.9591815    |71.0379793         0.00190849583 |28.769315     |71.2287765    |100           
    65700.0     0.00264140796 |28.6849591    |71.3123995         0.00177069703 |28.4955329    |71.5026964    |100           
    66150.0     0.00245741323 |28.4133216    |71.584221          0.00164284769 |28.2243476    |71.7740096    |100           
    66600.0     0.00228623516 |28.1442453    |71.8534684         0.00152422944 |27.955735     |72.0427407    |100           
    67050.0     0.00212698099 |27.877707     |72.120166          0.00141417576 |27.6896715    |72.3089144    |100           
    67500.0     0.00197882012 |27.6136834    |72.3843378         0.00131206826 |27.4261332    |72.5725547    |100           
    67950.0     0.00184097981 |27.3521514    |72.6460076         0.00121733322 |27.1650968    |72.8336858    |100           
    68400.0     0.00171274116 |27.0930882    |72.9051991         0.00112943831 |26.906539     |73.0923316    |100           
    68850.0     0.00159343534 |26.8364709    |73.1619356         0.00104788967 |26.6504366    |73.3485155    |100           
    69300.0     0.0014824401  |26.5822771    |73.4162404         0.000972229069|26.3967667    |73.6022611    |100           
    69750.0     0.00137917654 |26.3304844    |73.6681364         0.000902031378|26.1455066    |73.8535914    |100           
    70200.0     0.0012831061  |26.0810706    |73.9176463         0.000836902159|25.8966338    |74.1025293    |100           
    70650.0     0.00119372772 |25.8340135    |74.1647928         0.000776475453|25.6501258    |74.3490977    |100           
    71100.0     0.00111057524 |25.5892913    |74.4095981         0.000720411727|25.4059606    |74.593319     |100           
    71550.0     0.00103321499 |25.3468824    |74.6520843         0.000668395961|25.164116     |74.8352156    |100           
    72000.0     0.000961243477|25.1067653    |74.8922735         0.00062013588 |24.9245704    |75.0748095    |100           
    72450.0     0.000894285346|24.8689185    |75.1301872         0.000575360314|24.687302     |75.3121226    |100           
    72900.0     0.000831991373|24.6333209    |75.3658471         0.00053381767 |24.4522895    |75.5471767    |100           
    73350.0     0.000774036663|24.3999515    |75.5992745         0.000495274523|24.2195116    |75.7799931    |100           
    73800.0     0.000720118952|24.1687895    |75.8304903         0.0004595143  |23.9889473    |76.0105932    |100           
    74250.0     0.000669957031|23.9398144    |76.0595157         0.000426336066|23.7605757    |76.238998     |100           
    74700.0     0.000623289281|23.7130055    |76.2863712         0.000395553395|23.534376     |76.4652284    |100           
    75150.0     0.000579872305|23.4883426    |76.5110775         0.00036699332 |23.3103278    |76.6893052    |100           
    75600.0     0.000539479661|23.2658056    |76.7336549         0.000340495363|23.0884108    |76.9112487    |100           
    76050.0     0.000501900681|23.0453747    |76.9541234         0.000315910634|22.8686048    |77.1310793    |100           
    76500.0     0.00046693937 |22.8270299    |77.1725032         0.000293100992|22.6508899    |77.348817     |100           
    76950.0     0.000434413389|22.6107518    |77.3888138         0.00027193827 |22.4352462    |77.5644819    |100           
    77400.0     0.000404153097|22.3965208    |77.603075          0.000252303557|22.2216542    |77.7780935    |100           
    77850.0     0.000376000671|22.1843179    |77.8153061         0.000234086526|22.0100944    |77.9896715    |100           
    78300.0     0.000349809282|21.9741238    |78.0255264         0.000217184816|21.8005476    |78.1992352    |100           
    78750.0     0.000325442328|21.7659198    |78.2337548         0.000201503458|21.5929948    |78.4068037    |100           
    79200.0     0.000302772723|21.559687     |78.4400103         0.000186954337|21.387417     |78.612396     |100           
    79650.0     0.000281682233|21.3554069    |78.6443114         0.000173455705|21.1837955    |78.816031     |100           
    80100.0     0.000262060861|21.1530611    |78.8466768         0.000160931712|20.9821118    |79.0177273    |100           
    80550.0     0.000243806271|20.9526314    |79.0471248         0.000149311987|20.7823474    |79.2175033    |100           
    81000.0     0.000226823256|20.7540997    |79.2456734         0.000138531239|20.5844842    |79.4153773    |100           
    81450.0     0.000211023242|20.5574482    |79.4423408         0.000128528891|20.3885041    |79.6113673    |100           
    81900.0     0.000196323821|20.362659     |79.6371447         0.000119248741|20.1943893    |79.8054914    |100           
    82350.0     0.000182648331|20.1697147    |79.8301027         0.000110638644|20.002122     |79.9977673    |100           
    82800.0     0.000169925445|19.9785977    |80.0212324         0.000102650221|19.8116848    |80.1882126    |100           
    83250.0     0.000158088808|19.7892909    |80.210551          9.52385843E-05|19.6230601    |80.3768446    |100           
    83700.0     0.000147076685|19.6017772    |80.3980757         8.83620889E-05|19.4362309    |80.5636807    |100           
    84150.0     0.000136831643|19.4160396    |80.5838236         8.19820959E-05|19.25118      |80.748738     |100           
    84600.0     0.000127300249|19.2320614    |80.7678113         7.60627565E-05|19.0678906    |80.9320333    |100           
    85050.0     0.00011843279 |19.0498259    |80.9500557         7.05708101E-05|18.8863459    |81.1135835    |100           
    85500.0     0.000110183019|18.8693166    |81.1305732         6.54753978E-05|18.7065293    |81.2934052    |100           
    85950.0     0.00010250791 |18.6905173    |81.3093802         6.07478887E-05|18.5284245    |81.4715148    |100           
    86400.0     9.53674316E-05|18.5134118    |81.4864929         5.63617191E-05|18.352015     |81.6479286    |100           
    86850.0     8.87243437E-05|18.337984     |81.6619273         5.22922434E-05|18.1772849    |81.8226628    |100           
    87300.0     8.25439988E-05|18.1642182    |81.8356993         4.85165954E-05|18.0042182    |81.9957333    |100           
    87750.0     7.67941633E-05|17.9920985    |82.0078247         4.50135598E-05|17.832799     |82.167156     |100           
    88200.0     7.14448489E-05|17.8216095    |82.1783191         4.17634534E-05|17.6630117    |82.3369466    |100           
    88650.0     6.6468156E-05 |17.6527356    |82.3471979         3.87480138E-05|17.4948407    |82.5051206    |100           
    89100.0     6.18381288E-05|17.4854617    |82.5144765         3.59502975E-05|17.3282707    |82.6716934    |100           
    89550.0     5.75306192E-05|17.3197725    |82.6801699         3.33545842E-05|17.1632864    |82.8366802    |100           
    90000.0     5.35231613E-05|17.1556532    |82.8442933         3.09462888E-05|16.9998729    |83.0000962    |100           
    90450.0     4.97948543E-05|16.9930887    |83.0068615         2.87118791E-05|16.838015     |83.1619563    |100           
    90900.0     4.6326253E-05 |16.8320645    |83.1678892         2.66388002E-05|16.6776981    |83.3222753    |100           
    91350.0     4.30992669E-05|16.6725659    |83.327391          2.47154034E-05|16.5189074    |83.4810678    |100           
    91800.0     4.00970657E-05|16.5145785    |83.4853814         2.29308813E-05|16.3616285    |83.6383485    |100           
    92250.0     3.73039913E-05|16.358088     |83.6418747         2.12752067E-05|16.205847     |83.7941317    |100           
    92700.0     3.47054764E-05|16.2030802    |83.7968851         1.97390766E-05|16.0515486    |83.9484317    |100           
    93150.0     3.22879683E-05|16.0495411    |83.9504266         1.83138593E-05|15.8987192    |84.1012625    |100           
    93600.0     3.00388586E-05|15.8974568    |84.1025131         1.69915469E-05|15.7473448    |84.2526383    |100           
    94050.0     2.79464171E-05|15.7468135    |84.2531586         1.57647091E-05|15.5974115    |84.4025727    |100           
    94500.0     2.59997304E-05|15.5975975    |84.4023765         1.46264524E-05|15.4489058    |84.5510796    |100           
    94950.0     2.41886457E-05|15.4497954    |84.5501804         1.35703812E-05|15.3018139    |84.6981725    |100           
    95400.0     2.25037172E-05|15.3033938    |84.6965837         1.25905612E-05|15.1561225    |84.843865     |100           
    95850.0     2.09361572E-05|15.1583793    |84.8415997         1.1681487E-05 |15.0118181    |84.9881702    |100           
    96300.0     1.947779E-05  |15.0147389    |84.9852416         1.08380506E-05|14.8688876    |85.1311015    |100           
    96750.0     1.81210095E-05|14.8724596    |85.1275223         1.00555127E-05|14.727318     |85.272672     |100           
    97200.0     1.68587394E-05|14.7315284    |85.2684547         9.32947618E-06|14.5870962    |85.4128945    |100           
    97650.0     1.56843963E-05|14.5919326    |85.4080517         8.65586159E-06|14.4482094    |85.5517819    |100           
    98100.0     1.45918553E-05|14.4536595    |85.5463259         8.03088387E-06|14.310645     |85.689347     |100           
    98550.0     1.35754184E-05|14.3166967    |85.6832898         7.45103132E-06|14.1743903    |85.8256022    |100           
    99000.0     1.26297843E-05|14.1810316    |85.8189558         6.91304576E-06|14.0394329    |85.9605602    |100           
    99450.0     1.1750021E-05 |14.046652     |85.9533362         6.41390429E-06|13.9057604    |86.0942332    |100           
    99900.0     1.09315401E-05|13.9135458    |86.0864433         5.95080224E-06|13.7733606    |86.2266334    |100           
   100350.0     1.01700727E-05|13.7817009    |86.218289          5.52113747E-06|13.6422214    |86.3577731    |100           
   100800.0     9.46164758E-06|13.6511052    |86.3488853         5.12249571E-06|13.5123308    |86.4876641    |100           
   101250.0     8.80256978E-06|13.5217471    |86.4782441         4.75263702E-06|13.3836768    |86.6163184    |100           
   101700.0     8.18940191E-06|13.3936147    |86.6063772         4.40948317E-06|13.2562478    |86.7437478    |100           
   102150.0     7.61894598E-06|13.2666964    |86.733296          4.091106E-06  |13.1300321    |86.8699639    |100           
   102600.0     7.08822677E-06|13.1409808    |86.8590121         3.79571656E-06|13.005018     |86.9949782    |100           
   103050.0     6.5944763E-06 |13.0164565    |86.9835369         3.52165508E-06|12.8811942    |87.1188023    |100           
   103500.0     6.13511942E-06|12.8931121    |87.1068818         3.26738161E-06|12.7585494    |87.2414474    |100           
   103950.0     5.70776034E-06|12.7709365    |87.2290578         3.03146741E-06|12.6370722    |87.3629247    |100           
   104400.0     5.31017016E-06|12.6499186    |87.3500761         2.81258688E-06|12.5167517    |87.4832455    |100           
   104850.0     4.94027525E-06|12.5300475    |87.4699476         2.60951014E-06|12.3975767    |87.6024206    |100           
   105300.0     4.59614642E-06|12.4113122    |87.5886832         2.42109612E-06|12.2795365    |87.7204611    |100           
   105750.0     4.27598885E-06|12.2937021    |87.7062936         2.24628613E-06|12.1626201    |87.8373777    |100           
   106200.0     3.97813277E-06|12.1772064    |87.8227896         2.08409791E-06|12.0468169    |87.953181     |100           
   106650.0     3.70102469E-06|12.0618147    |87.9381816         1.93362014E-06|11.9321162    |88.0678818    |100           
   107100.0     3.44321935E-06|11.9475163    |88.0524802         1.79400729E-06|11.8185077    |88.1814905    |100           
   107550.0     3.20337218E-06|11.8343011    |88.1656957         1.66447488E-06|11.7059808    |88.2940175    |100           
   108000.0     2.98023224E-06|11.7221586    |88.2778384         1.54429509E-06|11.5945253    |88.4054731    |100           
   108450.0     2.77263574E-06|11.6110789    |88.3889184         1.43279261E-06|11.484131     |88.5158675    |100           
   108900.0     2.57949996E-06|11.5010517    |88.4989457         1.32934092E-06|11.3747878    |88.6252108    |100           
   109350.0     2.3998176E-06 |11.3920671    |88.6079305         1.23335875E-06|11.2664857    |88.7335131    |100           
   109800.0     2.23265153E-06|11.2841153    |88.7158825         1.14430675E-06|11.1592147    |88.8407841    |100           
   110250.0     2.07712988E-06|11.1771864    |88.8228116         1.06168457E-06|11.0529651    |88.9470338    |100           
   110700.0     1.93244152E-06|11.0712707    |88.9287274         9.85027934E-07|10.9477271    |89.0522719    |100           
   111150.0     1.79783185E-06|10.9663587    |89.0336395         9.13906128E-07|10.8434911    |89.156508     |100           
   111600.0     1.67259879E-06|10.8624409    |89.1375575         8.47919518E-07|10.7402476    |89.2597516    |100           
   112050.0     1.5560892E-06 |10.7595078    |89.2404907         7.86697328E-07|10.637987     |89.3620122    |100           
   112500.0     1.44769541E-06|10.65755      |89.3424485         7.29895554E-07|10.5367001    |89.4632991    |100           
   112950.0     1.34685209E-06|10.5565584    |89.4434402         6.77195028E-07|10.4363776    |89.5636217    |100           
   113400.0     1.2530333E-06 |10.4565239    |89.5434749         6.2829963E-07 |10.3370103    |89.6629891    |100           
   113850.0     1.16574973E-06|10.3574372    |89.6425616         5.82934617E-07|10.238589     |89.7614104    |100           
   114300.0     1.08454614E-06|10.2592895    |89.7407094         5.40845088E-07|10.1411049    |89.8588946    |100           
   114750.0     1.00899901E-06|10.1620718    |89.8379271         5.01794541E-07|10.0445489    |89.9554506    |100           
   115200.0     9.38714333E-07|10.0657754    |89.9342236         4.65563554E-07|9.94891224    |90.0510873    |100           
   115650.0     8.73325533E-07|9.97039151    |90.0296076         4.31948548E-07|9.85418617    |90.1458134    |100           
   116100.0     8.12491575E-07|9.87591145    |90.1240877         4.00760639E-07|9.760362      |90.2396376    |100           
   116550.0     7.55895179E-07|9.78232669    |90.2176726         3.71824587E-07|9.66743116    |90.3325685    |100           
   117000.0     7.03241164E-07|9.68962874    |90.3103706         3.44977799E-07|9.57538514    |90.4246145    |100           
   117450.0     6.54254913E-07|9.5978092     |90.4021901         3.20069425E-07|9.4842155     |90.5157842    |100           
