Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 1800.0 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 77.17500776510877 at t = 12600.0 s

    Time                          Analytical                                             Numerical                         
    (s)              N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
------------     --------------|--------------|--------------     --------------|--------------|--------------|--------------
           0     100           |0             |0                  100           |0             |0             |100           
      1800.0     74.9153538    |24.5904538    |0.494192376        71.1188675    |28.8811325    |0             |100           
      3600.0     56.1231024    |42.0935611    |1.78333645         50.5789331    |48.3211287    |1.09993822    |100           
      5400.0     42.0448208    |54.3214968    |3.63368244         35.9711644    |61.0885867    |2.94024888    |100           
      7200.0     31.4980262    |62.6305747    |5.87139909         25.5822847    |69.1509069    |5.26680831    |100           
      9000.0     23.5968578    |68.0356468    |8.36749535         18.1938312    |73.9057475    |7.90042129    |100           
     10800.0     17.6776695    |71.2958042    |11.0265262         12.9392467    |76.3456309    |10.7151224    |100           
     12600.0     13.2432887    |72.9785779    |13.7781334         9.20224571    |77.1750078    |13.6227465    |100           
     14400.0     9.92125657    |73.5080338    |16.5707096         6.54453293    |76.8935096    |16.5619575    |100           
     16200.0     7.43254447    |73.2008018    |19.3666537         4.6543977     |75.8551548    |19.4904475    |100           
     18000.0     5.56811699    |72.2930651    |22.1388179         3.31015493    |74.3104532    |22.3793919    |100           
     19800.0     4.17137454    |70.9607783    |24.8678472         2.3541447     |72.4363491    |25.2095062    |100           
     21600.0     3.125         |69.3348123    |27.5401877         1.67424105    |70.3575137    |27.9682453    |100           
     23400.0     2.34110481    |67.5122986    |30.1465966         1.19070127    |68.1614868    |30.6478119    |100           
     25200.0     1.75384695    |65.5651268    |32.6810262         0.84681326    |65.9094439    |33.2437428    |100           
     27000.0     1.31390065    |63.5463094    |35.13979           0.602244      |63.6438514    |35.7539046    |100           
     28800.0     0.98431332    |61.4947481    |37.5209386         0.428309113   |61.3939096    |38.1777813    |100           
     30600.0     0.737401807   |59.4388044    |39.8237938         0.30460859    |59.1794224    |40.515969     |100           
     32400.0     0.552427173   |57.3989723    |42.0486005         0.21663418    |57.0135479    |42.7698179    |100           
     34200.0     0.413852771   |55.3898805    |44.1962668         0.154067775   |54.9047528    |44.9411794    |100           
     36000.0     0.310039268   |53.4217901    |46.2681707         0.109571257   |52.8582013    |47.0322275    |100           
     37800.0     0.232267015   |51.5017168    |48.2660162         0.0779258369  |50.8767416    |49.0453326    |100           
     39600.0     0.174003656   |49.6342701    |50.1917263         0.0554199727  |48.9616062    |50.9829738    |100           
     41400.0     0.130355455   |47.8222805    |52.0473641         0.0394140569  |47.1129089    |52.8476771    |100           
     43200.0     0.09765625    |46.0672697    |53.8350741         0.0280308309  |45.3299965    |54.6419727    |100           
     45000.0     0.0731595252  |44.3698008    |55.5570397         0.0199352095  |43.6116988    |56.368366     |100           
     46800.0     0.0548077172  |42.7297406    |57.2154517         0.0141776952  |41.9565043    |58.029318     |100           
     48600.0     0.0410593953  |41.1464548    |58.8124858         0.0100830163  |40.3626851    |59.6272319    |100           
     50400.0     0.0307597913  |39.6189539    |60.3502863         0.00717092698 |38.8283839    |61.1644452    |100           
     52200.0     0.0230438065  |38.1460013    |61.8309549         0.00509988206 |37.3516756    |62.6432245    |100           
     54000.0     0.0172633492  |36.726194     |63.2565427         0.00362697836 |35.9306095    |64.0657635    |100           
     55800.0     0.0129328991  |35.3580218    |64.6290453         0.00257946593 |34.5632394    |65.4341811    |100           
     57600.0     0.00968872712 |34.0399118    |65.9503995         0.00183448696 |33.2476431    |66.7505224    |100           
     59400.0     0.00725834421 |32.7702604    |67.2224813         0.00130466635 |31.9819361    |68.0167592    |100           
     61200.0     0.00543761425 |31.5474568    |68.4471056         0.000927863932|30.7642806    |69.2347916    |100           
     63000.0     0.00407360795 |30.3699003    |69.6260261         0.00065988632 |29.5928906    |70.4064495    |100           
     64800.0     0.00305175781 |29.2360124    |70.7609358         0.000469303678|28.4660357    |71.533495     |100           
     66600.0     0.00228623516 |28.1442453    |71.8534684         0.00033376346 |27.3820419    |72.6176243    |100           
     68400.0     0.00171274116 |27.0930882    |72.9051991         0.000237368793|26.339293     |73.6604696    |100           
     70200.0     0.0012831061  |26.0810706    |73.9176463         0.000168813997|25.3362293    |74.6636019    |100           
     72000.0     0.000961243477|25.1067653    |74.8922735         0.000120058603|24.3713475    |75.6285324    |100           
     73800.0     0.000720118952|24.1687895    |75.8304903         8.53843188E-05|23.4431992    |76.5567154    |100           
     75600.0     0.000539479661|23.2658056    |76.7336549         6.07243606E-05|22.5503894    |77.4495499    |100           
     77400.0     0.000404153097|22.3965208    |77.603075          4.31864775E-05|21.6915751    |78.3083817    |100           
     79200.0     0.000302772723|21.559687     |78.4400103         3.07137337E-05|20.8654637    |79.1345056    |100           
     81000.0     0.000226823256|20.7540997    |79.2456734         2.18432596E-05|20.0708112    |79.9291669    |100           
     82800.0     0.000169925445|19.9785977    |80.0212324         1.55346788E-05|19.3064205    |80.693564     |100           
     84600.0     0.000127300249|19.2320614    |80.7678113         1.10480876E-05|18.5711397    |81.4288492    |100           
     86400.0     9.53674316E-05|18.5134118    |81.4864929         7.85727481E-06|17.8638609    |82.1361312    |100           
     88200.0     7.14448489E-05|17.8216095    |82.1783191         5.58800486E-06|17.1835178    |82.8164766    |100           
     90000.0     5.35231613E-05|17.1556532    |82.8442933         3.97412577E-06|16.529085     |83.470911     |100           
     91800.0     4.00970657E-05|16.5145785    |83.4853814         2.82635324E-06|15.8995758    |84.1004214    |100           
     93600.0     3.00388586E-05|15.8974568    |84.1025131         2.01007042E-06|15.2940411    |84.7059569    |100           
     95400.0     2.25037172E-05|15.3033938    |84.6965837         1.42953932E-06|14.711568     |85.2884306    |100           
     97200.0     1.68587394E-05|14.7315284    |85.2684547         1.01667217E-06|14.1512782    |85.8487208    |100           
     99000.0     1.26297843E-05|14.1810316    |85.8189558         7.23045734E-07|13.6123269    |86.3876724    |100           
    100800.0     9.46164758E-06|13.6511052    |86.3488853         5.14221938E-07|13.0939015    |86.906098     |100           
    102600.0     7.08822677E-06|13.1409808    |86.8590121         3.65708818E-07|12.5952203    |87.4047793    |100           
    104400.0     5.31017016E-06|12.6499186    |87.3500761         2.6008797E-07 |12.1155313    |87.8844684    |100           
    106200.0     3.97813277E-06|12.1772064    |87.8227896         1.84971619E-07|11.6541112    |88.3458886    |100           
    108000.0     2.98023224E-06|11.7221586    |88.2778384         1.3154972E-07 |11.2102644    |88.7897355    |100           
    109800.0     2.23265153E-06|11.2841153    |88.7158825         9.35566712E-08|10.7833214    |89.2166785    |100           
    111600.0     1.67259879E-06|10.8624409    |89.1375575         6.6536445E-08 |10.3726385    |89.6273614    |100           
    113400.0     1.2530333E-06 |10.4565239    |89.5434749         4.73199662E-08|9.97759647    |90.0224035    |100           
    115200.0     9.38714333E-07|10.0657754    |89.9342236         3.3653424E-08 |9.59759963    |90.4024003    |100           
    117000.0     7.03241164E-07|9.68962874    |90.3103706         2.3933934E-08 |9.23207496    |90.767925     |100           
    118800.0     5.26835606E-07|9.32753819    |90.6724613         1.70215428E-08|8.8804713     |91.1195287    |100           
    120600.0     3.94680759E-07|8.97897851    |91.0210211         1.21055285E-08|8.54225847    |91.4577415    |100           
    122400.0     2.95676487E-07|8.6434441     |91.3565556         8.60931476E-09|8.21692647    |91.7830735    |100           
    124200.0     2.21507086E-07|8.32044821    |91.6795516         6.12284716E-09|7.90398475    |92.0960152    |100           
    126000.0     1.65942818E-07|8.0095223     |91.9904775         4.35449956E-09|7.60296141    |92.3970386    |100           
    127800.0     1.24316649E-07|7.71021534    |92.2897845         3.09687077E-09|7.31340255    |92.6865974    |100           
    129600.0     9.31322575E-08|7.42209314    |92.5779068         2.20245942E-09|7.03487154    |92.9651285    |100           
    131400.0     6.97703602E-08|7.14473773    |92.8552622         1.56636419E-09|6.76694839    |93.2330516    |100           
    133200.0     5.22687122E-08|6.87774679    |93.1222532         1.11398048E-09|6.5092291     |93.4907709    |100           
    135000.0     3.91572907E-08|6.620733      |93.379267          7.92250298E-10|6.26132504    |93.738675     |100           
    136800.0     2.93348229E-08|6.37332353    |93.6266764         5.6343944E-10 |6.02286242    |93.9771376    |100           
    138600.0     2.19762864E-08|6.13515947    |93.8648405         4.00711748E-10|5.79348164    |94.2065184    |100           
    140400.0     1.64636127E-08|5.90589534    |94.0941046         2.84981657E-10|5.57283684    |94.4271632    |100           
    142200.0     1.23337737E-08|5.68519856    |94.3148014         2.02675727E-10|5.36059529    |94.6394047    |100           
    144000.0     9.23989022E-09|5.47274897    |94.527251          1.44140682E-10|5.15643696    |94.843563     |100           
    145800.0     6.92209645E-09|5.26823839    |94.7317616         1.0251122E-10 |4.96005401    |95.039946     |100           
    147600.0     5.18571305E-09|5.07137014    |94.9286299         7.2904819E-11 |4.77115031    |95.2288497    |100           
    149400.0     3.88489528E-09|4.88185864    |95.1181414         5.18490816E-11|4.589441      |95.410559     |100           
    151200.0     2.91038305E-09|4.69942897    |95.300571          3.68744797E-11|4.41465209    |95.5853479    |100           
    153000.0     2.18032376E-09|4.5238165     |95.4761835         2.62247123E-11|4.24652002    |95.75348      |100           
    154800.0     1.63339726E-09|4.35476647    |95.6452335         1.86507184E-11|4.08479127    |95.9152087    |100           
    156600.0     1.22366534E-09|4.19203366    |95.8079663         1.32641797E-11|3.92922195    |96.070778     |100           
    158400.0     9.16713216E-10|4.03538199    |95.964618          9.43333438E-12|3.77957749    |96.2204225    |100           
    160200.0     6.86758949E-10|3.88458422    |96.1154158         6.70888058E-12|3.63563225    |96.3643678    |100           
    162000.0     5.14487897E-10|3.7394216     |96.2605784         4.77127989E-12|3.49716916    |96.5028308    |100           
    163800.0     3.85430428E-10|3.59968354    |96.4003165         3.39328022E-12|3.36397944    |96.6360206    |100           
    165600.0     2.88746569E-10|3.46516734    |96.5348327         2.41326246E-12|3.23586225    |96.7641378    |100           
    167400.0     2.16315514E-10|3.33567787    |96.6643221         1.71628493E-12|3.1126244     |96.8873756    |100           
    169200.0     1.62053533E-10|3.21102727    |96.7889727         1.22060241E-12|2.99408007    |97.0059199    |100           
    171000.0     1.21402978E-10|3.09103473    |96.9089653         8.68078608E-13|2.8800505     |97.1199495    |100           
