Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 28.125 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.56178515255509 at t = 14512.5 s

    Time                          Analytical                                             Numerical                         
    (s)              N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
     1631.25     76.9714768    |22.6186287    |0.409894418        76.9258966    |22.6699893    |0.404114086   |100           
    1659.375     76.624912     |22.9516346    |0.423453443        76.5787549    |23.0036406    |0.417604504   |100           
      1687.5     76.2799075    |23.2828824    |0.437210108        76.2331797    |23.3355268    |0.431293471   |100           
    1715.625     75.9364565    |23.6123801    |0.451163371        75.889164     |23.6656561    |0.445179936   |100           
     1743.75     75.5945518    |23.940136     |0.465312192        75.5467007    |23.9940365    |0.459262854   |100           
    1771.875     75.2541866    |24.2661579    |0.479655537        75.2057828    |24.320676     |0.473541184   |100           
      1800.0     74.9153538    |24.5904538    |0.494192376        74.8664034    |24.6455827    |0.48801389    |100           
    1828.125     74.5780467    |24.9130316    |0.508921686        74.5285555    |24.9687645    |0.502679941   |100           
     1856.25     74.2422583    |25.2338993    |0.523842445        74.1922322    |25.2902295    |0.517538311   |100           
    1884.375     73.9079818    |25.5530646    |0.538953639        73.8574267    |25.6099854    |0.532587977   |100           
      1912.5     73.5752103    |25.8705354    |0.554254256        73.524132     |25.9280401    |0.547827923   |100           
    1940.625     73.2439372    |26.1863195    |0.569743292        73.1923413    |26.2444016    |0.563257136   |100           
     1968.75     72.9141556    |26.5004246    |0.585419743        72.8620479    |26.5590775    |0.57887461    |100           
    1996.875     72.5858589    |26.8128585    |0.601282614        72.533245     |26.8720756    |0.59467934    |100           
      2025.0     72.2590403    |27.1236287    |0.617330913        72.2059259    |27.1834038    |0.610670328   |100           
    2053.125     71.9336933    |27.4327431    |0.633563651        71.8800839    |27.4930695    |0.626846582   |100           
     2081.25     71.6098111    |27.740209     |0.649979845        71.5557123    |27.8010806    |0.64320711    |100           
    2109.375     71.2873872    |28.0460343    |0.666578517        71.2328045    |28.1074446    |0.659750929   |100           
      2137.5     70.966415     |28.3502263    |0.683358693        70.9113539    |28.4121691    |0.676477059   |100           
    2165.625     70.646888     |28.6527926    |0.700319402        70.5913538    |28.7152617    |0.693384524   |100           
     2193.75     70.3287997    |28.9537406    |0.717459681        70.2727978    |29.0167298    |0.710472352   |100           
    2221.875     70.0121436    |29.2530779    |0.734778567        69.9556794    |29.316581     |0.727739578   |100           
      2250.0     69.6969132    |29.5508117    |0.752275105        69.639992     |29.6148227    |0.745185239   |100           
    2278.125     69.3831021    |29.8469495    |0.769948343        69.3257292    |29.9114624    |0.762808376   |100           
     2306.25     69.070704     |30.1414987    |0.787797333        69.0128846    |30.2065073    |0.780608038   |100           
    2334.375     68.7597125    |30.4344664    |0.805821132        68.7014518    |30.499965     |0.798583274   |100           
      2362.5     68.4501211    |30.7258601    |0.8240188          68.3914243    |30.7918426    |0.816733141   |100           
    2390.625     68.1419238    |31.0156868    |0.842389405        68.0827959    |31.0821474    |0.835056698   |100           
     2418.75     67.8351141    |31.3039539    |0.860932014        67.7755602    |31.3708868    |0.853553009   |100           
    2446.875     67.5296858    |31.5906685    |0.879645703        67.469711     |31.6580678    |0.872221142   |100           
      2475.0     67.2256327    |31.8758378    |0.898529549        67.165242     |31.9436978    |0.89106017    |100           
    2503.125     66.9229486    |32.1594688    |0.917582635        66.862147     |32.2277839    |0.910069171   |100           
     2531.25     66.6216274    |32.4415686    |0.936804048        66.5604197    |32.5103331    |0.929247225   |100           
    2559.375     66.3216628    |32.7221443    |0.956192879        66.260054     |32.7913525    |0.948593418   |100           
      2587.5     66.0230488    |33.0012029    |0.975748222        65.9610438    |33.0708493    |0.96810684    |100           
    2615.625     65.7257794    |33.2787514    |0.995469177        65.6633829    |33.3488305    |0.987786584   |100           
     2643.75     65.4298484    |33.5547967    |1.01535485         65.3670653    |33.625303     |1.00763175    |100           
    2671.875     65.1352499    |33.8293458    |1.03540434         65.0720848    |33.9002737    |1.02764144    |100           
      2700.0     64.8419777    |34.1024055    |1.05561677         64.7784356    |34.1737497    |1.04781475    |100           
    2728.125     64.5500261    |34.3739827    |1.07599125         64.4861114    |34.4457378    |1.06815081    |100           
     2756.25     64.2593889    |34.6440842    |1.0965269          64.1951064    |34.7162449    |1.08864872    |100           
    2784.375     63.9700604    |34.9127168    |1.11722284         63.9054146    |34.9852778    |1.1093076     |100           
      2812.5     63.6820345    |35.1798873    |1.13807821         63.6170301    |35.2528433    |1.13012658    |100           
    2840.625     63.3953055    |35.4456023    |1.15909213         63.329947     |35.5189482    |1.15110478    |100           
     2868.75     63.1098675    |35.7098687    |1.18026374         63.0441594    |35.7835992    |1.17224134    |100           
    2896.875     62.8257147    |35.9726931    |1.20159218         62.7596615    |36.0468031    |1.19353538    |100           
      2925.0     62.5428413    |36.2340821    |1.22307659         62.4764474    |36.3085665    |1.21498605    |100           
    2953.125     62.2612415    |36.4940424    |1.24471612         62.1945114    |36.5688961    |1.23659249    |100           
     2981.25     61.9809096    |36.7525804    |1.26650993         61.9138477    |36.8277985    |1.25835385    |100           
    3009.375     61.70184      |37.0097029    |1.28845717         61.6344505    |37.0852803    |1.28026927    |100           
      3037.5     61.4240268    |37.2654162    |1.31055699         61.3563141    |37.341348     |1.30233791    |100           
    3065.625     61.1474645    |37.5197269    |1.33280857         61.0794329    |37.5960082    |1.32455894    |100           
     3093.75     60.8721474    |37.7726415    |1.35521106         60.8038011    |37.8492674    |1.34693151    |100           
    3121.875     60.59807      |38.0241664    |1.37776365         60.5294132    |38.101132     |1.36945478    |100           
      3150.0     60.3252265    |38.274308     |1.4004655          60.2562635    |38.3516085    |1.39212794    |100           
    3178.125     60.0536116    |38.5230726    |1.42331579         59.9843465    |38.6007034    |1.41495015    |100           
     3206.25     59.7832196    |38.7704667    |1.44631372         59.7136565    |38.8484229    |1.43792059    |100           
    3234.375     59.5140451    |39.0164965    |1.46945845         59.4441881    |39.0947735    |1.46103844    |100           
      3262.5     59.2460825    |39.2611684    |1.49274919         59.1759357    |39.3397615    |1.48430289    |100           
    3290.625     58.9793264    |39.5044885    |1.51618512         58.9088938    |39.5833931    |1.50771313    |100           
     3318.75     58.7137714    |39.7464632    |1.53976545         58.643057     |39.8256747    |1.53126835    |100           
    3346.875     58.449412     |39.9870986    |1.56348937         58.3784198    |40.0666125    |1.55496774    |100           
      3375.0     58.1862429    |40.226401     |1.58735609         58.1149768    |40.3062126    |1.57881051    |100           
    3403.125     57.9242588    |40.4643764    |1.61136482         57.8527227    |40.5444814    |1.60279586    |100           
     3431.25     57.6634542    |40.701031     |1.63551477         57.5916521    |40.7814249    |1.626923      |100           
    3459.375     57.4038239    |40.9363709    |1.65980516         57.3317596    |41.0170493    |1.65119114    |100           
      3487.5     57.1453626    |41.1704022    |1.6842352          57.0730398    |41.2513607    |1.6755995     |100           
    3515.625     56.8880651    |41.4031308    |1.70880412         56.8154877    |41.4843651    |1.70014729    |100           
     3543.75     56.631926     |41.6345629    |1.73351115         56.5590977    |41.7160686    |1.72483373    |100           
    3571.875     56.3769402    |41.8647043    |1.75835551         56.3038648    |41.9464772    |1.74965806    |100           
      3600.0     56.1231024    |42.0935611    |1.78333645         56.0497836    |42.1755969    |1.7746195     |100           
    3628.125     55.8704076    |42.3211392    |1.80845319         55.7968491    |42.4034337    |1.79971728    |100           
     3656.25     55.6188505    |42.5474445    |1.83370498         55.5450559    |42.6299935    |1.82495064    |100           
    3684.375     55.3684261    |42.7724829    |1.85909106         55.294399     |42.8552822    |1.85031882    |100           
      3712.5     55.1191292    |42.9962602    |1.88461068         55.0448732    |43.0793057    |1.87582107    |100           
    3740.625     54.8709547    |43.2187822    |1.91026309         54.7964735    |43.3020699    |1.90145663    |100           
     3768.75     54.6238977    |43.4400548    |1.93604755         54.5491947    |43.5235805    |1.92722475    |100           
    3796.875     54.377953     |43.6600836    |1.96196331         54.3030318    |43.7438435    |1.95312469    |100           
      3825.0     54.1331158    |43.8788746    |1.98800964         54.0579798    |43.9628645    |1.9791557     |100           
    3853.125     53.8893809    |44.0964333    |2.0141858          53.8140336    |44.1806494    |2.00531705    |100           
     3881.25     53.6467434    |44.3127656    |2.04049105         53.5711882    |44.3972038    |2.03160799    |100           
    3909.375     53.4051984    |44.5278769    |2.06692468         53.3294388    |44.6125334    |2.0580278     |100           
      3937.5     53.1647409    |44.7417731    |2.09348596         53.0887803    |44.826644     |2.08457575    |100           
    3965.625     52.9253661    |44.9544597    |2.12017416         52.8492077    |45.0395412    |2.11125111    |100           
     3993.75     52.6870691    |45.1659423    |2.14698856         52.6107163    |45.2512305    |2.13805317    |100           
    4021.875     52.4498451    |45.3762265    |2.17392846         52.3733012    |45.4617176    |2.16498119    |100           
      4050.0     52.2136891    |45.5853177    |2.20099314         52.1369574    |45.6710082    |2.19203447    |100           
    4078.125     51.9785965    |45.7932217    |2.22818189         51.9016801    |45.8791076    |2.2192123     |100           
     4106.25     51.7445623    |45.9999437    |2.25549401         51.6674646    |46.0860214    |2.24651396    |100           
    4134.375     51.5115819    |46.2054893    |2.28292879         51.434306     |46.2917552    |2.27393875    |100           
      4162.5     51.2796505    |46.409864     |2.31048554         51.2021996    |46.4963144    |2.30148597    |100           
    4190.625     51.0487633    |46.6130731    |2.33816357         50.9711406    |46.6997044    |2.32915491    |100           
     4218.75     50.8189157    |46.8151221    |2.36596217         50.7411244    |46.9019308    |2.35694489    |100           
    4246.875     50.5901031    |47.0160163    |2.39388066         50.512146     |47.1029987    |2.38485521    |100           
      4275.0     50.3623206    |47.215761     |2.42191836         50.2842011    |47.3029138    |2.41288518    |100           
    4303.125     50.1355638    |47.4143617    |2.45007458         50.0572847    |47.5016812    |2.44103412    |100           
     4331.25     49.9098279    |47.6118235    |2.47834865         49.8313923    |47.6993063    |2.46930134    |100           
    4359.375     49.6851084    |47.8081518    |2.50673988         49.6065194    |47.8957945    |2.49768616    |100           
      4387.5     49.4614007    |48.0033517    |2.53524761         49.3826612    |48.0911509    |2.52618791    |100           
    4415.625     49.2387002    |48.1974286    |2.56387116         49.1598132    |48.2853809    |2.55480591    |100           
     4443.75     49.0170025    |48.3903877    |2.59260987         48.9379708    |48.4784897    |2.58353949    |100           
    4471.875     48.7963029    |48.582234     |2.62146308         48.7171296    |48.6704825    |2.61238798    |100           
      4500.0     48.5765971    |48.7729728    |2.65043012         48.4972849    |48.8613644    |2.64135073    |100           
    4528.125     48.3578804    |48.9626092    |2.67951033         48.2784323    |49.0511406    |2.67042707    |100           
     4556.25     48.1401486    |49.1511483    |2.70870307         48.0605673    |49.2398163    |2.69961634    |100           
    4584.375     47.9233971    |49.3385952    |2.73800768         47.8436855    |49.4273966    |2.72891788    |100           
      4612.5     47.7076215    |49.524955     |2.76742351         47.6277824    |49.6138865    |2.75833105    |100           
    4640.625     47.4928175    |49.7102326    |2.79694991         47.4128536    |49.7992912    |2.7878552     |100           
     4668.75     47.2789806    |49.8944332    |2.82658625         47.1988947    |49.9836156    |2.81748967    |100           
    4696.875     47.0661065    |50.0775616    |2.85633189         46.9859014    |50.1668648    |2.84723384    |100           
      4725.0     46.8541909    |50.259623     |2.88618618         46.7738692    |50.3490438    |2.87708705    |100           
    4753.125     46.6432294    |50.4406221    |2.9161485          46.5627938    |50.5301575    |2.90704867    |100           
     4781.25     46.4332178    |50.620564     |2.94621821         46.352671     |50.710211     |2.93711807    |100           
    4809.375     46.2241517    |50.7994536    |2.97639469         46.1434963    |50.889209     |2.96729462    |100           
      4837.5     46.016027     |50.9772957    |3.0066773          45.9352657    |51.0671567    |2.99757768    |100           
    4865.625     45.8088394    |51.1540952    |3.03706544         45.7279746    |51.2440587    |3.02796664    |100           
     4893.75     45.6025846    |51.3298569    |3.06755848         45.5216191    |51.4199201    |3.05846086    |100           
    4921.875     45.3972585    |51.5045857    |3.0981558          45.3161947    |51.5947456    |3.08905974    |100           
      4950.0     45.1928569    |51.6782863    |3.1288568          45.1116974    |51.76854      |3.11976265    |100           
    4978.125     44.9893756    |51.8509635    |3.15966085         44.9081228    |51.9413082    |3.15056899    |100           
     5006.25     44.7868105    |52.0226221    |3.19056736         44.705467     |52.1130549    |3.18147813    |100           
    5034.375     44.5851574    |52.1932668    |3.22157571         44.5037257    |52.2837849    |3.21248948    |100           
      5062.5     44.3844123    |52.3629024    |3.25268532         44.3028947    |52.4535029    |3.24360242    |100           
    5090.625     44.184571     |52.5315334    |3.28389557         44.1029701    |52.6222136    |3.27481636    |100           
     5118.75     43.9856296    |52.6991646    |3.31520587         43.9039476    |52.7899217    |3.3061307     |100           
    5146.875     43.7875838    |52.8658005    |3.34661563         43.7058233    |52.9566319    |3.33754483    |100           
      5175.0     43.5904298    |53.031446     |3.37812425         43.508593     |53.1223488    |3.36905818    |100           
    5203.125     43.3941634    |53.1961054    |3.40973115         43.3122528    |53.2870771    |3.40067013    |100           
     5231.25     43.1987808    |53.3597835    |3.44143575         43.1167986    |53.4508213    |3.43238011    |100           
    5259.375     43.0042778    |53.5224847    |3.47323746         42.9222264    |53.6135861    |3.46418754    |100           
      5287.5     42.8106506    |53.6842137    |3.50513569         42.7285323    |53.7753759    |3.49609182    |100           
    5315.625     42.6178952    |53.8449749    |3.53712988         42.5357122    |53.9361954    |3.52809238    |100           
     5343.75     42.4260077    |54.0047728    |3.56921945         42.3437623    |54.0960491    |3.56018863    |100           
    5371.875     42.2349842    |54.163612     |3.60140383         42.1526785    |54.2549414    |3.59238002    |100           
      5400.0     42.0448208    |54.3214968    |3.63368244         41.9624571    |54.4128769    |3.62466595    |100           
    5428.125     41.8555135    |54.4784317    |3.66605473         41.7730941    |54.56986      |3.65704588    |100           
     5456.25     41.6670587    |54.6344212    |3.69852012         41.5845856    |54.7258952    |3.68951921    |100           
    5484.375     41.4794523    |54.7894696    |3.73107805         41.3969278    |54.8809868    |3.72208541    |100           
      5512.5     41.2926906    |54.9435814    |3.76372798         41.2101169    |55.0351392    |3.75474389    |100           
    5540.625     41.1067699    |55.0967608    |3.79646933         41.0241489    |55.188357     |3.78749411    |100           
     5568.75     40.9216862    |55.2490122    |3.82930156         40.8390202    |55.3406443    |3.8203355     |100           
    5596.875     40.7374359    |55.4003399    |3.86222412         40.6547269    |55.4920056    |3.85326751    |100           
      5625.0     40.5540152    |55.5507483    |3.89523646         40.4712652    |55.6424452    |3.8862896     |100           
    5653.125     40.3714204    |55.7002416    |3.92833803         40.2886315    |55.7919673    |3.91940121    |100           
     5681.25     40.1896476    |55.8488241    |3.96152829         40.1068219    |55.9405763    |3.9526018     |100           
    5709.375     40.0086933    |55.9965       |3.99480669         39.9258328    |56.0882764    |3.98589082    |100           
      5737.5     39.8285538    |56.1432735    |4.02817271         39.7456604    |56.2350719    |4.01926774    |100           
    5765.625     39.6492253    |56.2891489    |4.0616258          39.5663011    |56.3809669    |4.05273201    |100           
     5793.75     39.4707043    |56.4341303    |4.09516543         39.3877511    |56.5259658    |4.08628309    |100           
    5821.875     39.292987     |56.5782219    |4.12879107         39.2100069    |56.6700726    |4.11992047    |100           
      5850.0     39.11607      |56.7214278    |4.1625022          39.0330648    |56.8132916    |4.1536436     |100           
    5878.125     38.9399495    |56.8637523    |4.19629828         38.8569212    |56.9556268    |4.18745195    |100           
     5906.25     38.7646219    |57.0051993    |4.23017879         38.6815725    |57.0970825    |4.22134501    |100           
    5934.375     38.5900838    |57.1457729    |4.26414322         38.5070151    |57.2376627    |4.25532224    |100           
      5962.5     38.4163316    |57.2854774    |4.29819104         38.3332453    |57.3773715    |4.28938313    |100           
    5990.625     38.2433617    |57.4243166    |4.33232173         38.1602598    |57.5162131    |4.32352716    |100           
     6018.75     38.0711706    |57.5622947    |4.36653479         37.9880549    |57.6541913    |4.35775381    |100           
    6046.875     37.8997547    |57.6994156    |4.40082971         37.816627     |57.7913104    |4.39206257    |100           
      6075.0     37.7291107    |57.8356833    |4.43520596         37.6459728    |57.9275743    |4.42645292    |100           
    6103.125     37.559235     |57.971102     |4.46966306         37.4760887    |58.0629869    |4.46092436    |100           
     6131.25     37.3901242    |58.1056754    |4.50420048         37.3069712    |58.1975524    |4.49547639    |100           
    6159.375     37.2217747    |58.2394075    |4.53881774         37.1386169    |58.3312746    |4.53010848    |100           
      6187.5     37.0541833    |58.3723024    |4.57351433         36.9710223    |58.4641575    |4.56482016    |100           
    6215.625     36.8873465    |58.5043638    |4.60828975         36.8041841    |58.596205     |4.59961091    |100           
     6243.75     36.7212608    |58.6355957    |4.64314352         36.6380987    |58.7274211    |4.63448024    |100           
    6271.875     36.555923     |58.7660019    |4.67807513         36.4727628    |58.8578096    |4.66942765    |100           
      6300.0     36.3913296    |58.8955863    |4.7130841          36.308173     |58.9873744    |4.70445266    |100           
    6328.125     36.2274772    |59.0243528    |4.74816993         36.1443259    |59.1161193    |4.73955476    |100           
     6356.25     36.0643627    |59.1523052    |4.78333215         35.9812182    |59.2440483    |4.77473348    |100           
    6384.375     35.9019825    |59.2794472    |4.81857028         35.8188466    |59.3711651    |4.80998833    |100           
      6412.5     35.7403335    |59.4057827    |4.85388382         35.6572077    |59.4974734    |4.84531882    |100           
    6440.625     35.5794122    |59.5313155    |4.8892723          35.4962983    |59.6229773    |4.88072447    |100           
     6468.75     35.4192156    |59.6560492    |4.92473525         35.336115     |59.7476802    |4.91620481    |100           
    6496.875     35.2597402    |59.7799876    |4.96027218         35.1766545    |59.8715862    |4.95175936    |100           
