Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 28.125 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.56178515255509 at t = 14512.5 s

    Time                          Analytical                                             Numerical                         
    (s)              N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
     17662.5     5.87795585    |72.5002153    |21.6218288         5.84037717    |72.5346848    |21.6249381    |100           
   17690.625     5.8514903     |72.4835425    |21.6649672         5.81402144    |72.5178767    |21.6681019    |100           
    17718.75     5.8251439     |72.4667605    |21.7080956         5.78778464    |72.5009597    |21.7112557    |100           
   17746.875     5.79891613    |72.4498699    |21.7512139         5.76166623    |72.4839343    |21.7543994    |100           
     17775.0     5.77280645    |72.4328713    |21.7943222         5.7356657     |72.4668012    |21.7975331    |100           
   17803.125     5.74681433    |72.4157653    |21.8374204         5.70978249    |72.449561     |21.8406565    |100           
    17831.25     5.72093924    |72.3985524    |21.8805083         5.68401609    |72.4322143    |21.8837696    |100           
   17859.375     5.69518066    |72.3812334    |21.923586          5.65836596    |72.4147616    |21.9268725    |100           
     17887.5     5.66953805    |72.3638087    |21.9666533         5.63283158    |72.3972035    |21.9699649    |100           
   17915.625     5.6440109     |72.3462789    |22.0097102         5.60741243    |72.3795406    |22.0130469    |100           
    17943.75     5.61859868    |72.3286447    |22.0527567         5.58210799    |72.3617736    |22.0561184    |100           
   17971.875     5.59330088    |72.3109065    |22.0957926         5.55691774    |72.3439029    |22.0991793    |100           
     18000.0     5.56811699    |72.2930651    |22.1388179         5.53184116    |72.3259292    |22.1422296    |100           
   18028.125     5.54304649    |72.2751209    |22.1818326         5.50687775    |72.307853     |22.1852692    |100           
    18056.25     5.51808886    |72.2570745    |22.2248366         5.48202699    |72.289675     |22.228298     |100           
   18084.375     5.49324361    |72.2389265    |22.2678299         5.45728838    |72.2713956    |22.2713161    |100           
     18112.5     5.46851023    |72.2206775    |22.3108122         5.4326614     |72.2530154    |22.3143232    |100           
   18140.625     5.4438882     |72.2023281    |22.3537837         5.40814555    |72.234535     |22.3573194    |100           
    18168.75     5.41937704    |72.1838787    |22.3967443         5.38374034    |72.2159551    |22.4003046    |100           
   18196.875     5.39497624    |72.1653299    |22.4396938         5.35944525    |72.197276     |22.4432788    |100           
     18225.0     5.37068531    |72.1466824    |22.4826323         5.33525981    |72.1784984    |22.4862418    |100           
   18253.125     5.34650374    |72.1279366    |22.5255597         5.31118351    |72.1596229    |22.5291936    |100           
    18281.25     5.32243105    |72.1090931    |22.5684758         5.28721585    |72.1406499    |22.5721343    |100           
   18309.375     5.29846675    |72.0901525    |22.6113808         5.26335635    |72.1215801    |22.6150636    |100           
     18337.5     5.27461035    |72.0711153    |22.6542744         5.23960453    |72.1024139    |22.6579816    |100           
   18365.625     5.25086137    |72.051982     |22.6971567         5.21595988    |72.083152     |22.7008882    |100           
    18393.75     5.22721931    |72.0327532    |22.7400275         5.19242194    |72.0637948    |22.7437833    |100           
   18421.875     5.2036837     |72.0134294    |22.7828869         5.16899022    |72.0443429    |22.7866669    |100           
     18450.0     5.18025406    |71.9940112    |22.8257347         5.14566424    |72.0247969    |22.8295389    |100           
   18478.125     5.15692992    |71.9744991    |22.868571          5.12244352    |72.0051572    |22.8723993    |100           
    18506.25     5.13371079    |71.9548936    |22.9113956         5.09932758    |71.9854244    |22.915248     |100           
   18534.375     5.1105962     |71.9351952    |22.9542086         5.07631596    |71.9655991    |22.958085     |100           
     18562.5     5.08758569    |71.9154045    |22.9970098         5.05340819    |71.9456817    |23.0009101    |100           
   18590.625     5.06467879    |71.8955221    |23.0397992         5.03060379    |71.9256728    |23.0437234    |100           
    18618.75     5.04187502    |71.8755483    |23.0825767         5.0079023     |71.9055729    |23.0865248    |100           
   18646.875     5.01917393    |71.8554838    |23.1253423         4.98530326    |71.8853825    |23.1293143    |100           
     18675.0     4.99657504    |71.835329     |23.1680959         4.96280619    |71.8651021    |23.1720917    |100           
   18703.125     4.97407792    |71.8150845    |23.2108376         4.94041065    |71.8447323    |23.2148571    |100           
    18731.25     4.95168208    |71.7947508    |23.2535671         4.91811618    |71.8242735    |23.2576103    |100           
   18759.375     4.92938708    |71.7743284    |23.2962845         4.89592231    |71.8037263    |23.3003514    |100           
     18787.5     4.90719246    |71.7538178    |23.3389898         4.87382859    |71.7830912    |23.3430802    |100           
   18815.625     4.88509778    |71.7332194    |23.3816828         4.85183458    |71.7623686    |23.3857968    |100           
    18843.75     4.86310258    |71.7125339    |23.4243635         4.82993981    |71.7415592    |23.428501     |100           
   18871.875     4.84120641    |71.6917617    |23.4670319         4.80814386    |71.7206633    |23.4711929    |100           
     18900.0     4.81940883    |71.6709032    |23.5096879         4.78644626    |71.6996815    |23.5138723    |100           
   18928.125     4.79770939    |71.6499591    |23.5523315         4.76484657    |71.6786142    |23.5565392    |100           
    18956.25     4.77610766    |71.6289298    |23.5949626         4.74334436    |71.6574621    |23.5991936    |100           
   18984.375     4.75460318    |71.6078157    |23.6375811         4.72193918    |71.6362255    |23.6418354    |100           
     19012.5     4.73319554    |71.5866174    |23.6801871         4.70063059    |71.6149049    |23.6844645    |100           
   19040.625     4.71188427    |71.5653353    |23.7227804         4.67941816    |71.5935008    |23.727081     |100           
    19068.75     4.69066897    |71.54397      |23.765361          4.65830146    |71.5720138    |23.7696847    |100           
   19096.875     4.66954918    |71.5225219    |23.8079289         4.63728005    |71.5504443    |23.8122757    |100           
     19125.0     4.64852449    |71.5009915    |23.850484          4.6163535     |71.5287927    |23.8548538    |100           
   19153.125     4.62759446    |71.4793793    |23.8930263         4.59552139    |71.5070596    |23.897419     |100           
    19181.25     4.60675867    |71.4576857    |23.9355556         4.57478329    |71.4852454    |23.9399713    |100           
   19209.375     4.58601669    |71.4359112    |23.9780721         4.55413877    |71.4633506    |23.9825107    |100           
     19237.5     4.56536811    |71.4140564    |24.0205755         4.53358741    |71.4413756    |24.0250369    |100           
   19265.625     4.54481249    |71.3921215    |24.063066          4.5131288     |71.419321     |24.0675502    |100           
    19293.75     4.52434943    |71.3701073    |24.1055433         4.4927625     |71.3971873    |24.1100502    |100           
   19321.875     4.5039785     |71.3480139    |24.1480076         4.47248812    |71.3749747    |24.1525372    |100           
     19350.0     4.48369929    |71.3258421    |24.1904586         4.45230522    |71.3526839    |24.1950109    |100           
   19378.125     4.46351139    |71.3035922    |24.2328965         4.43221341    |71.3303153    |24.2374713    |100           
    19406.25     4.44341438    |71.2812646    |24.275321          4.41221226    |71.3078693    |24.2799184    |100           
   19434.375     4.42340786    |71.2588598    |24.3177323         4.39230137    |71.2853465    |24.3223522    |100           
     19462.5     4.40349142    |71.2363784    |24.3601302         4.37248034    |71.2627471    |24.3647725    |100           
   19490.625     4.38366466    |71.2138206    |24.4025147         4.35274874    |71.2400718    |24.4071794    |100           
    19518.75     4.36392717    |71.191187     |24.4448858         4.3331062     |71.2173209    |24.4495729    |100           
   19546.875     4.34427854    |71.1684781    |24.4872434         4.31355229    |71.194495     |24.4919527    |100           
     19575.0     4.32471838    |71.1456942    |24.5295874         4.29408662    |71.1715943    |24.534319     |100           
   19603.125     4.30524629    |71.1228358    |24.5719179         4.27470879    |71.1486195    |24.5766717    |100           
    19631.25     4.28586188    |71.0999034    |24.6142347         4.25541841    |71.1255709    |24.6190107    |100           
   19659.375     4.26656474    |71.0768974    |24.6565379         4.23621508    |71.1024489    |24.661336     |100           
     19687.5     4.24735449    |71.0538182    |24.6988273         4.21709841    |71.0792541    |24.7036475    |100           
   19715.625     4.22823073    |71.0306662    |24.741103          4.19806801    |71.0559867    |24.7459452    |100           
    19743.75     4.20919308    |71.007442     |24.7833649         4.17912349    |71.0326474    |24.7882291    |100           
   19771.875     4.19024115    |70.9841459    |24.825613          4.16026445    |71.0092364    |24.8304991    |100           
     19800.0     4.17137454    |70.9607783    |24.8678472         4.14149052    |70.9857543    |24.8727552    |100           
   19828.125     4.15259289    |70.9373397    |24.9100674         4.12280131    |70.9622015    |24.9149972    |100           
    19856.25     4.1338958     |70.9138305    |24.9522737         4.10419644    |70.9385783    |24.9572253    |100           
   19884.375     4.11528289    |70.8902512    |24.994466          4.08567553    |70.9148852    |24.9994393    |100           
     19912.5     4.09675379    |70.866602     |25.0366442         4.0672382     |70.8911226    |25.0416392    |100           
   19940.625     4.07830811    |70.8428836    |25.0788083         4.04888407    |70.867291     |25.083825     |100           
    19968.75     4.05994549    |70.8190962    |25.1209583         4.03061276    |70.8433907    |25.1259966    |100           
   19996.875     4.04166554    |70.7952404    |25.1630941         4.01242391    |70.8194222    |25.1681539    |100           
     20025.0     4.0234679     |70.7713164    |25.2052157         3.99431713    |70.7953858    |25.210297     |100           
   20053.125     4.0053522     |70.7473248    |25.247323          3.97629207    |70.7712821    |25.2524258    |100           
    20081.25     3.98731806    |70.7232659    |25.2894161         3.95834835    |70.7471114    |25.2945403    |100           
   20109.375     3.96936512    |70.6991401    |25.3314948         3.9404856     |70.7228741    |25.3366403    |100           
     20137.5     3.95149301    |70.6749479    |25.3735591         3.92270346    |70.6985705    |25.378726     |100           
   20165.625     3.93370137    |70.6506896    |25.415609          3.90500157    |70.6742013    |25.4207972    |100           
    20193.75     3.91598984    |70.6263657    |25.4576445         3.88737956    |70.6497666    |25.4628539    |100           
   20221.875     3.89835806    |70.6019765    |25.4996654         3.86983707    |70.6252669    |25.504896     |100           
     20250.0     3.88080566    |70.5775225    |25.5416719         3.85237375    |70.6007027    |25.5469236    |100           
   20278.125     3.8633323     |70.553004     |25.5836637         3.83498923    |70.5760743    |25.5889365    |100           
    20306.25     3.8459376     |70.5284214    |25.625641          3.81768316    |70.551382     |25.6309348    |100           
   20334.375     3.82862123    |70.5037752    |25.6676036         3.80045519    |70.5266264    |25.6729184    |100           
     20362.5     3.81138282    |70.4790657    |25.7095515         3.78330496    |70.5018078    |25.7148873    |100           
   20390.625     3.79422203    |70.4542933    |25.7514847         3.76623213    |70.4769265    |25.7568414    |100           
    20418.75     3.77713851    |70.4294584    |25.7934031         3.74923634    |70.451983     |25.7987806    |100           
   20446.875     3.76013191    |70.4045613    |25.8353068         3.73231725    |70.4269777    |25.8407051    |100           
     20475.0     3.74320187    |70.3796026    |25.8771956         3.71547451    |70.4019108    |25.8826146    |100           
   20503.125     3.72634807    |70.3545824    |25.9190695         3.69870777    |70.3767829    |25.9245093    |100           
    20531.25     3.70957015    |70.3295013    |25.9609285         3.6820167     |70.3515943    |25.966389     |100           
   20559.375     3.69286777    |70.3043596    |26.0027726         3.66540094    |70.3263454    |26.0082537    |100           
     20587.5     3.6762406     |70.2791577    |26.0446017         3.64886017    |70.3010364    |26.0501034    |100           
   20615.625     3.65968829    |70.2538959    |26.0864158         3.63239405    |70.275668     |26.091938     |100           
    20643.75     3.6432105     |70.2285747    |26.1282148         3.61600223    |70.2502403    |26.1337575    |100           
   20671.875     3.62680691    |70.2031943    |26.1699988         3.59968438    |70.2247537    |26.1755619    |100           
     20700.0     3.61047718    |70.1777552    |26.2117676         3.58344016    |70.1992087    |26.2173511    |100           
   20728.125     3.59422097    |70.1522578    |26.2535213         3.56726926    |70.1736056    |26.2591252    |100           
    20756.25     3.57803795    |70.1267023    |26.2952598         3.55117132    |70.1479447    |26.300884     |100           
   20784.375     3.5619278     |70.1010892    |26.336983          3.53514603    |70.1222265    |26.3426275    |100           
     20812.5     3.54589018    |70.0754188    |26.378691          3.51919306    |70.0964513    |26.3843557    |100           
   20840.625     3.52992478    |70.0496915    |26.4203837         3.50331208    |70.0706194    |26.4260686    |100           
    20868.75     3.51403125    |70.0239076    |26.4620611         3.48750276    |70.0447312    |26.4677661    |100           
   20896.875     3.49820929    |69.9980676    |26.5037231         3.47176479    |70.018787     |26.5094482    |100           
     20925.0     3.48245857    |69.9721717    |26.5453698         3.45609784    |69.9927873    |26.5511148    |100           
   20953.125     3.46677877    |69.9462203    |26.587001          3.44050158    |69.9667324    |26.592766     |100           
    20981.25     3.45116956    |69.9202137    |26.6286167         3.42497571    |69.9406226    |26.6344017    |100           
   21009.375     3.43563063    |69.8941524    |26.6702169         3.4095199     |69.9144583    |26.6760218    |100           
     21037.5     3.42016167    |69.8680367    |26.7118017         3.39413384    |69.8882397    |26.7176264    |100           
   21065.625     3.40476236    |69.8418668    |26.7533708         3.37881721    |69.8619674    |26.7592154    |100           
    21093.75     3.38943238    |69.8156432    |26.7949244         3.3635697     |69.8356416    |26.8007887    |100           
   21121.875     3.37417143    |69.7893662    |26.8364624         3.348391      |69.8092626    |26.8423464    |100           
     21150.0     3.35897919    |69.7630361    |26.8779847         3.33328079    |69.7828308    |26.8838884    |100           
   21178.125     3.34385535    |69.7366534    |26.9194913         3.31823877    |69.7563466    |26.9254146    |100           
    21206.25     3.32879961    |69.7102182    |26.9609822         3.30326463    |69.7298103    |26.9669251    |100           
   21234.375     3.31381165    |69.683731     |27.0024574         3.28835807    |69.7032221    |27.0084198    |100           
     21262.5     3.29889118    |69.6571921    |27.0439167         3.27351877    |69.6765826    |27.0498987    |100           
   21290.625     3.28403789    |69.6306018    |27.0853603         3.25874644    |69.6498919    |27.0913617    |100           
    21318.75     3.26925148    |69.6039605    |27.126788          3.24404077    |69.6231504    |27.1328088    |100           
   21346.875     3.25453164    |69.5772684    |27.1681999         3.22940146    |69.5963585    |27.1742401    |100           
     21375.0     3.23987808    |69.550526     |27.2095959         3.21482821    |69.5695164    |27.2156553    |100           
   21403.125     3.22529049    |69.5237336    |27.2509759         3.20032073    |69.5426246    |27.2570547    |100           
    21431.25     3.21076859    |69.4968914    |27.29234           3.18587872    |69.5156833    |27.298438     |100           
   21459.375     3.19631207    |69.4699998    |27.3336881         3.17150188    |69.4886929    |27.3398052    |100           
     21487.5     3.18192065    |69.4430592    |27.3750202         3.15718991    |69.4616536    |27.3811564    |100           
   21515.625     3.16759402    |69.4160698    |27.4163362         3.14294253    |69.4345659    |27.4224916    |100           
    21543.75     3.15333189    |69.389032     |27.4576361         3.12875945    |69.40743      |27.4638106    |100           
   21571.875     3.13913398    |69.361946     |27.49892           3.11464037    |69.3802462    |27.5051134    |100           
     21600.0     3.125         |69.3348123    |27.5401877         3.100585      |69.3530149    |27.5464001    |100           
   21628.125     3.11092966    |69.3076311    |27.5814393         3.08659306    |69.3257364    |27.5876706    |100           
    21656.25     3.09692266    |69.2804027    |27.6226746         3.07266427    |69.2984109    |27.6289248    |100           
   21684.375     3.08297874    |69.2531275    |27.6638938         3.05879833    |69.2710389    |27.6701628    |100           
     21712.5     3.06909759    |69.2258057    |27.7050967         3.04499496    |69.2436206    |27.7113845    |100           
   21740.625     3.05527895    |69.1984377    |27.7462833         3.03125388    |69.2161563    |27.7525899    |100           
    21768.75     3.04152253    |69.1710238    |27.7874537         3.01757481    |69.1886463    |27.7937789    |100           
   21796.875     3.02782804    |69.1435643    |27.8286077         3.00395747    |69.161091     |27.8349515    |100           
     21825.0     3.01419522    |69.1160595    |27.8697453         2.99040158    |69.1334906    |27.8761078    |100           
   21853.125     3.00062377    |69.0885096    |27.9108666         2.97690686    |69.1058455    |27.9172476    |100           
    21881.25     2.98711343    |69.0609151    |27.9519714         2.96347304    |69.0781559    |27.958371     |100           
   21909.375     2.97366392    |69.0332762    |27.9930599         2.95009985    |69.0504222    |27.9994779    |100           
     21937.5     2.96027497    |69.0055932    |28.0341318         2.936787      |69.0226446    |28.0405684    |100           
   21965.625     2.9469463     |68.9778664    |28.0751873         2.92353423    |68.9948235    |28.0816422    |100           
    21993.75     2.93367765    |68.9500961    |28.1162263         2.91034126    |68.9669592    |28.1226995    |100           
   22021.875     2.92046873    |68.9222825    |28.1572487         2.89720783    |68.9390519    |28.1637403    |100           
     22050.0     2.90731929    |68.8944261    |28.1982546         2.88413367    |68.9111019    |28.2047644    |100           
   22078.125     2.89422906    |68.8665271    |28.2392439         2.87111851    |68.8831096    |28.2457719    |100           
    22106.25     2.88119776    |68.8385857    |28.2802165         2.85816208    |68.8550752    |28.2867628    |100           
   22134.375     2.86822514    |68.8106023    |28.3211726         2.84526411    |68.826999     |28.3277369    |100           
     22162.5     2.85531093    |68.7825772    |28.3621119         2.83242436    |68.7988813    |28.3686944    |100           
   22190.625     2.84245486    |68.7545106    |28.4030346         2.81964254    |68.7707224    |28.4096351    |100           
    22218.75     2.82965668    |68.7264028    |28.4439405         2.8069184     |68.7425225    |28.4505591    |100           
   22246.875     2.81691612    |68.6982541    |28.4848298         2.79425169    |68.7142821    |28.4914662    |100           
     22275.0     2.80423293    |68.6700649    |28.5257022         2.78164213    |68.6860012    |28.5323566    |100           
   22303.125     2.79160684    |68.6418353    |28.5665579         2.76908948    |68.6576804    |28.5732302    |100           
    22331.25     2.7790376     |68.6135657    |28.6073967         2.75659347    |68.6293197    |28.6140869    |100           
   22359.375     2.76652496    |68.5852563    |28.6482188         2.74415386    |68.6009195    |28.6549267    |100           
     22387.5     2.75406865    |68.5569074    |28.6890239         2.73177038    |68.57248      |28.6957496    |100           
   22415.625     2.74166843    |68.5285194    |28.7298122         2.71944278    |68.5440016    |28.7365556    |100           
    22443.75     2.72932404    |68.5000924    |28.7705836         2.70717081    |68.5154846    |28.7773446    |100           
   22471.875     2.71703523    |68.4716267    |28.811338          2.69495423    |68.4869291    |28.8181167    |100           
     22500.0     2.70480175    |68.4431227    |28.8520755         2.68279277    |68.4583354    |28.8588718    |100           
   22528.125     2.69262336    |68.4145806    |28.892796          2.67068619    |68.4297039    |28.8996099    |100           
    22556.25     2.68049979    |68.3860006    |28.9334996         2.65863425    |68.4010349    |28.9403309    |100           
   22584.375     2.66843081    |68.3573831    |28.9741861         2.64663669    |68.3723284    |28.9810349    |100           
     22612.5     2.65641618    |68.3287283    |29.0148556         2.63469327    |68.343585     |29.0217218    |100           
   22640.625     2.64445564    |68.3000364    |29.055508          2.62280375    |68.3148047    |29.0623915    |100           
    22668.75     2.63254895    |68.2713078    |29.0961433         2.61096789    |68.2859879    |29.1030442    |100           
   22696.875     2.62069587    |68.2425426    |29.1367615         2.59918543    |68.2571349    |29.1436797    |100           
     22725.0     2.60889616    |68.2137413    |29.1773626         2.58745615    |68.2282458    |29.184298     |100           
   22753.125     2.59714958    |68.1849039    |29.2179465         2.5757798     |68.199321     |29.2248992    |100           
    22781.25     2.58545589    |68.1560308    |29.2585133         2.56415613    |68.1703607    |29.2654831    |100           
   22809.375     2.57381485    |68.1271223    |29.2990629         2.55258493    |68.1413653    |29.3060498    |100           
     22837.5     2.56222622    |68.0981786    |29.3395952         2.54106593    |68.1123348    |29.3465993    |100           
   22865.625     2.55068977    |68.0691999    |29.3801104         2.52959892    |68.0832696    |29.3871314    |100           
    22893.75     2.53920526    |68.0401865    |29.4206082         2.51818366    |68.05417      |29.4276463    |100           
   22921.875     2.52777246    |68.0111387    |29.4610888         2.50681991    |68.0250362    |29.4681439    |100           
     22950.0     2.51639114    |67.9820567    |29.5015521         2.49550744    |67.9958685    |29.5086241    |100           
   22978.125     2.50506107    |67.9529408    |29.5419981         2.48424603    |67.966667     |29.549087     |100           
    23006.25     2.493782      |67.9237912    |29.5824268         2.47303543    |67.9374321    |29.5895324    |100           
   23034.375     2.48255373    |67.8946082    |29.622838          2.46187542    |67.908164     |29.6299605    |100           
     23062.5     2.471376      |67.865392     |29.663232          2.45076577    |67.878863     |29.6703712    |100           
   23090.625     2.46024861    |67.8361429    |29.7036085         2.43970625    |67.8495293    |29.7107644    |100           
    23118.75     2.44917131    |67.8068611    |29.7439676         2.42869665    |67.8201631    |29.7511402    |100           
   23146.875     2.43814389    |67.7775469    |29.7843093         2.41773672    |67.7907647    |29.7914985    |100           
     23175.0     2.42716613    |67.7482004    |29.8246335         2.40682626    |67.7613344    |29.8318393    |100           
   23203.125     2.41623779    |67.718822     |29.8649402         2.39596503    |67.7318723    |29.8721626    |100           
    23231.25     2.40535865    |67.6894119    |29.9052295         2.38515281    |67.7023788    |29.9124684    |100           
   23259.375     2.3945285     |67.6599703    |29.9455012         2.37438939    |67.672854     |29.9527566    |100           
     23287.5     2.38374711    |67.6304975    |29.9857554         2.36367454    |67.6432982    |29.9930273    |100           
   23315.625     2.37301427    |67.6009937    |30.0259921         2.35300804    |67.6137116    |30.0332803    |100           
    23343.75     2.36232974    |67.5714591    |30.0662112         2.34238967    |67.5840946    |30.0735158    |100           
   23371.875     2.35169333    |67.541894     |30.1064127         2.33181922    |67.5544472    |30.1137336    |100           
     23400.0     2.34110481    |67.5122986    |30.1465966         2.32129648    |67.5247697    |30.1539338    |100           
   23428.125     2.33056396    |67.4826732    |30.1867629         2.31082122    |67.4950625    |30.1941163    |100           
    23456.25     2.32007057    |67.4530179    |30.2269115         2.30039323    |67.4653256    |30.2342812    |100           
   23484.375     2.30962443    |67.423333     |30.2670425         2.29001229    |67.4355594    |30.2744283    |100           
     23512.5     2.29922532    |67.3936188    |30.3071559         2.27967821    |67.405764     |30.3145577    |100           
   23540.625     2.28887304    |67.3638755    |30.3472515         2.26939076    |67.3759398    |30.3546695    |100           
    23568.75     2.27856736    |67.3341032    |30.3873294         2.25914973    |67.3460869    |30.3947634    |100           
   23596.875     2.26830809    |67.3043023    |30.4273896         2.24895492    |67.3162055    |30.4348396    |100           
     23625.0     2.25809501    |67.2744729    |30.4674321         2.23880611    |67.2862959    |30.474898     |100           
   23653.125     2.24792792    |67.2446153    |30.5074568         2.2287031     |67.2563583    |30.5149386    |100           
    23681.25     2.2378066     |67.2147297    |30.5474637         2.21864568    |67.2263929    |30.5549614    |100           
   23709.375     2.22773085    |67.1848164    |30.5874528         2.20863365    |67.1964       |30.5949664    |100           
     23737.5     2.21770047    |67.1548754    |30.6274241         2.1986668     |67.1663797    |30.6349535    |100           
   23765.625     2.20771525    |67.1249071    |30.6673776         2.18874493    |67.1363323    |30.6749228    |100           
    23793.75     2.19777499    |67.0949118    |30.7073133         2.17886783    |67.106258     |30.7148741    |100           
   23821.875     2.18787949    |67.0648895    |30.7472311         2.1690353     |67.0761571    |30.7548076    |100           
     23850.0     2.17802854    |67.0348405    |30.787131          2.15924715    |67.0460297    |30.7947232    |100           
   23878.125     2.16822194    |67.0047651    |30.827013          2.14950316    |67.015876     |30.8346208    |100           
    23906.25     2.1584595     |66.9746634    |30.8668771         2.13980315    |66.9856963    |30.8745005    |100           
   23934.375     2.14874101    |66.9445357    |30.9067233         2.13014691    |66.9554909    |30.9143622    |100           
     23962.5     2.13906629    |66.9143821    |30.9465516         2.12053425    |66.9252598    |30.954206     |100           
   23990.625     2.12943512    |66.884203     |30.9863619         2.11096496    |66.8950033    |30.9940318    |100           
    24018.75     2.11984732    |66.8539984    |31.0261543         2.10143886    |66.8647216    |31.0338395    |100           
   24046.875     2.11030268    |66.8237687    |31.0659286         2.09195574    |66.834415     |31.0736293    |100           
     24075.0     2.10080102    |66.793514     |31.105685          2.08251542    |66.8040836    |31.113401     |100           
   24103.125     2.09134214    |66.7632345    |31.1454234         2.0731177     |66.7737277    |31.1531546    |100           
    24131.25     2.08192585    |66.7329304    |31.1851437         2.06376239    |66.7433474    |31.1928902    |100           
   24159.375     2.07255196    |66.702602     |31.224846          2.0544493     |66.7129429    |31.2326078    |100           
     24187.5     2.06322028    |66.6722495    |31.2645302         2.04517823    |66.6825146    |31.2723072    |100           
   24215.625     2.05393061    |66.641873     |31.3041964         2.035949      |66.6520625    |31.3119885    |100           
    24243.75     2.04468276    |66.6114727    |31.3438445         2.02676142    |66.6215869    |31.3516517    |100           
   24271.875     2.03547656    |66.581049     |31.3834745         2.0176153     |66.5910879    |31.3912967    |100           
     24300.0     2.0263118     |66.5506018    |31.4230864         2.00851046    |66.5605659    |31.4309237    |100           
   24328.125     2.01718831    |66.5201316    |31.4626801         1.9994467     |66.5300209    |31.4705324    |100           
    24356.25     2.0081059     |66.4896384    |31.5022557         1.99042384    |66.4994532    |31.510123     |100           
   24384.375     1.99906439    |66.4591224    |31.5418132         1.9814417     |66.4688629    |31.5496954    |100           
     24412.5     1.99006358    |66.4285839    |31.5813525         1.9725001     |66.4382504    |31.5892495    |100           
   24440.625     1.9811033     |66.3980231    |31.6208736         1.96359884    |66.4076157    |31.6287855    |100           
    24468.75     1.97218336    |66.3674401    |31.6603765         1.95473775    |66.376959     |31.6683032    |100           
   24496.875     1.96330358    |66.3368352    |31.6998612         1.94591665    |66.3462806    |31.7078027    |100           
     24525.0     1.95446379    |66.3062085    |31.7393277         1.93713536    |66.3155807    |31.7472839    |100           
   24553.125     1.9456638     |66.2755602    |31.778776          1.92839369    |66.2848594    |31.7867469    |100           
    24581.25     1.93690343    |66.2448905    |31.818206          1.91969148    |66.2541169    |31.8261916    |100           
   24609.375     1.9281825     |66.2141997    |31.8576178         1.91102853    |66.2233535    |31.865618     |100           
     24637.5     1.91950084    |66.1834879    |31.8970113         1.90240467    |66.1925693    |31.905026     |100           
   24665.625     1.91085827    |66.1527552    |31.9363865         1.89381974    |66.1617645    |31.9444158    |100           
    24693.75     1.90225461    |66.122002     |31.9757434         1.88527354    |66.1309392    |31.9837872    |100           
   24721.875     1.89368969    |66.0912283    |32.015082          1.87676591    |66.1000938    |32.0231403    |100           
     24750.0     1.88516333    |66.0604343    |32.0544023         1.86829667    |66.0692283    |32.062475     |100           
   24778.125     1.87667536    |66.0296203    |32.0937043         1.85986565    |66.0383429    |32.1017914    |100           
    24806.25     1.86822561    |65.9987865    |32.1329879         1.85147268    |66.0074379    |32.1410894    |100           
   24834.375     1.85981391    |65.9679329    |32.1722532         1.84311758    |65.9765134    |32.180369     |100           
     24862.5     1.85144008    |65.9370599    |32.2115001         1.83480019    |65.9455696    |32.2196302    |100           
   24890.625     1.84310395    |65.9061675    |32.2507286         1.82652033    |65.9146067    |32.258873     |100           
    24918.75     1.83480535    |65.8752559    |32.2899387         1.81827783    |65.8836249    |32.2980973    |100           
   24946.875     1.82654413    |65.8443254    |32.3291305         1.81007253    |65.8526243    |32.3373032    |100           
     24975.0     1.81832009    |65.8133761    |32.3683038         1.80190426    |65.8216051    |32.3764907    |100           
   25003.125     1.81013309    |65.7824082    |32.4074587         1.79377284    |65.7905675    |32.4156597    |100           
    25031.25     1.80198294    |65.7514219    |32.4465951         1.78567813    |65.7595116    |32.4548102    |100           
   25059.375     1.7938695     |65.7204173    |32.4857132         1.77761994    |65.7284378    |32.4939423    |100           
     25087.5     1.78579258    |65.6893947    |32.5248127         1.76959811    |65.697346     |32.5330559    |100           
   25115.625     1.77775203    |65.6583541    |32.5638938         1.76161249    |65.6662366    |32.5721509    |100           
    25143.75     1.76974769    |65.6272959    |32.6029564         1.7536629     |65.6351096    |32.6112275    |100           
   25171.875     1.76177938    |65.59622      |32.6420006         1.74574919    |65.6039653    |32.6502855    |100           
     25200.0     1.75384695    |65.5651268    |32.6810262         1.73787119    |65.5728038    |32.689325     |100           
   25228.125     1.74595024    |65.5340164    |32.7200333         1.73002873    |65.5416253    |32.7283459    |100           
    25256.25     1.73808908    |65.502889     |32.7590219         1.72222167    |65.51043      |32.7673483    |100           
   25284.375     1.73026331    |65.4717447    |32.797992          1.71444984    |65.479218     |32.8063322    |100           
     25312.5     1.72247279    |65.4405836    |32.8369436         1.70671308    |65.4479895    |32.8452974    |100           
   25340.625     1.71471734    |65.4094061    |32.8758766         1.69901124    |65.4167446    |32.8842441    |100           
    25368.75     1.7069968     |65.3782122    |32.914791          1.69134415    |65.3854837    |32.9231722    |100           
   25396.875     1.69931103    |65.3470021    |32.9536869         1.68371166    |65.3542067    |32.9620817    |100           
     25425.0     1.69165987    |65.315776     |32.9925642         1.67611361    |65.3229138    |33.0009725    |100           
